KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Cracovia,"35,34",42,"40,56",44,"-5,23",-2,39,"44,07","-5,07"
Górnik Zabrze,"33,76",44,"38,80",40,"-5,03",4,53,"42,73","10,27"
Jagiellonia Białystok,"48,93",75,"32,71",45,"16,21",30,63,"57,29","5,71"
Korona Kielce,"38,21",37,"35,87",42,"2,34",-5,38,"46,82","-8,82"
Lech Poznań,"32,96",47,"39,34",38,"-6,38",9,53,"42,80","10,20"
Legia Warszawa,"44,96",49,"27,86",38,"17,11",11,59,"56,99","2,01"
ŁKS Łódź,"30,06",34,"54,17",74,"-24,11",-40,24,"31,48","-7,48"
Piast Gliwice,"40,63",37,"29,04",34,"11,59",3,43,"53,79","-10,79"
Pogoń Szczecin,"49,73",55,"32,30",37,"17,43",18,55,"57,89","-2,89"
Puszcza Niepołomice,"34,28",39,"42,25",47,"-7,97",-8,40,"41,10","-1,10"
Radomiak Radom,"38,75",39,"43,31",55,"-4,56",-16,38,"44,33","-6,33"
Raków Częstochowa,"48,70",50,"26,45",37,"22,25",13,52,"61,56","-9,56"
Ruch Chorzów,"37,23",39,"42,64",52,"-5,41",-13,32,"42,51","-10,51"
Stal Mielec,"25,25",42,"41,93",47,"-16,68",-5,43,"33,40","9,60"
Śląsk Wrocław,"38,86",50,"34,05",30,"4,81",20,63,"49,71","13,29"
Warta Poznań,"24,76",31,"35,96",42,"-11,20",-11,37,"36,40","0,60"
Widzew Łódź,"36,42",43,"40,56",45,"-4,14",-2,46,"44,02","1,98"
Zagłębie Lubin,"36,95",43,"37,99",49,"-1,04",-6,47,"46,47","0,53"
