KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,47","1,88",55%,"10,76","4,06","3,47","3,24","37,70%","13,66%","4,76","1,18","3,24","10,76","2,18","0,29",CRA
Górnik Zabrze,"0,82","1,35",51%,"11,88","3,06","4,76","4,06","25,74%","6,93%","5,59","1,82","3,41","14,29","2,18","0,06",GÓR
Jagiellonia,"0,94","2,71",43%,"9,88","3,29","4,00","2,59","33,33%","9,52%","4,41","1,76","2,82","14,65","1,88","0,24",JAG
Korona Kielce,"1,18","1,65",50%,"9,29","3,29","3,76","2,24","35,44%","12,66%","4,35","1,24","2,88","13,24","3,00","0,12",KOR
Lech Poznań,"0,94","1,71",40%,"10,82","3,59","4,47","2,76","33,15%","7,61%","3,65","0,59","3,24","12,06","1,94","0,00",LPO
Legia Warszawa,"1,00","1,53",41%,"7,94","2,41","3,53","2,00","30,37%","11,85%","2,82","1,82","3,65","13,82","2,47","0,12",LEG
ŁKS Łódź,"1,94","1,35",51%,"16,35","5,47","5,94","4,94","33,45%","11,87%","5,76","0,94","2,00","13,53","2,41","0,24",ŁKS
Piast Gliwice,"0,88","1,47",50%,"8,59","2,59","2,94","3,06","30,14%","9,59%","3,00","1,41","3,06","13,88","2,41","0,12",PIA
Pogoń Szczecin,"1,47","2,06",44%,"9,65","3,59","3,88","2,18","37,20%","14,63%","4,24","2,76","3,65","9,53","1,65","0,06",POG
Puszcza Niepołomice,"1,18","1,35",63%,"13,65","4,47","5,29","3,88","32,76%","8,19%","5,12","1,12","2,65","11,12","2,35","0,29",PUN
Radomiak Radom,"1,65","1,18",50%,"11,65","4,29","3,88","3,47","36,87%","14,14%","5,29","1,41","3,29","14,76","2,82","0,12",RAD
Raków Częstochowa,"0,65","1,94",46%,"8,88","2,65","3,12","3,12","29,80%","7,28%","3,41","1,41","3,29","14,82","2,65","0,12",RCZ
Ruch Chorzów,"1,29","1,24",51%,"11,65","3,76","3,88","4,00","32,32%","10,61%","5,06","1,24","2,82","13,88","2,65","0,24",RCH
Stal Mielec,"1,00","1,47",52%,"13,35","4,41","5,18","3,76","33,04%","7,49%","5,82","1,12","2,65","12,06","1,71","0,06",STM
Śląsk Wrocław,"0,82","1,59",53%,"8,29","2,59","3,47","2,24","31,21%","9,22%","4,12","1,00","4,18","12,53","2,94","0,24",ŚLĄ
Warta Poznań,"1,06","1,00",57%,"11,06","3,35","4,47","3,24","30,32%","9,57%","4,76","0,82","1,88","10,82","1,00","0,00",WAR
Widzew Łódź,"1,24","1,24",46%,"10,65","3,94","4,24","2,47","37,02%","11,60%","4,29","2,12","3,76","10,47","2,00","0,18",WID
Zagłębie Lubin,"1,06","1,12",48%,"9,76","3,65","3,76","2,35","37,35%","10,24%","3,76","1,82","4,06","12,94","2,47","0,12",ZAG
