ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""20""",CZAS
Konrad Golonka,Cracovia,0,0,0,0,1,0
Lukas Hrosso,Cracovia,7,7,7,0,28,630
Sebastian Madejski,Cracovia,27,27,27,0,33,2430
Adam Wilk,Cracovia,0,0,0,0,6,0
Eneo Bitri,Cracovia,10,8,8,2,14,778
Franciszek Dziewicki,Cracovia,0,0,0,0,2,0
Virgil Ghita,Cracovia,29,26,28,1,30,2435
Kamil Glik,Cracovia,13,11,12,1,18,1106
Arttu Hoskonen,Cracovia,26,21,24,2,28,2151
Oliwier Hyla,Cracovia,0,0,0,0,6,0
Paweł Jaroszyński,Cracovia,20,13,15,5,24,1431
Jakub Jugas,Cracovia,12,9,11,1,14,1013
Otar Kakabadze,Cracovia,23,11,18,5,23,1585
David Kristjan Olafsson,Cracovia,10,5,10,0,12,805
Cornel Rapa,Cracovia,22,6,14,8,34,1179
Andreas Skovgaard,Cracovia,24,16,22,2,27,1898
Michał Stachera,Cracovia,0,0,0,0,7,0
Jani Atanasov,Cracovia,32,8,24,8,32,2012
Mateusz Bochnak,Cracovia,24,3,9,15,33,857
Fabian Bzdyl,Cracovia,1,0,0,1,8,7
Kacper Jodłowski,Cracovia,1,0,0,1,17,3
Karol Knap,Cracovia,29,5,16,13,30,1455
Bartłomiej Kolec,Cracovia,1,0,0,1,19,7
Sylwester Lusiusz,Cracovia,0,0,0,0,3,0
Mikkel Maigaard,Cracovia,14,0,4,10,14,474
Jakub Myszor,Cracovia,8,1,1,7,11,214
Kamil Ogorzały,Cracovia,2,0,0,2,3,15
Takuto Oshima,Cracovia,28,15,19,9,29,1883
Michał Rakoczy,Cracovia,32,11,29,3,32,2375
Filip Rózga,Cracovia,12,0,1,11,24,271
Patryk Sokołowski,Cracovia,14,5,13,1,14,1026
Patryk Zaucha,Cracovia,3,0,0,3,14,13
Szymon Doba,Cracovia,0,0,0,0,5,0
Benjamin Kallman,Cracovia,33,16,30,3,33,2612
Patryk Makuch,Cracovia,34,19,29,5,34,2612
Kacper Śmiglewski,Cracovia,12,0,3,9,17,302
Daniel Bielica,Górnik Z,34,34,34,0,34,3060
Michał Szromnik,Górnik Z,0,0,0,0,34,0
Rafał Janicki,Górnik Z,32,30,32,0,33,2869
Erik Janza,Górnik Z,23,16,20,3,25,1722
Richard Jensen,Górnik Z,5,2,4,1,5,415
Kamil Lukoszek,Górnik Z,26,4,18,8,33,1334
Aleksander Paluszek,Górnik Z,0,0,0,0,1,0
Boris Sekulić,Górnik Z,27,14,23,4,33,2004
Michal Siplak,Górnik Z,13,5,7,6,25,759
Dominik Szala,Górnik Z,10,7,10,0,16,828
Kryspin Szcześniak,Górnik Z,25,23,25,0,32,2184
Kostas Triantafyllopoulos,Górnik Z,10,7,8,2,28,688
Norbert Barczak,Górnik Z,5,0,3,2,15,235
Szymon Czyż,Górnik Z,24,3,12,12,24,1084
Robert Dadok,Górnik Z,16,4,5,11,19,588
Lawrence Ennali,Górnik Z,26,10,18,8,31,1665
Adrian Kapralik,Górnik Z,30,4,24,6,30,2058
Krzysztof Kolanko,Górnik Z,0,0,0,0,3,0
Soichiro Kozuki,Górnik Z,14,0,3,11,15,422
Filipe Nascimento,Górnik Z,13,0,2,11,19,251
Paweł Olkowski,Górnik Z,23,1,5,18,32,635
Dani Pacheco,Górnik Z,26,8,23,3,26,1800
Jakub Pochcioł,Górnik Z,0,0,0,0,1,0
Damian Rasak,Górnik Z,33,24,33,0,33,2890
Aleksander Tobolik,Górnik Z,0,0,0,0,3,0
Norbert Wojtuszek,Górnik Z,3,0,0,3,4,48
Daisuke Yokota,Górnik Z,18,9,18,0,18,1533
Nikodem Zielonka,Górnik Z,0,0,0,0,3,0
Mateusz Chmarek,Górnik Z,5,0,1,4,10,140
Piotr Krawczyk,Górnik Z,22,0,5,17,31,689
Sebastian Musiolik,Górnik Z,33,6,19,14,33,1576
Lukas Podolski,Górnik Z,25,9,22,3,26,1967
Sławomir Abramowicz,Jagiellonia,0,0,0,0,34,0
Zlatan Alomerović,Jagiellonia,34,34,34,0,34,3060
Adrian Dieguez,Jagiellonia,30,29,30,0,30,2625
Jetmir Haliti,Jagiellonia,6,2,3,3,14,275
Jakub Lewicki,Jagiellonia,20,0,2,18,32,383
Miłosz Matysik,Jagiellonia,8,7,8,0,14,674
Bojan Nastić,Jagiellonia,3,0,1,2,10,27
Paweł Olszewski,Jagiellonia,6,1,2,4,17,233
Michal Sacek,Jagiellonia,33,23,31,2,33,2729
Mateusz Skrzypczak,Jagiellonia,28,25,26,2,34,2401
Dusan Stojinović,Jagiellonia,14,2,3,11,31,414
Bartłomiej Wdowik,Jagiellonia,34,28,33,1,34,2945
Kristoffer Hansen,Jagiellonia,26,3,19,7,26,1622
Jesus Imaz,Jagiellonia,30,19,29,1,30,2575
Jarosław Kubicki,Jagiellonia,27,4,11,16,28,1135
Tomasz Kupisz,Jagiellonia,22,0,0,22,34,280
Wojciech Łaski,Jagiellonia,9,0,2,7,23,248
Dominik Marczuk,Jagiellonia,34,2,31,3,34,2373
Jose Naranjo,Jagiellonia,29,4,20,9,33,1696
Nene,Jagiellonia,33,16,32,1,33,2716
Aurelien Nguiamba,Jagiellonia,9,1,1,8,19,203
Taras Romanczuk,Jagiellonia,30,23,30,0,30,2576
Damian Wojdakowski,Jagiellonia,1,0,0,1,7,1
Kaan Caliskaner,Jagiellonia,14,0,1,13,15,262
Afimico Pululu,Jagiellonia,31,6,24,7,31,2016
Alan Rybak,Jagiellonia,3,0,0,3,4,25
Krzysztof Toporkiewicz,Jagiellonia,1,0,0,1,9,9
Vinicius Matheus,Jagiellonia,2,0,1,1,5,71
Xavier Dziekoński,Korona,29,29,29,0,32,2610
Konrad Forenc,Korona,5,5,5,0,29,450
Rafał Mamla,Korona,0,0,0,0,7,0
Marius Briceag,Korona,15,12,14,1,22,1233
Marcus Godinho,Korona,21,14,19,2,21,1629
Piotr Malarczyk,Korona,22,17,22,0,30,1812
Kyryło Petrow,Korona,2,0,2,0,2,136
Miłosz Trojak,Korona,30,27,28,2,31,2472
Radosław Turek,Korona,0,0,0,0,12,0
Dominick Zator,Korona,34,33,33,1,34,2994
Dawid Błanik,Korona,29,0,17,12,29,1395
Adam Chojecki,Korona,0,0,0,0,1,0
Mateusz Czyżycki,Korona,15,0,10,5,24,746
Ronaldo Deaconu,Korona,17,0,6,11,17,674
Mariusz Fornalczyk,Korona,11,0,2,9,12,409
Petteri Forsell,Korona,4,0,0,4,8,75
