SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"4,32",95,2,6,65,1,1,4,17,6,0,1,1,0,0,1,0,22
Damian Kos,"5,45",60,2,4,39,1,0,1,14,4,1,0,1,0,1,0,0,11
Jarosław Przybył,"4,54",109,4,5,78,3,1,8,12,7,0,1,2,0,0,0,1,24
Paweł Raczkowski,"5,65",113,3,5,85,3,0,9,11,6,0,0,2,0,0,0,0,20
Daniel Stefański,"6,11",116,2,7,81,1,1,11,14,4,0,1,4,0,1,0,0,19
Tomasz Musiał,"3,21",77,3,4,59,2,0,13,2,1,0,0,2,0,1,0,0,24
Krzysztof Jakubik,"3,14",44,0,0,33,0,1,0,3,3,1,1,2,0,0,0,0,14
Piotr Lasyk,"4,09",94,0,2,71,0,2,7,4,2,1,0,7,0,0,0,0,23
Damian Sylwestrzak,"4,35",87,1,7,69,1,1,0,12,2,2,0,1,0,0,0,0,20
Łukasz Kuźma,"5,15",67,1,4,52,1,1,4,7,0,2,0,1,0,0,0,0,13
Marcin Szczerbowicz,"4,08",49,1,2,45,0,0,0,1,2,0,0,1,0,1,0,0,12
Szymon Marciniak,"4,17",125,0,1,101,0,1,8,9,4,1,0,1,0,0,0,0,30
Paweł Malec,"4,70",47,2,3,35,2,0,2,6,2,1,0,1,0,0,0,0,10
Marcin Kochanek,"5,14",36,1,2,29,1,0,1,5,0,0,1,0,0,0,0,0,7
Patryk Gryckiewicz,"4,60",46,1,3,39,1,0,0,4,0,2,0,1,0,0,0,0,10
Karol Arys,"3,95",75,4,6,60,2,2,3,6,1,1,0,2,0,2,0,0,19
Wojciech Myć,"4,86",34,1,2,23,1,0,3,4,2,0,1,1,0,0,0,0,7
Sebastian Krasny,"4,20",21,0,2,18,0,0,1,1,1,0,0,0,0,0,0,0,5
Tomasz Kwiatkowski,"3,25",52,6,6,39,5,0,6,4,1,0,0,2,1,0,0,0,16
