,GOLE,LN,PN,G,INNE,,823,266,411,133,13
Cracovia,45,14,19,12,0
Górnik Zabrze,45,23,18,4,0
Jagiellonia Białystok,77,37,27,11,2
Korona Kielce,40,15,20,4,1
Lech Poznań,47,13,26,8,0
Legia Warszawa,51,22,21,8,0
ŁKS Łódź,34,17,14,2,1
Piast Gliwice,38,9,23,5,1
Pogoń Szczecin,59,20,34,5,0
Puszcza Niepołomice,39,9,22,7,1
Radomiak Radom,41,7,22,12,0
Raków Częstochowa,54,14,31,6,3
Ruch Chorzów,40,3,25,10,2
Stal Mielec,42,7,24,10,1
Śląsk Wrocław,50,24,17,9,0
Warta Poznań,33,9,19,5,0
Widzew Łódź,45,15,21,9,0
Zagłębie Lubin,43,8,28,6,1
