KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Cracovia,"2,21",75,4,6,59,2,1,4,9,0,0,1,1,0,2,0,0
Górnik Zabrze,"2,12",72,2,3,53,1,1,8,4,2,0,0,4,0,1,0,0
Jagiellonia,"2,29",78,2,5,63,2,0,5,5,2,0,0,3,0,0,0,0
Korona Kielce,"2,56",87,1,5,60,1,1,8,14,1,0,0,3,0,0,0,0
Lech Poznań,"2,29",78,0,1,59,0,0,5,5,5,1,1,2,0,0,0,0
Legia Warszawa,"2,32",79,2,2,55,2,0,4,10,6,2,0,2,0,0,0,0
ŁKS Łódź,"2,26",77,3,7,61,3,1,3,6,2,1,1,2,0,0,0,0
Piast Gliwice,"2,68",91,1,3,65,1,1,13,8,3,0,0,1,0,0,0,0
Pogoń Szczecin,"1,74",59,3,3,44,1,0,1,10,2,0,0,2,0,1,0,1
Puszcza Niepołomice,"2,24",76,4,7,54,4,0,7,13,1,0,1,0,0,0,0,0
Radomiak Radom,"2,47",84,1,3,60,1,2,4,8,5,1,0,4,0,0,0,0
Raków Częstochowa,"2,56",87,3,4,69,3,0,5,7,4,0,0,2,0,0,0,0
Ruch Chorzów,"2,03",69,3,5,51,0,0,3,10,3,0,0,2,1,1,1,0
Stal Mielec,"1,74",59,0,2,47,0,1,1,4,3,1,0,2,0,0,0,0
Śląsk Wrocław,"2,74",93,0,5,73,0,2,3,11,2,2,0,0,0,0,0,0
Warta Poznań,"1,53",52,0,1,42,0,0,2,4,1,1,2,0,0,0,0,0
Widzew Łódź,"1,85",63,3,4,45,2,1,5,3,6,2,0,1,0,1,0,0
Zagłębie Lubin,"1,94",66,1,3,60,1,0,0,5,0,0,0,1,0,0,0,0
