ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Lukas Hrosso,Cracovia,Bramkarz,51,0,"0,000",39,0,"0,000"
Sebastian Madejski,Cracovia,Bramkarz,27,0,"0,000",27,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Eneo Bitri,Cracovia,Obrońca,10,1,"0,100",10,1,"0,100"
Virgil Ghita,Cracovia,Obrońca,73,7,"0,096",73,7,"0,096"
Kamil Glik,Cracovia,Obrońca,67,4,"0,060",13,2,"0,154"
Arttu Hoskonen,Cracovia,Obrońca,37,2,"0,054",37,2,"0,054"
David Jablonsky,Cracovia,Obrońca,52,3,"0,058",52,3,"0,058"
Paweł Jaroszyński,Cracovia,Obrońca,103,4,"0,039",103,4,"0,039"
Jakub Jugas,Cracovia,Obrońca,57,1,"0,018",57,1,"0,018"
Otar Kakabadze,Cracovia,Obrońca,69,6,"0,087",69,6,"0,087"
David Kristjan Olafsson,Cracovia,Obrońca,10,1,"0,100",10,1,"0,100"
Cornel Rapa,Cracovia,Obrońca,234,9,"0,038",179,8,"0,045"
Andreas Skovgaard,Cracovia,Obrońca,24,0,"0,000",24,0,"0,000"
Jani Atanasov,Cracovia,Pomocnik,47,6,"0,128",47,6,"0,128"
Mateusz Bochnak,Cracovia,Pomocnik,40,2,"0,050",40,2,"0,050"
Fabian Bzdyl,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Mathias Hebo Rasmussen,Cracovia,Pomocnik,40,3,"0,075",40,3,"0,075"
Karol Knap,Cracovia,Pomocnik,82,6,"0,073",82,6,"0,073"
Bartłomiej Kolec,Cracovia,Pomocnik,2,0,"0,000",2,0,"0,000"
Mikkel Maigaard,Cracovia,Pomocnik,14,0,"0,000",14,0,"0,000"
Kamil Ogorzały,Cracovia,Pomocnik,11,0,"0,000",11,0,"0,000"
Takuto Oshima,Cracovia,Pomocnik,60,1,"0,017",60,1,"0,017"
