KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Cracovia,"13,18","4,12","5,00","4,06","30,80%","3,33","31,25%","9,38%"
Górnik Z,"11,85","4,06","4,29","3,50","29,53%","3,14","34,24%","10,92%"
Jagiellonia,"12,88","4,88","4,76","3,24","25,11%","2,21","37,90%","17,12%"
Korona,"12,74","4,09","4,68","3,97","31,18%","3,76","32,10%","8,55%"
Lech,"11,12","4,29","3,91","2,91","26,19%","3,11","38,62%","12,43%"
Legia,"13,50","4,41","5,21","3,88","28,76%","3,06","32,68%","10,68%"
ŁKS,"10,26","3,15","3,97","3,15","30,66%","3,15","30,66%","9,74%"
Piast,"11,85","4,00","4,47","3,38","28,54%","3,68","33,75%","9,18%"
Pogoń,"14,59","4,91","5,44","4,24","29,03%","3,04","33,67%","11,09%"
Puszcza,"10,12","3,38","3,85","2,88","28,49%","2,95","33,43%","11,34%"
Radomiak,"13,00","4,15","5,74","3,12","23,98%","3,62","31,90%","8,82%"
Raków,"13,41","4,94","5,12","3,35","25,00%","3,36","36,84%","10,96%"
Ruch,"11,94","3,68","4,74","3,53","29,56%","3,21","30,79%","9,61%"
Stal,"9,12","3,50","3,50","2,12","23,23%","2,83","38,39%","13,55%"
Śląsk,"11,65","4,71","3,97","2,97","25,51%","3,20","40,40%","12,63%"
Warta,"8,47","2,85","3,15","2,47","29,17%","3,13","33,68%","10,76%"
Widzew,"12,15","4,12","4,71","3,32","27,36%","3,26","33,90%","10,41%"
Zagłębie,"13,44","4,68","5,09","3,68","27,35%","3,70","34,79%","9,41%"
