BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK,% OBR KARNYCH
Rafał Leszczyński,Śląsk Wrocław,33,13,72,339,339,"75,0%",81,108,28,"30,4%","8,3%"
Bartosz Mrozek,Lech Poznań,31,11,25,387,387,"72,1%",93,129,39,"34,3%","18,2%"
Valentin Cojocaru,Pogoń Szczecin,27,10,250,310,310,"72,5%",74,102,29,"37,0%","50,0%"
Daniel Bielica,Górnik Zabrze,34,10,24,325,452,"71,0%",98,138,41,"28,2%","25,0%"
Vladan Kovacević,Raków Częstochowa,29,10,15,303,737,"67,7%",67,99,33,"44,0%","14,3%"
Mateusz Kochalski,Stal Mielec,33,9,133,353,353,"72,2%",114,158,45,"26,5%","16,7%"
Frantisek Plach,Piast Gliwice,27,9,28,346,528,"66,3%",55,83,29,"36,8%","14,3%"
Zlatan Alomerović,Jagiellonia Białystok,34,9,103,246,304,"65,4%",85,130,45,"25,8%","11,5%"
Kacper Tobiasz,Legia Warszawa,22,9,14,313,397,"52,0%",26,50,25,"35,8%","25,0%"
Jędrzej Grobelny,Warta Poznań,24,8,39,389,389,"74,2%",72,97,25,"36,8%","0,0%"
Oliwier Zych,Puszcza Niepołomice,26,7,101,219,219,"75,4%",101,134,35,"26,9%",-
Sebastian Madejski,Cracovia,27,7,71,233,233,"69,6%",78,112,35,"25,9%","14,3%"
Sokratis Dioudis,Zagłębie Lubin,21,7,0,322,329,"69,0%",69,100,31,"34,3%","66,7%"
Dante Stipica,Pogoń Szczecin / Ruch Chorzów,16,6,105,213,524,"68,6%",35,51,17,"37,7%","25,0%"
Xavier Dziekoński,Korona Kielce,29,6,45,288,288,"65,4%",68,104,36,"17,9%","0,0%"
Karol Szymański,Piast Gliwice,6,4,24,284,329,"76,0%",19,25,6,"55,6%","50,0%"
Rafał Gikiewicz,Widzew Łódź,13,4,69,255,255,"74,6%",44,59,16,"35,2%","0,0%"
Albert Posiadała,Radomiak Radom,15,4,40,206,206,"70,0%",42,60,18,"25,0%","20,0%"
Henrich Ravas,Widzew Łódź,18,3,38,177,368,"69,4%",59,85,26,"29,4%","25,0%"
Lukas Hrosso,Cracovia,7,3,0,185,372,"64,3%",18,28,11,"30,0%","0,0%"
Filip Majchrowicz,Radomiak Radom,7,3,0,186,365,"58,3%",14,24,10,"30,2%","14,3%"
Szymon Weirauch,Zagłębie Lubin,8,2,26,159,159,"75,0%",27,36,10,"25,0%","0,0%"
Aleksander Bobek,ŁKS Łódź,27,2,32,179,179,"61,4%",94,153,59,"7,4%","11,1%"
Antonis Tsiftsis,Raków Częstochowa,1,1,90,90,90,"100,0%",2,2,0,"100,0%",-
Filip Bednarek,Lech Poznań,3,1,49,177,448,"87,5%",14,16,2,"41,2%","13,3%"
Konrad Forenc,Korona Kielce,5,1,30,176,372,"75,0%",18,24,8,"24,7%","16,7%"
Krzysztof Kamiński,Ruch Chorzów,8,1,58,173,341,"70,2%",33,47,14,"23,8%","14,3%"
Kewin Komar,Puszcza Niepołomice,6,1,44,125,125,"66,7%",20,30,10,"16,7%",-
Adrian Lis,Warta Poznań,9,1,64,193,339,"63,0%",29,46,18,"29,9%","12,5%"
Jakub Bielecki,Ruch Chorzów,4,1,27,117,117,"61,1%",11,18,8,"25,0%","0,0%"
Michał Buchalik,Ruch Chorzów,9,1,31,140,304,"60,0%",24,40,17,"26,1%","6,7%"
Dominik Hładun,Legia Warszawa,11,1,11,136,308,"57,6%",19,33,14,"22,4%","15,0%"
Krzysztof Bąkowski,Radomiak Radom,1,0,13,71,71,"71,4%",5,7,2,"0,0%",-
Dusan Kuciak,Raków Częstochowa,1,0,0,89,799,"66,7%",2,3,1,"38,1%","17,6%"
Bartosz Klebaniuk,Pogoń Szczecin,5,0,5,152,152,"65,2%",15,23,8,"0,0%","100,0%"
Jasmin Burić,Zagłębie Lubin,4,0,50,87,465,"64,0%",16,25,9,"38,9%","13,6%"
Dawid Arndt,ŁKS Łódź,7,0,2,76,123,"63,4%",26,41,16,"0,0%","0,0%"
Kacper Bieszczad,Raków Częstochowa,2,0,46,57,367,"62,5%",5,8,4,"24,1%","0,0%"
Krzysztof Wróblewski,Puszcza Niepołomice,2,0,11,124,124,"60,0%",6,10,4,"0,0%",-
Kacper Trelowski,Śląsk Wrocław,1,0,17,58,242,"57,1%",4,7,3,"28,6%","100,0%"
Gabriel Kobylak,Radomiak Radom,10,0,29,134,441,"54,5%",30,55,28,"20,5%","20,0%"
Muhamed Sahinović,Raków Częstochowa,1,0,73,73,73,"50,0%",1,2,1,"0,0%",-
Jan Krzywański,Widzew Łódź,2,0,40,82,82,"42,9%",3,7,4,"0,0%",-
Konrad Jałocha,Stal Mielec,1,0,45,45,312,"25,0%",1,4,3,"34,4%","0,0%"
