KLUB,SPALONE,ŁAPALI NA SPAL,RAZEM,923,923
Cracovia,52,48
Górnik Zabrze,27,55
Jagiellonia Białystok,70,54
Korona Kielce,58,45
Lech Poznań,62,31
Legia Warszawa,57,59
ŁKS Łódź,51,40
Piast Gliwice,50,42
Pogoń Szczecin,44,100
Puszcza Niepołomice,62,41
Radomiak Radom,51,43
Raków Częstochowa,57,48
Ruch Chorzów,40,53
Stal Mielec,38,49
Śląsk Wrocław,42,50
Warta Poznań,46,37
Widzew Łódź,62,71
Zagłębie Lubin,54,57
