BRAMKARZ,KLUB,słupek,poprzeczka,SUMA
Zlatan Alomerović,Jagiellonia,6,6,12
Xavier Dziekoński,Korona,7,4,11
Mateusz Kochalski,Stal,5,6,11
Aleksander Bobek,ŁKS,7,3,10
Daniel Bielica,Górnik Z,3,6,9
Sokratis Dioudis,Zagłębie,3,5,8
Rafał Leszczyński,Śląsk,2,5,7
Sebastian Madejski,Cracovia,2,5,7
Jędrzej Grobelny,Warta,2,4,6
Kacper Tobiasz,Legia,3,3,6
Vladan Kovacević,Raków,4,1,5
Oliwier Zych,Puszcza,2,3,5
Valentin Cojocaru,Pogoń,3,1,4
Bartosz Mrozek,Lech,4,0,4
Frantisek Plach,Piast,1,3,4
Albert Posiadała,Radomiak,2,2,4
Henrich Ravas,Widzew,2,2,4
Rafał Gikiewicz,Widzew,0,4,4
Jakub Bielecki,Ruch,2,1,3
Dante Stipica,Pogoń/Ruch,0,3,3
Szymon Weirauch,Zagłębie,1,2,3
Michał Buchalik,Ruch,1,1,2
Dominik Hładun,Legia,0,2,2
Krzysztof Kamiński,Ruch,1,1,2
Bartosz Klebaniuk,Pogoń,2,0,2
Kewin Komar,Puszcza,1,1,2
Adrian Lis,Warta,1,1,2
Karol Szymański,Piast,1,1,2
Dawid Arndt,ŁKS,0,1,1
Filip Bednarek,Lech,1,0,1
Jasmin Burić,Zagłębie,1,0,1
Konrad Forenc,Korona,0,1,1
Krzysztof Wróblewski,Puszcza,1,0,1
Gabriel Kobylak,Radomiak,1,0,1
