ZAWODNIK,KLUB,GOLE
Kamil Grosicki,Pogoń Szczecin,13
Dawid Kurminowski,Zagłębie Lubin,12
Bartłomiej Wdowik,Jagiellonia,10
Daniel Szczepan,Ruch Chorzów,10
Bartłomiej Pawłowski,Widzew Łódź,8
Filip Marchwiński,Lech Poznań,8
Patryk Dziczek,Piast Gliwice,8
Bartosz Nowak,Raków Częstochowa,7
Kacper Chodyna,Zagłębie Lubin,7
Kajetan Szmyt,Warta Poznań,7
Piotr Samiec-Talar,Śląsk Wrocław,7
Dominik Marczuk,Jagiellonia,6
Łukasz Sołowiej,Puszcza Niepołomice,6
Michael Ameyaw,Piast Gliwice,6
Michał Rakoczy,Cracovia,6
Artur Siemaszko,Puszcza Niepołomice,5
Kamil Zapolnik,Puszcza Niepołomice,5
Łukasz Zwoliński,Raków Częstochowa,5
Michał Feliks,Ruch Chorzów,5
Mateusz Wdowiak,Zagłębie Lubin,5
Maciej Żurawski,Warta Poznań,4
Mateusz Kupczak,Warta Poznań,4
Patryk Makuch,Cracovia,4
Paweł Wszołek,Legia Warszawa,4
Sebastian Musiolik,Górnik Zabrze,4
Tomasz Swędrowski,Ruch Chorzów,4
Aleks Ławniczak,Zagłębie Lubin,4
Szymon Czyż,Górnik Zabrze,4
Karol Knap,Cracovia,4
Dawid Drachal,Raków Częstochowa,3
Filip Szymczak,Lech Poznań,3
Krystian Getinger,Stal Mielec,3
Maciej Domański,Stal Mielec,3
Mateusz Cholewiak,Puszcza Niepołomice,3
Paweł Jaroszyński,Cracovia,3
Kamil Lukoszek,Górnik Zabrze,3
Mateusz Matras,Stal Mielec,3
Mateusz Skrzypczak,Jagiellonia,3
Antoni Klimek,Widzew Łódź,3
Damian Kądzior,Piast Gliwice,2
Dawid Abramowicz,Radomiak Radom,2
Fabian Piasecki,Raków/Piast,2
Jakub Lewicki,Jagiellonia,2
Łukasz Gerstenstein,Stal Mielec,2
Maciej Rosołek,Legia Warszawa,2
Mateusz Bartolewski,Ruch Chorzów,2
Michał Walski,Puszcza Niepołomice,2
Rafał Janicki,Górnik Zabrze,2
Rafał Wolski,Radomiak Radom,2
Tomasz Makowski,Zagłębie Lubin,2
Tomasz Wójtowicz,Ruch Chorzów,2
Bartosz Kopacz,Zagłębie Lubin,2
Damian Rasak,Górnik Zabrze,2
Piotr Janczukowicz,ŁKS Łódź,2
Grzegorz Tomasiewicz,Piast Gliwice,2
Mariusz Fornalczyk,Pogoń/Korona,2
Kamil Glik,Cracovia,2
Mateusz Żyro,Widzew Łódź,2
Bartosz Kapustka,Legia Warszawa,2
Miłosz Trojak,Korona Kielce,2
Kamil Wilczek,Piast Gliwice,2
Miłosz Kozak,Ruch Chorzów,2
Łukasz Wolsztyński,Stal Mielec,2
Marcel Wędrychowski,Pogoń Szczecin,1
Aleksander Paluszek,Śląsk Wrocław,1
Ariel Mosór,Piast Gliwice,1
Bartłomiej Kłudka,Zagłębie Lubin,1
Ernest Terpiłowski,Widzew Łódź,1
Jakub Bartosz,Puszcza Niepołomice,1
Jarosław Kubicki,Jagiellonia,1
Kacper Michalski,Ruch Chorzów,1
Łukasz Bejger,Śląsk Wrocław,1
Martin Konczkowski,Śląsk Wrocław,1
Mateusz Cichocki,Radomiak Radom,1
Mateusz Grzybek,Zagłębie Lubin,1
Michał Rzuchowski,Śląsk Wrocław,1
Michał Trąbka,Stal Mielec,1
Patryk Kun,Legia Warszawa,1
Patryk Stępiński,Widzew Łódź,1
Taras Romanczuk,Jagiellonia,1
Patryk Szwedzik,Śląsk Wrocław,1
Piotr Mroziński,Puszcza Niepołomice,1
Wojciech Łaski,Jagiellonia,1
Radosław Murawski,Lech Poznań,1
Robert Dadok,Górnik/Ruch,1
Michał Chrapek,Piast Gliwice,1
Alan Czerwiński,Lech Poznań,1
Marcin Cebula,Raków Częstochowa,1
Piotr Wlazło,Stal Mielec,1
Rafał Kurzawa,Pogoń Szczecin,1
Mateusz Czyżycki,Korona Kielce,1
Kacper Smoliński,Pogoń Szczecin,1
Igor Strzałek,Legia/Stal,1
Jan Grzesik,Radomiak Radom,1
Michał Gurgul,Lech Poznań,1
Jakub Konstantyn,Korona Kielce,1
Adrian Przyborek,Pogoń Szczecin,1
Michał Koj,Puszcza Niepołomice,1
Damian Dąbrowski,Zagłębie Lubin,1
Piotr Krawczyk,Górnik Zabrze,1
Krzysztof Wołkowicz,Stal Mielec,1
Łukasz Moneta,Ruch Chorzów,1
Patryk Sikora,Ruch Chorzów,1
Rafał Augustyniak,Legia Warszawa,1
Juliusz Letniowski,Ruch Chorzów,1
Jędrzej Zając,ŁKS Łódź,1
Patryk Paryzek,Pogoń Szczecin,1
Gabriel Kobylak,Radomiak Radom,1
Jordan Majchrzak,Puszcza Niepołomice,1
Jakub Czerwiński,Piast Gliwice,1
Konrad Matuszewski,Warta Poznań,1
Wojciech Hajda,Puszcza Niepołomice,1
Bartłomiej Poczobut,Puszcza Niepołomice,1
Dawid Błanik,Korona Kielce,1
Kryspin Szcześniak,Górnik Zabrze,1
Aleksander Iwańczyk,ŁKS Łódź,1
Paweł Olkowski,Górnik Zabrze,1
Dominik Kun,Widzew Łódź,1
Przemysław Szur,Ruch Chorzów,1
Antoni Młynarczyk,ŁKS Łódź,1
Bartosz Kwiecień,Korona Kielce,1
Dawid Szymonowicz,Warta Poznań,1
Marek Mróz,Zagłębie Lubin,1
Mateusz Żukowski,Śląsk Wrocław,1
Bartłomiej Barański,Ruch Chorzów,1
