ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Kamil Grosicki,Pogoń Szczecin,13,14,27,0,0,4,5,32
Erik Exposito,Śląsk Wrocław,19,5,24,0,0,6,2,26
Ilja Szkurin,Stal Mielec,16,6,22,0,0,7,1,23
Dominik Marczuk,Jagiellonia,6,11,17,0,0,1,6,23
Kacper Chodyna,Zagłębie Lubin,7,10,17,0,0,4,3,20
Nene,Jagiellonia,9,8,17,1,0,4,8,25
Afimico Pululu,Jagiellonia,12,4,16,3,1,2,5,21
Bartłomiej Wdowik,Jagiellonia,10,6,16,0,0,3,11,27
Jesus Imaz,Jagiellonia,12,4,16,0,1,0,7,23
Kristoffer Velde,Lech Poznań,10,5,15,1,0,4,3,18
Piotr Samiec-Talar,Śląsk Wrocław,7,8,15,3,1,0,4,19
Benjamin Kallman,Cracovia,9,5,14,0,0,6,5,19
Efthymis Koulouris,Pogoń Szczecin,12,2,14,0,0,1,6,20
Jorge Felix,Piast Gliwice,7,7,14,3,0,2,2,16
Josue,Legia Warszawa,9,5,14,1,0,3,3,17
Mikael Ishak,Lech Poznań,11,3,14,0,0,6,0,14
Bartłomiej Pawłowski,Widzew Łódź,8,5,13,1,0,3,2,15
Filip Marchwiński,Lech Poznań,8,5,13,0,1,2,2,15
Dawid Kurminowski,Zagłębie Lubin,12,0,12,0,0,6,3,15
Jordi Sanchez,Widzew Łódź,8,4,12,1,0,2,4,16
Maciej Domański,Stal Mielec,3,9,12,0,0,1,11,23
Pedro Henrique,Radomiak Radom,8,4,12,0,0,4,0,12
Alexander Gorgon,Pogoń Szczecin,8,4,12,3,0,0,3,15
Kristoffer Hansen,Jagiellonia,9,3,12,2,0,3,3,15
Ante Crnac,Raków Częstochowa,8,4,12,1,2,3,4,16
Bartosz Nowak,Raków Częstochowa,7,4,11,2,0,2,2,13
Dani Ramirez,ŁKS Łódź,9,2,11,1,0,3,2,13
Daniel Szczepan,Ruch Chorzów,10,1,11,0,0,4,4,15
Marc Gual,Legia Warszawa,8,3,11,0,1,4,3,14
Michał Rakoczy,Cracovia,6,5,11,1,0,1,4,15
Nahuel Leiva,Śląsk Wrocław,9,2,11,0,0,5,1,12
Jewgienij Szykawka,Korona Kielce,10,1,11,2,1,2,0,11
Adrian Kapralik,Górnik Zabrze,7,3,10,0,0,4,2,12
Fran Alvarez,Widzew Łódź,6,4,10,0,0,3,2,12
Kay Tejan,ŁKS Łódź,7,3,10,1,0,3,1,11
Paweł Wszołek,Legia Warszawa,4,6,10,0,2,1,8,18
Adrian Dalmau,Korona Kielce,5,4,9,4,2,0,3,12
Artur Craciun,Puszcza Niepołomice,7,2,9,0,0,3,3,12
Kajetan Szmyt,Warta Poznań,7,2,9,0,0,3,2,11
Kamil Zapolnik,Puszcza Niepołomice,5,4,9,0,0,2,3,12
Michael Ameyaw,Piast Gliwice,6,3,9,0,0,3,4,13
Patryk Makuch,Cracovia,4,5,9,0,0,2,6,15
Rafał Wolski,Radomiak Radom,2,7,9,0,0,0,1,10
Sebastian Musiolik,Górnik Zabrze,4,5,9,1,2,1,3,12
Wahan Biczachczjan,Pogoń Szczecin,5,4,9,1,0,0,4,13
Petr Schwarz,Śląsk Wrocław,3,6,9,1,0,2,7,16
Fredrik Ulvestad,Pogoń Szczecin,6,3,9,0,0,5,4,13
John Yeboah,Raków Częstochowa,3,5,8,1,1,0,2,10
Jose Naranjo,Jagiellonia,6,2,8,0,0,3,4,12
Nono,Korona Kielce,4,4,8,0,0,4,1,9
Patryk Dziczek,Piast Gliwice,8,0,8,0,0,4,6,14
Tomas Pekhart,Legia Warszawa,8,0,8,0,0,4,0,8
Daisuke Yokota,Górnik Zabrze,7,1,8,0,0,4,1,9
Miłosz Kozak,Ruch Chorzów,2,6,8,2,1,0,2,10
Joel Pereira,Lech Poznań,2,5,7,0,1,0,5,12
Krystian Getinger,Stal Mielec,3,4,7,0,0,0,3,10
Lukas Podolski,Górnik Zabrze,3,4,7,0,0,1,4,11
Łukasz Sołowiej,Puszcza Niepołomice,6,1,7,1,0,3,0,7
Władysław Koczerhin,Raków Częstochowa,5,2,7,2,0,2,3,10
Adriel Ba Loua,Lech Poznań,4,3,7,1,1,2,1,8
Martin Remacle,Korona Kielce,6,1,7,0,0,0,3,10
Mateusz Matras,Stal Mielec,3,4,7,0,0,0,0,7
Imad Rondić,Widzew Łódź,5,2,7,3,2,1,2,9
Jani Atanasov,Cracovia,5,2,7,2,0,0,1,8
Karol Knap,Cracovia,4,3,7,1,0,0,0,7
Artur Siemaszko,Puszcza Niepołomice,5,1,6,1,1,2,2,8
Dawid Drachal,Raków Częstochowa,3,3,6,0,0,0,2,8
Lisandro Semedo,Radomiak Radom,4,2,6,0,0,3,1,7
Mateusz Bartolewski,Ruch Chorzów,2,4,6,0,2,1,0,6
Mateusz Cholewiak,Puszcza Niepołomice,3,3,6,1,1,1,2,8
Michał Feliks,Ruch Chorzów,5,1,6,5,1,0,1,7
Radovan Pankov,Legia Warszawa,2,4,6,0,0,1,4,10
Roman Jakuba,Puszcza Niepołomice,4,2,6,0,0,4,1,7
Taras Romanczuk,Jagiellonia,1,5,6,0,0,0,3,9
Mateusz Wdowiak,Zagłębie Lubin,5,1,6,2,0,2,1,7
Lawrence Ennali,Górnik Zabrze,5,1,6,0,0,2,2,8
Antoni Klimek,Widzew Łódź,3,3,6,0,2,1,4,10
Soma Novothny,Ruch Chorzów,4,2,6,1,0,2,0,6
Adam Zrelak,Warta Poznań,4,1,5,0,0,1,3,8
Andrejs Ciganiks,Widzew Łódź,3,2,5,2,1,1,0,5
Dawid Abramowicz,Radomiak Radom,2,3,5,0,0,0,6,11
Fabio Nunes,Widzew Łódź,2,3,5,0,0,0,3,8
Filip Szymczak,Lech Poznań,3,2,5,1,1,1,3,8
Giannis Papanikolaou,Raków Częstochowa,5,0,5,1,0,3,1,6
Koki Hinokio,Stal Mielec,3,2,5,1,0,1,1,6
Łukasz Zwoliński,Raków Częstochowa,5,0,5,1,0,1,2,7
Serhij Bułeca,Zagłębie Lubin,1,4,5,0,0,1,3,8
Tomasz Swędrowski,Ruch Chorzów,4,1,5,0,0,0,0,5
Jesper Karlstrom,Lech Poznań,2,3,5,0,0,0,8,13
Linus Wahlqvist,Pogoń Szczecin,0,5,5,0,0,0,4,9
Damian Dąbrowski,Zagłębie Lubin,1,4,5,0,0,0,7,12
Dawid Błanik,Korona Kielce,1,4,5,0,2,0,0,5
Blaz Kramer,Legia Warszawa,4,1,5,2,0,1,0,5
Dario Vizinger,Warta Poznań,1,3,4,1,1,0,2,6
Engjell Hoti,ŁKS Łódź,4,0,4,1,0,2,0,4
