ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Erik Exposito,Śląsk Wrocław,19,14,3,2,0
Ilja Szkurin,Stal Mielec,16,3,9,4,0
Kamil Grosicki,Pogoń Szczecin,13,4,8,1,0
Afimico Pululu,Jagiellonia,12,10,0,2,0
Dawid Kurminowski,Zagłębie Lubin,12,2,8,1,1
Efthymis Koulouris,Pogoń Szczecin,12,2,9,1,0
Jesus Imaz,Jagiellonia,12,3,5,4,0
Mikael Ishak,Lech Poznań,11,2,7,2,0
Bartłomiej Wdowik,Jagiellonia,10,10,0,0,0
Daniel Szczepan,Ruch Chorzów,10,0,8,1,1
Kristoffer Velde,Lech Poznań,10,3,6,1,0
Jewgienij Szykawka,Korona Kielce,10,3,5,2,0
Benjamin Kallman,Cracovia,9,1,6,2,0
Dani Ramirez,ŁKS Łódź,9,9,0,0,0
Josue,Legia Warszawa,9,9,0,0,0
Nahuel Leiva,Śląsk Wrocław,9,0,9,0,0
Nene,Jagiellonia,9,6,3,0,0
Kristoffer Hansen,Jagiellonia,9,2,6,1,0
Bartłomiej Pawłowski,Widzew Łódź,8,0,6,2,0
Filip Marchwiński,Lech Poznań,8,2,5,1,0
Jordi Sanchez,Widzew Łódź,8,1,4,3,0
Marc Gual,Legia Warszawa,8,3,5,0,0
Patryk Dziczek,Piast Gliwice,8,1,7,0,0
Pedro Henrique,Radomiak Radom,8,0,4,4,0
Tomas Pekhart,Legia Warszawa,8,2,3,3,0
Alexander Gorgon,Pogoń Szczecin,8,5,3,0,0
Ante Crnac,Raków Częstochowa,8,5,1,2,0
Adrian Kapralik,Górnik Zabrze,7,2,5,0,0
Artur Craciun,Puszcza Niepołomice,7,0,5,2,0
Bartosz Nowak,Raków Częstochowa,7,3,4,0,0
Jorge Felix,Piast Gliwice,7,3,3,1,0
Kacper Chodyna,Zagłębie Lubin,7,2,5,0,0
Kajetan Szmyt,Warta Poznań,7,0,7,0,0
Kay Tejan,ŁKS Łódź,7,5,2,0,0
Piotr Samiec-Talar,Śląsk Wrocław,7,5,0,2,0
Daisuke Yokota,Górnik Zabrze,7,7,0,0,0
Dominik Marczuk,Jagiellonia,6,2,3,0,1
Fran Alvarez,Widzew Łódź,6,2,4,0,0
Jose Naranjo,Jagiellonia,6,1,4,1,0
Łukasz Sołowiej,Puszcza Niepołomice,6,2,4,0,0
Michael Ameyaw,Piast Gliwice,6,2,4,0,0
Michał Rakoczy,Cracovia,6,2,4,0,0
Fredrik Ulvestad,Pogoń Szczecin,6,1,4,1,0
Martin Remacle,Korona Kielce,6,3,3,0,0
