KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Cracovia,34,30,25,13,12,5,4,1,1,"2,68"
Górnik Zabrze,34,32,26,16,8,4,0,0,0,"2,53"
Jagiellonia,34,33,32,27,16,9,5,0,0,"3,59"
Korona Kielce,34,31,24,13,9,3,2,1,1,"2,47"
Lech Poznań,34,29,26,17,10,5,1,0,0,"2,59"
Legia Warszawa,34,32,27,17,9,2,2,1,0,"2,65"
ŁKS Łódź,34,34,29,21,13,9,3,0,0,"3,21"
Piast Gliwice,34,27,22,12,8,3,1,0,0,"2,15"
Pogoń Szczecin,34,32,24,17,12,7,4,1,0,"2,85"
Puszcza Niepołomice,34,32,24,13,9,6,2,1,1,"2,59"
Radomiak Radom,34,32,29,17,11,7,2,1,0,"2,91"
Raków Częstochowa,34,33,29,16,7,4,2,1,1,"2,74"
Ruch Chorzów,34,30,27,17,10,5,2,2,2,"2,79"
Stal Mielec,34,28,22,18,13,6,2,1,0,"2,65"
Śląsk Wrocław,34,30,24,17,9,1,0,0,0,"2,38"
Warta Poznań,34,31,21,12,6,3,2,1,0,"2,24"
Widzew Łódź,34,33,26,18,11,3,0,0,0,"2,68"
Zagłębie Lubin,34,33,29,17,7,4,2,1,0,"2,74"
