KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,3764600,12303,,
Cracovia,153802,9047,221783,13046
Górnik Zabrze,278906,16406,220055,12944
Jagiellonia Białystok,233289,13723,187550,11032
Korona Kielce,182239,10720,181433,10673
Lech Poznań,422485,24852,245852,14462
Legia Warszawa,420175,24716,271488,15970
ŁKS Łódź,165043,9708,206832,12167
Piast Gliwice,86534,5090,188275,11075
Pogoń Szczecin,293504,17265,203264,11957
Puszcza Niepołomice,47474,2793,190327,11196
Radomiak Radom,131563,7739,211852,12462
Raków Częstochowa,89502,5265,219603,12918
Ruch Chorzów,314163,18480,212991,12529
Stal Mielec,98089,5770,172941,10173
Śląsk Wrocław,382181,22481,212091,12476
Warta Poznań,64448,3791,193832,11402
Widzew Łódź,292165,17186,249146,14656
Zagłębie Lubin,109038,6414,175285,10311
