ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Marek Hanousek,Widzew Łódź,2,0,2,0,0
Mateusz Kowalski,Jagiellonia,2,0,2,0,0
Mateusz Matras,Stal Mielec,2,0,0,2,0
Tornike Gaprindaszwili,Zagłębie Lubin,2,1,1,0,0
Bartosz Kapustka,Legia Warszawa,2,2,0,0,0
Joao Amaral,Lech Poznań,2,0,2,0,0
Mateusz Lewandowski,Wisła Płock,2,0,1,1,0
Patryk Lipski,Widzew Łódź,2,0,0,1,1
Fryderyk Gerbowski,Stal Mielec,2,1,1,0,0
Raphael Rossi,Radomiak Radom,2,0,0,2,0
Filip Szymczak,Lech Poznań,2,1,0,1,0
Nika Kwekweskiri,Lech Poznań,2,0,2,0,0
Jewhen Konoplanka,Cracovia,2,0,2,0,0
Constantin Reiner,Piast Gliwice,2,0,1,1,0
Martin Dolezal,Zagłębie Lubin,2,0,0,2,0
Rafał Adamski,Zagłębie Lubin,2,0,1,1,0
Kyryło Petrow,Korona Kielce,2,0,2,0,0
Kamil Drygas,Pogoń/Miedź,2,2,0,0,0
Jarosław Kubicki,Lechia Gdańsk,2,0,2,0,0
Patryk Kun,Raków Częstochowa,2,2,0,0,0
Kamil Kruk,Stal Mielec,2,0,0,2,0
Łukasz Bejger,Śląsk Wrocław,2,1,1,0,0
Dimitris Stavropoulos,Warta Poznań,2,0,1,1,0
Nemanja Mijusković,Miedź Legnica,2,0,0,2,0
Karol Knap,Cracovia,2,2,0,0,0
Michał Nalepa II,Lechia Gdańsk,2,2,0,0,0
Dani Pacheco,Górnik Zabrze,2,1,1,0,0
Mateusz Grzybek,Radomiak/Zagłębie,2,2,0,0,0
Emil Bergstrom,Górnik Zabrze,2,0,0,2,0
Sasa Zivec,Zagłębie Lubin,2,0,2,0,0
Ronaldo Deaconu,Korona Kielce,2,2,0,0,0
Arkadiusz Pyrka,Piast Gliwice,2,1,1,0,0
Mateusz Mak,Stal Mielec,2,1,1,0,0
Leonardo Koutris,Pogoń Szczecin,2,2,0,0,0
Kacper Kostorz,Korona Kielce,2,0,2,0,0
Mateusz Bochnak,Cracovia,2,0,2,0,0
Mateusz Szwoch,Wisła Płock,2,0,2,0,0
Daisuke Yokota,Górnik Zabrze,2,1,1,0,0
Aleksander Pawlak,Wisła Płock,1,0,1,0,0
Arkadiusz Kasperkiewicz,Stal Mielec,1,0,1,0,0
Daniel Leo Gretarsson,Śląsk Wrocław,1,0,0,1,0
Florian Loshaj,Cracovia,1,0,1,0,0
Jakub Jugas,Cracovia,1,1,0,0,0
Karol Danielak,Widzew Łódź,1,0,1,0,0
Maciej Śliwa,Miedź Legnica,1,0,1,0,0
Mathias Hebo Rasmussen,Cracovia,1,0,1,0,0
Maxime Dominguez,Miedź Legnica,1,1,0,0,0
Olaf Kobacki,Miedź Legnica,1,1,0,0,0
Otar Kakabadze,Cracovia,1,0,1,0,0
Richard Jensen,Górnik Zabrze,1,1,0,0,0
Mattias Johansson,Legia Warszawa,1,1,0,0,0
Paweł Olkowski,Górnik Zabrze,1,0,1,0,0
Anton Krywociuk,Wisła Płock,1,0,0,1,0
Michał Feliks,Radomiak Radom,1,0,0,1,0
Taras Romanczuk,Jagiellonia,1,0,0,1,0
Michał Kopczyński,Warta Poznań,1,0,1,0,0
Lindsay Rose,Legia Warszawa,1,0,1,0,0
Fedor Cernych,Jagiellonia,1,0,1,0,0
Adrian Łyszczarz,Śląsk Wrocław,1,1,0,0,0
Piotr Samiec-Talar,Śląsk Wrocław,1,1,0,0,0
Juliusz Letniowski,Widzew Łódź,1,0,1,0,0
Carlitos,Legia Warszawa,1,0,1,0,0
Santiago Naveda,Miedź Legnica,1,0,1,0,0
Ilkay Durmus,Lechia Gdańsk,1,0,1,0,0
Dawid Szymonowicz,Warta Poznań,1,0,1,0,0
Robert Ivanov,Warta Poznań,1,0,1,0,0
Tomasz Makowski,Zagłębie Lubin,1,0,1,0,0
Maciej Bortniczuk,Jagiellonia,1,1,0,0,0
Heorhij Citaiszwili,Lech Poznań,1,1,0,0,0
Kacper Smoliński,Pogoń Szczecin,1,1,0,0,0
Jakub Czerwiński,Piast Gliwice,1,0,0,1,0
Bartosz Kopacz,Zagłębie Lubin,1,0,0,1,0
Filip Starzyński,Zagłębie Lubin,1,0,1,0,0
Jesper Karlstrom,Lech Poznań,1,0,1,0,0
Jakub Lewicki,Jagiellonia,1,1,0,0,0
Jacek Podgórski,Korona Kielce,1,0,1,0,0
Tomas Prikryl,Jagiellonia,1,0,1,0,0
Jakub Sypek,Widzew Łódź,1,0,1,0,0
Tomasz Kupisz,Jagiellonia,1,0,0,1,0
Matej Rodin,Cracovia,1,0,1,0,0
Adam Ratajczyk,Stal Mielec,1,0,1,0,0
Enis Destan,Warta Poznań,1,0,1,0,0
Milan Corryn,Warta Poznań,1,0,0,1,0
Fabian Hiszpański,Stal Mielec,1,1,0,0,0
Yuri Ribeiro,Legia Warszawa,1,0,0,1,0
Miłosz Trojak,Korona Kielce,1,0,0,1,0
Giannis Papanikolaou,Raków Częstochowa,1,0,1,0,0
Antonio Milić,Lech Poznań,1,0,0,1,0
Blaz Kramer,Legia Warszawa,1,0,1,0,0
Bartłomiej Ciepiela,Stal Mielec,1,0,1,0,0
Paweł Żyra,Stal Mielec,1,1,0,0,0
Tomas Petrasek,Raków Częstochowa,1,0,0,1,0
Takuto Oshima,Cracovia,1,0,1,0,0
Mato Milos,Widzew Łódź,1,1,0,0,0
Szymon Matuszek,Miedź Legnica,1,0,0,1,0
Mateusz Skrzypczak,Jagiellonia,1,0,0,1,0
Radosław Murawski,Lech Poznań,1,0,1,0,0
Wojciech Łaski,Jagiellonia,1,0,1,0,0
Marcel Wędrychowski,Pogoń Szczecin,1,0,1,0,0
Mario Maloca,Lechia Gdańsk,1,1,0,0,0
Marco Terrazzino,Lechia Gdańsk,1,0,1,0,0
Jani Atanasov,Cracovia,1,0,1,0,0
David Jablonsky,Cracovia,1,0,0,1,0
Giannis Massouras,Miedź Legnica,1,0,1,0,0
Koki Hinokio,Stal Mielec,1,0,1,0,0
Gustav Berggren,Raków Częstochowa,1,0,1,0,0
Arttu Hoskonen,Cracovia,1,0,0,1,0
Anthony van den Hurk,Górnik Zabrze,1,0,1,0,0
Jarosław Jach,Zagłębie Lubin,1,0,0,1,0
Michał Pazdan,Jagiellonia,1,1,0,0,0
Marcin Cebula,Raków Częstochowa,1,0,1,0,0
Andrzej Niewulis,Miedź Legnica,1,1,0,0,0
Dominick Zator,Korona Kielce,1,0,0,1,0
Bogdan Racovitan,Raków Częstochowa,1,1,0,0,0
Marko Poletanović,Zagłębie Lubin,1,0,1,0,0
Boris Sekulić,Górnik Zabrze,1,1,0,0,0
Frank Castaneda,Radomiak Radom,1,0,1,0,0
Dawid Drachal,Miedź Legnica,1,0,1,0,0
Marcus Godinho,Korona Kielce,1,0,1,0,0
Andrejs Ciganiks,Widzew Łódź,1,1,0,0,0
Lubomir Satka,Lech Poznań,1,1,0,0,0
