ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Said Hamulic,Stal Mielec,9,3,12,1265,"140,6","105,4"
Davo,Wisła Płock,9,3,12,1376,"152,9","114,7"
Tomas Pekhart,Legia Warszawa,5,0,5,772,"154,4","154,4"
Mikael Ishak,Lech Poznań,11,4,15,1731,"157,4","115,4"
Marc Gual,Jagiellonia,15,8,23,2369,"157,9","103,0"
Bartosz Nowak,Górnik/Raków,11,4,15,1811,"164,6","120,7"
Kristoffer Hansen,Widzew Łódź,3,2,5,494,"164,7","98,8"
Szymon Włodarczyk,Górnik Zabrze,9,1,10,1492,"165,8","149,2"
Leonardo Rocha,Radomiak Radom,6,0,6,1058,"176,3","176,3"
Artur Sobiech,Lech Poznań,3,1,4,556,"185,3","139,0"
Fabian Piasecki,Raków Częstochowa,6,3,9,1174,"195,7","130,4"
Jesus Imaz,Jagiellonia,14,3,17,2806,"200,4","165,1"
Kristoffer Velde,Lech Poznań,8,3,11,1635,"204,4","148,6"
Ivi Lopez,Raków Częstochowa,9,6,15,1909,"212,1","127,3"
Marko Kolar,Wisła Płock,4,1,5,861,"215,3","172,2"
Flavio Paixao,Lechia Gdańsk,7,2,9,1516,"216,6","168,4"
Wahan Biczachczjan,Pogoń Szczecin,6,0,6,1309,"218,2","218,2"
Alexander Gorgon,Pogoń Szczecin,3,1,4,659,"219,7","164,8"
Łukasz Zwoliński,Lechia Gdańsk,9,0,9,1985,"220,6","220,6"
Vladislavs Gutkovskis,Raków Częstochowa,8,3,11,1768,"221,0","160,7"
Jakub Łukowski,Korona Kielce,12,1,13,2664,"222,0","204,9"
Kamil Grosicki,Pogoń Szczecin,13,8,21,2923,"224,8","139,2"
Josue,Legia Warszawa,12,6,18,2789,"232,4","154,9"
Dawid Kurminowski,Zagłębie Lubin,4,0,4,931,"232,8","232,8"
Kamil Wilczek,Piast Gliwice,9,0,9,2136,"237,3","237,3"
John Yeboah,Śląsk Wrocław,10,2,12,2442,"244,2","203,5"
Michał Skóraś,Lech Poznań,9,3,12,2261,"251,2","188,4"
Bartłomiej Pawłowski,Widzew Łódź,10,4,14,2586,"258,6","184,7"
Łukasz Sekulski,Wisła Płock,6,2,8,1592,"265,3","199,0"
Michał Rakoczy,Cracovia,7,2,9,1861,"265,9","206,8"
Pontus Almqvist,Pogoń Szczecin,5,5,10,1385,"277,0","138,5"
Władysław Koczerhin,Raków Częstochowa,8,3,11,2225,"278,1","202,3"
Filip Marchwiński,Lech Poznań,5,3,8,1437,"287,4","179,6"
Piotr Krawczyk,Górnik Zabrze,4,3,7,1183,"295,8","169,0"
Luciano Narsingh,Miedź Legnica,5,1,6,1513,"302,6","252,2"
Maurides,Radomiak Radom,4,4,8,1215,"303,8","151,9"
Angelo Henriquez,Miedź Legnica,7,1,8,2138,"305,4","267,3"
Jewgienij Szykawka,Korona Kielce,6,1,7,1870,"311,7","267,1"
Aleksander Paluszek,Górnik Zabrze,3,1,4,968,"322,7","242,0"
Robert Dadok,Górnik Zabrze,4,0,4,1298,"324,5","324,5"
Bartosz Śpiączka,Korona/Wisła P,6,2,8,1960,"326,7","245,0"
Erik Exposito,Śląsk Wrocław,7,5,12,2310,"330,0","192,5"
Miłosz Szczepański,Warta Poznań,4,3,7,1326,"331,5","189,4"
Adam Zrelak,Warta Poznań,8,4,12,2657,"332,1","221,4"
Luka Zahović,Pogoń Szczecin,6,2,8,2004,"334,0","250,5"
Afonso Sousa,Lech Poznań,4,2,6,1338,"334,5","223,0"
Rauno Sappinen,Piast/Stal,4,0,4,1351,"337,8","337,8"
Filipe Nascimento,Radomiak Radom,3,2,5,1035,"345,0","207,0"
Rafał Wolski,Wisła Płock,7,8,15,2418,"345,4","161,2"
Maciej Rosołek,Legia Warszawa,5,1,6,1754,"350,8","292,3"
Kacper Chodyna,Zagłębie Lubin,7,5,12,2465,"352,1","205,4"
Sebastian Kowalczyk,Pogoń Szczecin,6,6,12,2161,"360,2","180,1"
Chuca,Miedź Legnica,6,0,6,2166,"361,0","361,0"
Patryk Makuch,Cracovia,6,1,7,2172,"362,0","310,3"
Jordi Sanchez,Widzew Łódź,6,2,8,2200,"366,7","275,0"
Maciej Żurawski,Warta Poznań,4,2,6,1469,"367,3","244,8"
Filip Mladenović,Legia Warszawa,6,5,11,2234,"372,3","203,1"
Lukas Podolski,Górnik Zabrze,6,9,15,2258,"376,3","150,5"
Benjamin Kallman,Cracovia,6,1,7,2297,"382,8","328,1"
Ernest Muci,Legia Warszawa,5,6,11,1935,"387,0","175,9"
Paweł Wszołek,Legia Warszawa,7,8,15,2743,"391,9","182,9"
Dawid Błanik,Korona Kielce,3,4,7,1193,"397,7","170,4"
Mateusz Wdowiak,Raków Częstochowa,3,2,5,1244,"414,7","248,8"
Kanji Okunuki,Górnik Zabrze,4,0,4,1723,"430,8","430,8"
Koldo Obieta,Miedź Legnica,3,1,4,1298,"432,7","324,5"
Rafał Augustyniak,Legia Warszawa,4,0,4,1745,"436,3","436,3"
Nene,Jagiellonia,5,3,8,2292,"458,4","286,5"
