ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Kamil Grosicki,Pogoń Szczecin,17,20,"35,3%"
Paweł Wszołek,Legia Warszawa,10,15,"60,0%"
Lukas Podolski,Górnik Zabrze,10,14,"20,0%"
Bartłomiej Pawłowski,Widzew Łódź,8,13,"25,0%"
Josue,Legia Warszawa,5,13,"40,0%"
Łukasz Łakomy,Zagłębie Lubin,2,13,"100,0%"
Bartosz Nowak,Raków Częstochowa,12,11,"58,3%"
Marc Gual,Jagiellonia,10,11,"70,0%"
Pontus Almqvist,Pogoń Szczecin,7,11,"42,9%"
Filip Mladenović,Legia Warszawa,5,11,"40,0%"
Joel Pereira,Lech Poznań,0,10,-
Dominik Furman,Wisła Płock,0,9,-
Jesus Imaz,Jagiellonia,23,8,"47,8%"
Ivi Lopez,Raków Częstochowa,8,8,"37,5%"
Michał Chrapek,Piast Gliwice,6,8,"50,0%"
Rafał Wolski,Wisła Płock,4,8,"25,0%"
Mikael Ishak,Lech Poznań,19,7,"31,6%"
Fabian Piasecki,Raków Częstochowa,14,7,"21,4%"
Benjamin Kallman,Cracovia,13,7,"23,1%"
Kacper Chodyna,Zagłębie Lubin,13,7,"23,1%"
Erik Exposito,Śląsk Wrocław,9,7,"22,2%"
Tomas Prikryl,Jagiellonia,3,7,"0,0%"
Ronaldo Deaconu,Korona Kielce,1,7,"0,0%"
Bartosz Slisz,Legia Warszawa,1,7,"0,0%"
Maxime Dominguez,Miedź Legnica,0,7,-
Luka Zahović,Pogoń Szczecin,16,6,"37,5%"
Michał Skóraś,Lech Poznań,9,6,"55,6%"
Kristoffer Velde,Lech Poznań,9,6,"33,3%"
Sebastian Kowalczyk,Pogoń Szczecin,9,6,"22,2%"
Fran Tudor,Raków Częstochowa,5,6,"0,0%"
Kristian Vallo,Wisła Płock,4,6,"25,0%"
Patryk Kun,Raków Częstochowa,3,6,"33,3%"
Jean Carlos Silva,Pogoń/Raków,2,6,"50,0%"
Damian Kądzior,Piast Gliwice,2,6,"50,0%"
Konrad Matuszewski,Warta Poznań,2,6,"0,0%"
Nene,Jagiellonia,2,6,"0,0%"
Otar Kakabadze,Cracovia,1,6,"100,0%"
Jani Atanasov,Cracovia,1,6,"0,0%"
Nika Kwekweskiri,Lech Poznań,0,6,-
Dani Pacheco,Górnik Zabrze,0,6,-
John Yeboah,Śląsk Wrocław,15,5,"33,3%"
Filip Marchwiński,Lech Poznań,9,5,"44,4%"
Ernest Terpiłowski,Widzew Łódź,9,5,"33,3%"
Jakub Łukowski,Korona Kielce,7,5,"57,1%"
Władysław Koczerhin,Raków Częstochowa,7,5,"42,9%"
Ernest Muci,Legia Warszawa,7,5,"42,9%"
Tomasz Pieńko,Zagłębie Lubin,6,5,"16,7%"
Filip Starzyński,Zagłębie Lubin,6,5,"0,0%"
Mateusz Wdowiak,Raków Częstochowa,5,5,"60,0%"
Roberto Alves,Radomiak Radom,4,5,"25,0%"
Jan Grzesik,Warta Poznań,3,5,"66,7%"
Arkadiusz Pyrka,Piast Gliwice,2,5,"50,0%"
Miguel Luis,Warta Poznań,2,5,"0,0%"
Mateusz Szwoch,Wisła Płock,1,5,"100,0%"
Nahuel Leiva,Śląsk Wrocław,1,5,"100,0%"
Ilkay Durmus,Lechia Gdańsk,1,5,"0,0%"
Erik Janza,Górnik Zabrze,1,5,"0,0%"
Alexandros Katranis,Piast Gliwice,0,5,-
Krystian Getinger,Stal Mielec,0,5,-
Adam Zrelak,Warta Poznań,14,4,"42,9%"
Vladislavs Gutkovskis,Raków Częstochowa,14,4,"21,4%"
Jordi Sanchez,Widzew Łódź,11,4,"36,4%"
Kanji Okunuki,Górnik Zabrze,8,4,"37,5%"
Piotr Krawczyk,Górnik Zabrze,7,4,"28,6%"
Damjan Bohar,Zagłębie Lubin,7,4,"28,6%"
Davo,Wisła Płock,6,4,"83,3%"
Koldo Obieta,Miedź Legnica,6,4,"50,0%"
Patryk Makuch,Cracovia,6,4,"33,3%"
Afonso Sousa,Lech Poznań,5,4,"20,0%"
Jewhen Konoplanka,Cracovia,4,4,"25,0%"
Damian Rasak,Wisła P/Górnik,3,4,"33,3%"
Bartosz Kapustka,Legia Warszawa,2,4,"0,0%"
Daisuke Yokota,Górnik Zabrze,2,4,"0,0%"
Maciej Domański,Stal Mielec,1,4,"100,0%"
Fabio Nunes,Widzew Łódź,1,4,"0,0%"
Patryk Dziczek,Piast Gliwice,1,4,"0,0%"
Hubert Matynia,Miedź Legnica,0,4,-
Kamil Wilczek,Piast Gliwice,16,3,"37,5%"
Jewgienij Szykawka,Korona Kielce,9,3,"66,7%"
Rauno Sappinen,Piast/Stal,8,3,"50,0%"
Luis Machado,Radomiak Radom,8,3,"12,5%"
Dominik Kun,Widzew Łódź,7,3,"42,9%"
Maurides,Radomiak Radom,7,3,"42,9%"
Dawid Abramowicz,Radomiak Radom,6,3,"16,7%"
Filip Szymczak,Lech Poznań,6,3,"16,7%"
Grzegorz Tomasiewicz,Piast Gliwice,5,3,"20,0%"
Mateusz Mak,Stal Mielec,5,3,"20,0%"
Zoran Arsenić,Raków Częstochowa,5,3,"0,0%"
Flavio Paixao,Lechia Gdańsk,4,3,"50,0%"
Dawid Błanik,Korona Kielce,4,3,"50,0%"
Leandro Rocha,Radomiak Radom,4,3,"50,0%"
Maik Nawrocki,Legia Warszawa,3,3,"66,7%"
Artur Sobiech,Lech Poznań,3,3,"66,7%"
Mateusz Grzybek,Radomiak/Zagłębie,3,3,"33,3%"
Mateusz Matras,Stal Mielec,3,3,"33,3%"
Petr Schwarz,Śląsk Wrocław,3,3,"33,3%"
Kajetan Szmyt,Warta Poznań,3,3,"33,3%"
Bartosz Bida,Jagiellonia,3,3,"0,0%"
Heorhij Citaiszwili,Lech Poznań,3,3,"0,0%"
Mateusz Łęgowski,Pogoń Szczecin,2,3,"50,0%"
Dalibor Takac,Korona Kielce,2,3,"0,0%"
Bassekou Diabate,Lechia Gdańsk,2,3,"0,0%"
Mathias Hebo Rasmussen,Cracovia,1,3,"100,0%"
Karol Knap,Cracovia,1,3,"100,0%"
Jarosław Kubicki,Lechia Gdańsk,1,3,"100,0%"
Filipe Nascimento,Radomiak Radom,1,3,"0,0%"
Niilo Maenpaa,Warta Poznań,1,3,"0,0%"
Adam Ratajczyk,Stal Mielec,1,3,"0,0%"
Taras Romanczuk,Jagiellonia,1,3,"0,0%"
Tomas Petrasek,Raków Częstochowa,1,3,"0,0%"
Patryk Stępiński,Widzew Łódź,1,3,"0,0%"
Boris Sekulić,Górnik Zabrze,1,3,"0,0%"
Victor Garcia,Śląsk Wrocław,0,3,-
Marko Poletanović,Zagłębie Lubin,0,3,-
Paweł Zieliński,Widzew Łódź,0,3,-
Radosław Murawski,Lech Poznań,0,3,-
Marcin Flis,Stal Mielec,0,3,-
Jakub Kałuziński,Lechia Gdańsk,0,3,-
Diogo Verdasca,Śląsk Wrocław,0,3,-
Marius Briceag,Korona Kielce,0,3,-
Dimityr Wełkowski,Miedź Legnica,0,3,-
Maciej Rosołek,Legia Warszawa,13,2,"23,1%"
Łukasz Sekulski,Wisła Płock,10,2,"40,0%"
Łukasz Zwoliński,Lechia Gdańsk,9,2,"77,8%"
Said Hamulic,Stal Mielec,8,2,"62,5%"
Luciano Narsingh,Miedź Legnica,8,2,"50,0%"
Lisandro Semedo,Radomiak Radom,8,2,"25,0%"
Wahan Biczachczjan,Pogoń Szczecin,8,2,"12,5%"
Stratos Svarnas,Raków Częstochowa,7,2,"42,9%"
Angelo Henriquez,Miedź Legnica,7,2,"14,3%"
Alexander Gorgon,Pogoń Szczecin,6,2,"50,0%"
Paweł Olkowski,Górnik Zabrze,5,2,"20,0%"
Tornike Gaprindaszwili,Zagłębie Lubin,4,2,"50,0%"
Dennis Jastrzembski,Śląsk Wrocław,4,2,"50,0%"
Piotr Samiec-Talar,Śląsk Wrocław,4,2,"25,0%"
Olaf Kobacki,Miedź Legnica,4,2,"25,0%"
Chuca,Miedź Legnica,3,2,"66,7%"
Mato Milos,Widzew Łódź,3,2,"0,0%"
Jesper Karlstrom,Lech Poznań,3,2,"0,0%"
Marco Terrazzino,Lechia Gdańsk,2,2,"50,0%"
Karol Danielak,Widzew Łódź,2,2,"0,0%"
Ariel Mosór,Piast Gliwice,2,2,"0,0%"
Giannis Papanikolaou,Raków Częstochowa,2,2,"0,0%"
Milan Rundić,Raków Częstochowa,2,2,"0,0%"
Antonio Milić,Lech Poznań,2,2,"0,0%"
Gabriel Kirejczyk,Piast Gliwice,2,2,"0,0%"
Juljan Shehu,Widzew Łódź,2,2,"0,0%"
Maciej Gajos,Lechia Gdańsk,1,2,"100,0%"
Daniel Leo Gretarsson,Śląsk Wrocław,1,2,"100,0%"
Rafał Adamski,Zagłębie Lubin,1,2,"100,0%"
Alan Czerwiński,Lech Poznań,1,2,"0,0%"
Juliusz Letniowski,Widzew Łódź,1,2,"0,0%"
Alberto Toril,Piast Gliwice,1,2,"0,0%"
Richard Jensen,Górnik Zabrze,1,2,"0,0%"
Łukasz Zjawiński,Widzew Łódź,1,2,"0,0%"
Paweł Jaroszyński,Cracovia,1,2,"0,0%"
Jacek Podgórski,Korona Kielce,1,2,"0,0%"
Wiktor Długosz,Raków Częstochowa,1,2,"0,0%"
Marek Hanousek,Widzew Łódź,1,2,"0,0%"
Berto Cayarga,Radomiak Radom,1,2,"0,0%"
Pedro Rebocho,Lech Poznań,1,2,"0,0%"
Israel Puerto,Jagiellonia,1,2,"0,0%"
Thabo Cele,Radomiak Radom,0,2,-
Cheikhou Dieng,Zagłębie Lubin,0,2,-
Michał Kucharczyk,Pogoń Szczecin,0,2,-
Leandro Rossi,Radomiak Radom,0,2,-
Robert Pich,Legia Warszawa,0,2,-
Cornel Rapa,Cracovia,0,2,-
Andrzej Trubeha,Jagiellonia,0,2,-
Bartłomiej Wdowik,Jagiellonia,0,2,-
Patrick Olsen,Śląsk Wrocław,0,2,-
Daniel Pik,Radomiak Radom,0,2,-
Piotr Tomasik,Wisła Płock,0,2,-
