KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,11,9,2,0,14,2,5,7,9,1,3,5
Górnik Zabrze,10,7,2,1,10,5,4,1,14,1,3,10
Jagiellonia,10,4,4,2,15,3,6,6,9,2,4,3
Korona Kielce,10,8,2,0,12,2,4,6,12,1,2,9
Lech Poznań,12,12,0,0,14,5,8,1,8,0,2,6
Lechia Gdańsk,3,2,0,1,13,5,4,4,17,1,2,14
Legia Warszawa,14,11,3,0,15,8,4,3,5,0,2,3
Miedź Legnica,6,3,2,1,18,1,8,9,10,0,1,9
Piast Gliwice,9,8,1,0,18,6,6,6,6,0,1,5
Pogoń Szczecin,11,9,2,0,19,8,5,6,4,0,2,2
Radomiak Radom,9,8,1,0,13,3,7,3,12,1,0,11
Raków Częstochowa,15,14,1,0,12,8,4,0,7,1,1,5
Stal Mielec,11,9,1,1,17,2,8,7,6,0,1,5
Śląsk Wrocław,6,4,2,0,16,4,9,3,12,1,0,11
Warta Poznań,9,8,1,0,17,4,8,5,8,0,0,8
Widzew Łódź,5,5,0,0,14,6,5,3,15,0,3,12
Wisła Płock,11,5,3,3,14,5,2,7,9,0,2,7
Zagłębie Lubin,8,6,2,0,19,6,7,6,7,0,0,7
