ZAWODNIK,KLUB,słupek,poprzeczka,SUMA
Jesus Imaz,Jagiellonia,4,1,5
Bartłomiej Pawłowski,Widzew Łódź,2,3,5
Maxime Dominguez,Miedź Legnica,3,1,4
Adam Zrelak,Warta Poznań,2,2,4
Ronaldo Deaconu,Korona Kielce,2,2,4
Kamil Grosicki,Pogoń Szczecin,1,2,3
Władysław Koczerhin,Raków Częstochowa,2,1,3
Patryk Kun,Raków Częstochowa,1,2,3
Tomas Prikryl,Jagiellonia,3,0,3
Kamil Wilczek,Piast Gliwice,1,2,3
Luka Zahović,Pogoń Szczecin,2,1,3
Michał Chrapek,Piast Gliwice,0,2,2
Robert Dadok,Górnik Zabrze,1,1,2
Virgil Ghita,Cracovia,1,1,2
Mikael Ishak,Lech Poznań,0,2,2
Bartosz Kapustka,Legia Warszawa,1,1,2
Juliusz Letniowski,Widzew Łódź,1,1,2
Florian Loshaj,Cracovia,1,1,2
Jakub Łukowski,Korona Kielce,2,0,2
Filip Marchwiński,Lech Poznań,1,1,2
Ariel Mosór,Piast Gliwice,1,1,2
Paweł Olkowski,Górnik Zabrze,1,1,2
Fabian Piasecki,Raków Częstochowa,1,1,2
Maciej Rosołek,Legia Warszawa,2,0,2
Michał Skóraś,Lech Poznań,1,1,2
Filip Starzyński,Zagłębie Lubin,1,1,2
Miłosz Szczepański,Warta Poznań,0,2,2
Mateusz Szwoch,Wisła Płock,1,1,2
Jewgienij Szykawka,Korona Kielce,1,1,2
Ernest Terpiłowski,Widzew Łódź,1,1,2
Marco Terrazzino,Lechia Gdańsk,1,1,2
Piotr Tomasik,Wisła Płock,1,1,2
Kristoffer Velde,Lech Poznań,1,1,2
Tomas Pekhart,Legia Warszawa,1,1,2
Dawid Abramowicz,Radomiak Radom,0,1,1
Rafał Adamski,Zagłębie Lubin,1,0,1
Pontus Almqvist,Pogoń Szczecin,0,1,1
Roberto Alves,Radomiak Radom,1,0,1
Joao Amaral,Lech Poznań,0,1,1
Gustav Berggren,Raków Częstochowa,0,1,1
Caye Quintana,Śląsk Wrocław,1,0,1
Fedor Cernych,Jagiellonia,1,0,1
Conrado,Lechia Gdańsk,0,1,1
Damian Dąbrowski,Pogoń Szczecin,0,1,1
Karol Danielak,Widzew Łódź,1,0,1
Bassekou Diabate,Lechia Gdańsk,1,0,1
Maciej Domański,Stal Mielec,1,0,1
Barry Douglas,Lech Poznań,1,0,1
Victor Garcia,Śląsk Wrocław,1,0,1
Mateusz Grzybek,Radomiak/Zagłębie,0,1,1
Marc Gual,Jagiellonia,1,0,1
