KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Cracovia,"11,41","3,50","4,41","3,50","30,67%","3,50","30,67%","8,76%"
Górnik Z,"12,38","4,44","4,56","3,38","27,32%","3,60","35,87%","9,98%"
Jagiellonia,"15,82","5,21","6,44","4,18","26,39%","3,77","32,90%","8,74%"
Korona,"13,03","4,18","4,91","3,94","30,25%","3,09","32,05%","10,38%"
Lech,"10,06","3,18","4,47","2,41","23,98%","3,72","31,58%","8,48%"
Lechia,"15,18","4,97","6,06","4,15","27,33%","3,52","32,75%","9,30%"
Legia,"10,15","3,65","4,29","2,21","21,74%","3,44","35,94%","10,43%"
Miedź,"14,50","5,68","5,26","3,56","24,54%","3,64","39,15%","10,75%"
Piast,"9,62","3,21","3,91","2,50","25,99%","3,52","33,33%","9,48%"
Pogoń,"11,79","4,00","4,94","2,85","24,19%","3,02","33,92%","11,22%"
Radomiak,"11,29","4,59","3,76","2,94","26,04%","3,80","40,63%","10,68%"
Raków,"8,26","2,47","3,21","2,59","31,32%","3,65","29,89%","8,19%"
Stal,"13,26","4,59","5,24","3,44","25,94%","4,00","34,59%","8,65%"
Śląsk,"10,47","4,00","3,91","2,56","24,44%","2,96","38,20%","12,92%"
Warta,"10,68","3,29","4,50","2,88","27,00%","3,61","30,85%","8,54%"
Widzew,"13,24","4,59","5,24","3,41","25,78%","3,47","34,67%","10,00%"
Wisła P,"15,29","5,00","6,29","4,00","26,15%","3,54","32,69%","9,23%"
Zagłębie,"13,26","3,97","5,32","3,97","29,93%","3,07","29,93%","9,76%"
