KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,756,76,90,43,14,16,243,"32,14%",513,"67,86%"
Cracovia,41,2,6,2,1,2,13,"31,71%",28,"68,29%"
Górnik Zabrze,45,5,5,2,1,1,14,"31,11%",31,"68,89%"
Jagiellonia Białystok,48,4,8,1,0,0,15,"31,25%",33,"68,75%"
Korona Kielce,39,6,4,4,0,2,16,"41,03%",23,"58,97%"
Lech Poznań,51,5,5,2,0,0,12,"23,53%",39,"76,47%"
Lechia Gdańsk,29,5,4,0,0,0,9,"31,03%",20,"68,97%"
Legia Warszawa,57,8,7,3,2,0,20,"35,09%",37,"64,91%"
Miedź Legnica,33,3,3,2,0,3,11,"33,33%",22,"66,67%"
Piast Gliwice,37,3,2,7,0,0,13,"35,14%",24,"64,86%"
Pogoń Szczecin,57,9,6,0,1,0,16,"28,07%",41,"71,93%"
Radomiak Radom,34,4,6,3,0,2,15,"44,12%",19,"55,88%"
Raków Częstochowa,63,6,7,9,3,0,25,"39,68%",38,"60,32%"
Stal Mielec,36,3,7,5,1,2,18,"50,00%",18,"50,00%"
Śląsk Wrocław,35,3,4,1,1,0,9,"25,71%",26,"74,29%"
Warta Poznań,37,2,7,0,0,1,10,"27,03%",27,"72,97%"
Widzew Łódź,38,5,3,0,2,2,12,"31,58%",26,"68,42%"
Wisła Płock,41,2,3,1,1,1,8,"19,51%",33,"80,49%"
Zagłębie Lubin,35,1,3,1,1,0,7,"20,00%",28,"80,00%"
