KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Cracovia,"36,44",39,"34,43",34,"2,01",5,46,"48,86","-2,86"
Górnik Zabrze,"38,14",45,"35,56",42,"2,58",3,48,"47,50","0,50"
Jagiellonia Białystok,"39,20",45,"51,65",47,"-12,45",-2,41,"38,86","2,14"
Korona Kielce,"37,87",38,"43,56",46,"-5,69",-8,41,"41,93","-0,93"
Lech Poznań,"48,60",51,"30,73",29,"17,87",22,61,"58,20","2,80"
Lechia Gdańsk,"31,21",28,"46,60",48,"-15,39",-20,33,"36,08","-3,08"
Legia Warszawa,"45,87",55,"29,87",36,"15,99",19,66,"57,44","8,56"
Miedź Legnica,"31,42",32,"48,66",53,"-17,24",-21,23,"36,32","-13,32"
Piast Gliwice,"32,22",34,"27,09",31,"5,13",3,50,"49,57","0,43"
Pogoń Szczecin,"50,64",53,"41,19",45,"9,45",8,60,"52,26","7,74"
Radomiak Radom,"34,96",32,"33,48",41,"1,48",-9,44,"46,20","-2,20"
Raków Częstochowa,"51,65",61,"20,32",23,"31,33",38,75,"67,90","7,10"
Stal Mielec,"29,96",34,"42,96",39,"-13,00",-5,43,"36,80","6,20"
Śląsk Wrocław,"28,03",33,"37,28",46,"-9,25",-13,38,"38,65","-0,65"
Warta Poznań,"33,69",35,"30,62",31,"3,07",4,45,"47,98","-2,98"
Widzew Łódź,"40,45",38,"37,40",45,"3,04",-7,41,"48,55","-7,55"
Wisła Płock,"33,82",41,"46,99",48,"-13,17",-7,37,"37,22","-0,22"
Zagłębie Lubin,"38,94",34,"44,69",44,"-5,75",-10,45,"42,25","2,75"
