,GOLE,LN,PN,G,INNE,,756,222,400,121,13
Cracovia,41,10,21,9,1
Górnik Zabrze,45,15,22,7,1
Jagiellonia Białystok,48,19,25,4,0
Korona Kielce,39,7,22,10,0
Lech Poznań,51,9,35,7,0
Lechia Gdańsk,29,6,17,6,0
Legia Warszawa,57,27,16,13,1
Miedź Legnica,33,8,20,5,0
Piast Gliwice,37,16,13,5,3
Pogoń Szczecin,57,16,39,2,0
Radomiak Radom,34,15,12,6,1
Raków Częstochowa,63,12,43,6,2
Stal Mielec,36,6,19,11,0
Śląsk Wrocław,35,21,8,5,1
Warta Poznań,37,6,20,9,2
Widzew Łódź,38,12,20,5,1
Wisła Płock,41,9,26,6,0
Zagłębie Lubin,35,8,22,5,0
