KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,8,7,1,0,8,1,3,4
Górnik Zabrze,7,5,1,1,9,1,3,5
Jagiellonia,11,6,1,4,6,2,3,1
Korona Kielce,8,6,1,1,9,2,2,5
Lech Poznań,10,9,1,0,6,0,0,6
Lechia Gdańsk,5,4,0,1,9,1,1,7
Legia Warszawa,11,8,3,0,6,4,2,0
Miedź Legnica,6,2,3,1,9,1,2,6
Piast Gliwice,6,5,1,0,9,1,2,6
Pogoń Szczecin,8,6,2,0,8,4,1,3
Radomiak Radom,6,5,1,0,9,0,1,8
Raków Częstochowa,14,13,1,0,3,1,1,1
Stal Mielec,5,4,1,0,9,2,3,4
Śląsk Wrocław,6,4,2,0,9,2,2,5
Warta Poznań,6,4,2,0,9,1,3,5
Widzew Łódź,8,5,1,2,8,0,1,7
Wisła Płock,12,8,2,2,4,0,1,3
Zagłębie Lubin,6,3,3,0,9,1,0,8
