ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Marc Gual,Jagiellonia,15,8,23,0,1,5,0,23
Kamil Grosicki,Pogoń Szczecin,13,8,21,0,0,7,5,26
Josue,Legia Warszawa,12,6,18,0,0,4,12,30
Jesus Imaz,Jagiellonia,14,3,17,1,0,7,1,18
Bartosz Nowak,Górnik/Raków,11,4,15,2,0,2,1,16
Ivi Lopez,Raków Częstochowa,9,6,15,0,0,4,3,18
Lukas Podolski,Górnik Zabrze,6,9,15,0,0,1,4,19
Paweł Wszołek,Legia Warszawa,7,8,15,0,0,3,5,20
Rafał Wolski,Wisła Płock,7,8,15,0,0,4,2,17
Mikael Ishak,Lech Poznań,11,4,15,1,1,3,3,18
Bartłomiej Pawłowski,Widzew Łódź,10,4,14,0,0,5,1,15
Jakub Łukowski,Korona Kielce,12,1,13,0,0,4,0,13
Adam Zrelak,Warta Poznań,8,4,12,0,0,4,3,15
Davo,Wisła Płock,9,3,12,0,0,2,2,14
Erik Exposito,Śląsk Wrocław,7,5,12,0,0,4,3,15
Michał Skóraś,Lech Poznań,9,3,12,0,0,1,3,15
Said Hamulic,Stal Mielec,9,3,12,1,1,3,3,15
John Yeboah,Śląsk Wrocław,10,2,12,2,0,3,4,16
Sebastian Kowalczyk,Pogoń Szczecin,6,6,12,1,2,1,7,19
Kacper Chodyna,Zagłębie Lubin,7,5,12,0,0,2,1,13
Ernest Muci,Legia Warszawa,5,6,11,1,1,2,2,13
Filip Mladenović,Legia Warszawa,6,5,11,0,0,1,3,14
Vladislavs Gutkovskis,Raków Częstochowa,8,3,11,1,1,3,1,12
Władysław Koczerhin,Raków Częstochowa,8,3,11,0,0,2,4,15
Kristoffer Velde,Lech Poznań,8,3,11,2,0,2,1,12
Erik Janza,Górnik Zabrze,2,8,10,0,0,0,9,19
Pontus Almqvist,Pogoń Szczecin,5,5,10,1,0,1,4,14
Szymon Włodarczyk,Górnik Zabrze,9,1,10,1,0,4,2,12
Fabian Piasecki,Raków Częstochowa,6,3,9,2,2,3,1,10
Flavio Paixao,Lechia Gdańsk,7,2,9,1,0,2,2,11
Fran Tudor,Raków Częstochowa,2,7,9,0,0,1,4,13
Łukasz Zwoliński,Lechia Gdańsk,9,0,9,2,0,4,0,9
Maciej Domański,Stal Mielec,4,5,9,0,0,0,7,16
Michał Rakoczy,Cracovia,7,2,9,0,0,4,1,10
Damian Kądzior,Piast Gliwice,3,6,9,0,0,1,3,12
Michał Chrapek,Piast Gliwice,4,5,9,0,0,3,3,12
Kamil Wilczek,Piast Gliwice,9,0,9,0,0,1,1,10
Kajetan Szmyt,Warta Poznań,3,6,9,0,1,1,2,11
Angelo Henriquez,Miedź Legnica,7,1,8,0,0,3,2,10
Jordi Sanchez,Widzew Łódź,6,2,8,2,0,2,4,12
Luka Zahović,Pogoń Szczecin,6,2,8,1,1,0,5,13
Łukasz Sekulski,Wisła Płock,6,2,8,2,1,3,3,11
Bartosz Śpiączka,Korona/Wisła P,6,2,8,0,0,4,1,9
Maurides,Radomiak Radom,4,4,8,2,0,2,2,10
Nene,Jagiellonia,5,3,8,1,0,1,5,13
Filip Marchwiński,Lech Poznań,5,3,8,0,2,1,1,9
Damjan Bohar,Zagłębie Lubin,3,5,8,0,0,2,1,9
Benjamin Kallman,Cracovia,6,1,7,1,0,2,3,10
Damian Dąbrowski,Pogoń Szczecin,4,3,7,0,0,2,5,12
Damian Rasak,Wisła P/Górnik,2,5,7,0,3,1,1,8
Ernest Terpiłowski,Widzew Łódź,3,4,7,0,0,0,1,8
Łukasz Łakomy,Zagłębie Lubin,4,3,7,0,0,2,3,10
Maxime Dominguez,Miedź Legnica,1,6,7,0,0,1,3,10
Patryk Makuch,Cracovia,6,1,7,1,1,1,3,10
Roberto Alves,Radomiak Radom,3,4,7,0,0,0,6,13
Jan Grzesik,Warta Poznań,3,4,7,0,0,1,5,12
Jean Carlos Silva,Pogoń/Raków,4,3,7,1,0,0,3,10
Mateusz Łęgowski,Pogoń Szczecin,3,4,7,0,1,2,3,10
Luis Machado,Radomiak Radom,3,4,7,0,0,1,4,11
Piotr Krawczyk,Górnik Zabrze,4,3,7,1,1,1,0,7
Dawid Błanik,Korona Kielce,3,4,7,2,1,1,3,10
Miłosz Szczepański,Warta Poznań,4,3,7,1,1,0,3,10
Stratos Svarnas,Raków Częstochowa,3,4,7,0,0,0,1,8
Jewgienij Szykawka,Korona Kielce,6,1,7,2,0,0,0,7
Dani Pacheco,Górnik Zabrze,2,5,7,0,0,0,1,8
Dominik Kun,Widzew Łódź,4,2,6,2,0,3,2,8
Kristian Vallo,Wisła Płock,2,4,6,0,0,2,3,9
Maciej Żurawski,Warta Poznań,4,2,6,2,1,0,1,7
Wahan Biczachczjan,Pogoń Szczecin,6,0,6,4,0,1,5,11
Chuca,Miedź Legnica,6,0,6,0,0,3,2,8
Grzegorz Tomasiewicz,Piast Gliwice,3,3,6,0,0,3,5,11
Luciano Narsingh,Miedź Legnica,5,1,6,0,0,2,2,8
Afonso Sousa,Lech Poznań,4,2,6,0,0,2,2,8
Maciej Rosołek,Legia Warszawa,5,1,6,2,1,1,3,9
Leonardo Rocha,Radomiak Radom,6,0,6,0,0,5,1,7
Dawid Abramowicz,Radomiak Radom,4,1,5,0,0,1,2,7
Konrad Matuszewski,Warta Poznań,0,5,5,0,0,0,1,6
Lisandro Semedo,Radomiak Radom,3,2,5,0,1,0,3,8
Marko Kolar,Wisła Płock,4,1,5,3,1,2,2,7
Mateusz Matras,Stal Mielec,2,3,5,0,0,1,0,5
Mateusz Wdowiak,Raków Częstochowa,3,2,5,2,1,1,1,6
Olaf Kobacki,Miedź Legnica,1,4,5,0,1,1,2,7
Otar Kakabadze,Cracovia,1,4,5,1,2,0,1,6
Petr Schwarz,Śląsk Wrocław,3,2,5,0,0,2,0,5
Bartosz Kapustka,Legia Warszawa,2,3,5,0,0,0,3,8
Filipe Nascimento,Radomiak Radom,3,2,5,0,0,0,1,6
Kristoffer Hansen,Widzew Łódź,3,2,5,3,2,1,2,7
Nahuel Leiva,Śląsk Wrocław,3,2,5,0,0,1,4,9
Michael Ameyaw,Piast Gliwice,3,2,5,1,0,0,1,6
Maik Nawrocki,Legia Warszawa,4,1,5,0,0,0,2,7
Patryk Dziczek,Piast Gliwice,3,2,5,0,0,1,1,6
Tomas Pekhart,Legia Warszawa,5,0,5,1,0,4,2,7
Bartłomiej Wdowik,Jagiellonia,0,4,4,0,1,0,4,8
Dominik Furman,Wisła Płock,0,4,4,0,0,0,4,8
Jakub Bartkowski,Pogoń/Lechia,2,2,4,1,0,0,6,10
Maciej Gajos,Lechia Gdańsk,4,0,4,1,0,3,1,5
Piotr Wlazło,Stal Mielec,4,0,4,0,0,3,1,5
Victor Garcia,Śląsk Wrocław,0,4,4,0,1,0,2,6
Aleksander Paluszek,Górnik Zabrze,3,1,4,0,0,3,0,4
Carlitos,Legia Warszawa,1,3,4,1,0,1,2,6
Ilkay Durmus,Lechia Gdańsk,1,3,4,1,1,0,0,4
Filip Szymczak,Lech Poznań,2,2,4,2,0,0,1,5
Nika Kwekweskiri,Lech Poznań,2,2,4,0,1,1,2,6
Rafał Augustyniak,Legia Warszawa,4,0,4,0,0,1,1,5
Jewhen Konoplanka,Cracovia,2,2,4,1,1,1,3,7
Hubert Matynia,Miedź Legnica,0,4,4,0,0,0,0,4
Robert Dadok,Górnik Zabrze,4,0,4,1,0,0,1,5
Kanji Okunuki,Górnik Zabrze,4,0,4,0,0,0,4,8
Jarosław Kubicki,Lechia Gdańsk,2,2,4,0,0,1,2,6
Patryk Kun,Raków Częstochowa,2,2,4,0,0,2,3,7
Łukasz Bejger,Śląsk Wrocław,2,2,4,0,0,1,1,5
Patryk Stępiński,Widzew Łódź,0,4,4,0,0,0,1,5
Rauno Sappinen,Piast/Stal,4,0,4,2,0,1,1,5
Karol Knap,Cracovia,2,2,4,0,0,1,2,6
Koldo Obieta,Miedź Legnica,3,1,4,1,0,1,1,5
Bartosz Slisz,Legia Warszawa,0,4,4,0,0,0,2,6
Alexander Gorgon,Pogoń Szczecin,3,1,4,2,1,0,1,5
Jani Atanasov,Cracovia,1,3,4,0,1,0,1,5
Ronaldo Deaconu,Korona Kielce,2,2,4,0,0,2,4,8
Dawid Kurminowski,Zagłębie Lubin,4,0,4,0,0,2,1,5
Artur Sobiech,Lech Poznań,3,1,4,0,0,1,1,5
Mateusz Szwoch,Wisła Płock,2,2,4,0,0,2,1,5
Daisuke Yokota,Górnik Zabrze,2,2,4,0,0,1,3,7
Daniel Leo Gretarsson,Śląsk Wrocław,1,2,3,0,0,0,3,6
Jakub Myszor,Cracovia,2,1,3,0,0,2,2,5
Karol Danielak,Widzew Łódź,1,2,3,0,0,1,1,4
Richard Jensen,Górnik Zabrze,1,2,3,0,1,0,2,5
Joao Amaral,Lech Poznań,2,1,3,1,1,1,2,5
Jorge Felix,Piast Gliwice,3,0,3,1,0,3,3,6
Fryderyk Gerbowski,Stal Mielec,2,1,3,1,0,1,1,4
Miguel Luis,Warta Poznań,3,0,3,0,0,2,3,6
Fedor Cernych,Jagiellonia,1,2,3,0,0,0,3,6
Martin Kreuzriegler,Widzew Łódź,3,0,3,1,0,1,3,6
Filip Starzyński,Zagłębie Lubin,1,2,3,0,1,0,3,6
Kyryło Petrow,Korona Kielce,2,1,3,0,0,1,1,4
Kamil Drygas,Pogoń/Miedź,2,1,3,1,0,1,2,5
Tomas Prikryl,Jagiellonia,1,2,3,0,0,1,2,5
Patrick Olsen,Śląsk Wrocław,3,0,3,0,0,1,2,5
Kamil Kruk,Stal Mielec,2,1,3,0,0,0,1,4
Marcin Flis,Stal Mielec,0,3,3,0,0,0,3,6
Nemanja Mijusković,Miedź Legnica,2,1,3,0,0,0,1,4
Damian Warchoł,Wisła Płock,3,0,3,3,0,0,0,3
Michał Nalepa II,Lechia Gdańsk,2,1,3,0,0,0,0,3
Mateusz Grzybek,Radomiak/Zagłębie,2,1,3,0,0,1,2,5
Takuto Oshima,Cracovia,1,2,3,0,0,1,1,4
Radosław Murawski,Lech Poznań,1,2,3,0,0,1,1,4
Marcel Wędrychowski,Pogoń Szczecin,1,2,3,1,1,1,1,4
Sasa Zivec,Zagłębie Lubin,2,1,3,1,1,1,1,4
Tomasz Pieńko,Zagłębie Lubin,3,0,3,3,0,1,4,7
Virgil Ghita,Cracovia,3,0,3,0,0,1,3,6
Piotr Malarczyk,Korona Kielce,3,0,3,0,0,2,0,3
Mateusz Mak,Stal Mielec,2,1,3,0,0,0,2,5
Marius Briceag,Korona Kielce,0,3,3,0,0,0,1,4
Stefan Savić,Warta Poznań,3,0,3,1,0,0,1,4
Marko Poletanović,Zagłębie Lubin,1,2,3,0,0,1,1,4
Adrian Danek,Korona Kielce,0,2,2,0,1,0,2,4
Arkadiusz Kasperkiewicz,Stal Mielec,1,1,2,0,0,0,3,5
Dawid Kocyła,Wisła Płock,2,0,2,1,0,0,0,2
Deian Sorescu,Raków Częstochowa,2,0,2,0,0,2,4,6
Dennis Jastrzembski,Śląsk Wrocław,2,0,2,1,0,1,0,2
Fabio Nunes,Widzew Łódź,0,2,2,0,0,0,0,2
Florian Loshaj,Cracovia,1,1,2,0,1,1,1,3
Jakub Jugas,Cracovia,1,1,2,0,0,0,0,2
Marek Hanousek,Widzew Łódź,2,0,2,0,0,0,4,6
Mateusz Kowalski,Jagiellonia,2,0,2,2,0,0,1,3
Mathias Hebo Rasmussen,Cracovia,1,1,2,0,0,0,2,4
Michal Siplak,Cracovia,0,2,2,0,1,0,2,4
