KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,21","1,03",45%,"13,15","4,15","5,53","3,47","31,54%","8,72%","4,97","1,09","2,53","12,38","2,12","0,09",CRA
Górnik Zabrze,"1,32","1,26",54%,"12,76","4,29","4,79","3,68","33,64%","10,37%","5,41","2,15","3,18","13,59","2,74","0,06",GÓR
Jagiellonia Białystok,"1,41","1,44",47%,"11,50","4,09","4,21","3,21","35,55%","11,51%","3,88","2,41","3,85","13,62","2,74","0,18",JAG
Korona Kielce,"1,15","1,41",42%,"13,06","4,41","5,53","3,12","33,78%","8,56%","5,38","1,35","2,79","14,53","2,47","0,09",KOR
Lech Poznań,"1,50","0,85",61%,"15,35","5,85","5,38","4,12","38,12%","9,77%","5,79","1,41","2,32","13,38","2,18","0,06",LPO
Lechia Gdańsk,"0,82","1,65",51%,"10,62","3,41","4,38","2,82","32,13%","7,76%","4,74","2,41","3,38","11,74","2,12","0,03",LGD
Legia Warszawa,"1,68","1,09",58%,"13,71","4,79","5,56","3,35","34,98%","11,80%","5,50","2,00","2,62","12,35","2,50","0,12",LEG
Miedź Legnica,"0,97","1,62",43%,"10,50","3,24","4,82","2,44","30,81%","8,96%","3,59","2,12","4,09","14,12","3,06","0,15",MIE
Piast Gliwice,"1,18","0,91",46%,"10,00","3,32","4,41","2,26","33,24%","10,00%","4,21","1,85","2,38","13,15","1,97","0,06",PIA
Pogoń Szczecin,"1,68","1,35",57%,"15,24","5,35","5,50","4,38","35,14%","10,23%","6,15","1,44","2,74","11,65","2,09","0,03",POG
Radomiak Radom,"1,00","1,21",48%,"12,26","3,68","5,06","3,53","29,98%","7,67%","4,68","1,56","3,44","13,03","2,44","0,09",RAD
Raków Częstochowa,"1,85","0,71",55%,"13,24","4,88","4,88","3,47","36,89%","13,56%","5,82","2,00","1,82","13,94","2,29","0,09",RCZ
Stal Mielec,"1,06","1,18",49%,"10,47","3,32","4,03","3,12","31,74%","9,55%","3,85","1,35","3,44","12,09","1,74","0,09",STM
Śląsk Wrocław,"1,03","1,41",49%,"10,29","3,82","4,09","2,38","37,14%","9,43%","4,38","1,35","2,65","11,91","2,41","0,12",ŚLĄ
Warta Poznań,"1,09","1,03",46%,"10,18","3,21","3,91","3,06","31,50%","10,12%","4,44","1,50","2,35","13,00","2,12","0,03",WAR
Widzew Łódź,"1,12","1,38",49%,"12,41","3,88","5,24","3,29","31,28%","9,00%","5,32","1,85","3,21","11,65","1,47","0,00",WID
Wisła Płock,"1,21","1,47",54%,"11,29","3,88","4,15","3,26","34,38%","10,68%","4,62","2,29","3,53","11,91","2,06","0,12",WPŁ
Zagłębie Lubin,"1,03","1,29",47%,"13,68","4,91","5,26","3,50","35,91%","7,31%","5,32","1,18","2,68","12,47","1,47","0,06",ZAG
