ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Artur Jędrzejczyk,Legia Warszawa,13,0,1,10,0,0,2,1,0,0,0,0,0,0,0,0
Nene,Jagiellonia,12,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0
Diogo Verdasca,Śląsk Wrocław,12,0,1,8,0,0,3,1,0,0,0,0,0,0,0,0
Israel Puerto,Jagiellonia,12,0,1,9,0,0,1,1,0,0,0,1,0,0,0,0
Luis Machado,Radomiak Radom,12,0,0,7,0,0,3,2,0,0,0,0,0,0,0,0
Josue,Legia Warszawa,11,0,1,2,0,0,5,2,1,1,0,0,0,0,0,0
Raphael Rossi,Radomiak Radom,11,0,1,8,0,0,1,2,0,0,0,0,0,0,0,0
Erik Janza,Górnik Zabrze,11,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0
Patrick Olsen,Śląsk Wrocław,11,0,0,7,0,1,2,0,1,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,11,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
Nemanja Mijusković,Miedź Legnica,10,0,1,7,0,0,1,2,0,0,0,0,0,0,0,0
Angelo Henriquez,Miedź Legnica,9,0,1,4,0,0,0,3,1,0,0,1,0,0,0,0
Maxime Dominguez,Miedź Legnica,9,0,0,6,0,0,1,1,0,0,0,1,0,0,0,0
Jean Mvondo,Górnik Zabrze,9,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0
David Jablonsky,Cracovia,8,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0
Patryk Dziczek,Piast Gliwice,8,1,1,5,1,0,2,0,1,0,0,0,0,0,0,0
Bogdan Tiru,Jagiellonia,8,0,0,3,0,2,2,1,0,0,0,0,0,0,0,0
Filipe Nascimento,Radomiak Radom,8,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0
Michał Nalepa II,Lechia Gdańsk,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Alexandros Katranis,Piast Gliwice,8,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
Zoran Arsenić,Raków Częstochowa,8,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0
Filip Mladenović,Legia Warszawa,8,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0
Levent Gulen,Miedź Legnica,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Giannis Papanikolaou,Raków Częstochowa,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Mateusz Szwoch,Wisła Płock,8,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0
Fran Tudor,Raków Częstochowa,7,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0
Kyryło Petrow,Korona Kielce,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Takuto Oshima,Cracovia,7,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
Bartosz Kapustka,Legia Warszawa,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Dimitris Stavropoulos,Warta Poznań,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
Jarosław Kubicki,Lechia Gdańsk,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Michał Chrapek,Piast Gliwice,7,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0
Nika Kwekweskiri,Lech Poznań,7,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0
Piotr Tomasik,Wisła Płock,7,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0
