KLUB,BTS,CK,BG
Cracovia,14,12,10
Górnik Zabrze,17,11,9
Jagiellonia,24,5,6
Korona Kielce,20,8,7
Lech Poznań,15,16,6
Lechia Gdańsk,13,11,14
Legia Warszawa,18,12,6
Miedź Legnica,20,4,12
Piast Gliwice,14,10,11
Pogoń Szczecin,22,8,6
Radomiak Radom,14,9,15
Raków Częstochowa,13,17,7
Stal Mielec,12,12,14
Śląsk Wrocław,19,6,13
Warta Poznań,13,12,13
Widzew Łódź,15,12,10
Wisła Płock,19,7,9
Zagłębie Lubin,14,9,13
