ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Lukas Hrosso,Cracovia,Bramkarz,44,0,"0,000",32,0,"0,000"
Karol Niemczycki,Cracovia,Bramkarz,72,0,"0,000",72,0,"0,000"
Krystian Bracik,Cracovia,Obrońca,1,0,"0,000",1,0,"0,000"
Virgil Ghita,Cracovia,Obrońca,44,3,"0,068",44,3,"0,068"
Arttu Hoskonen,Cracovia,Obrońca,11,1,"0,091",11,1,"0,091"
David Jablonsky,Cracovia,Obrońca,52,3,"0,058",52,3,"0,058"
Paweł Jaroszyński,Cracovia,Obrońca,83,1,"0,012",83,1,"0,012"
Jakub Jugas,Cracovia,Obrońca,45,1,"0,022",45,1,"0,022"
Otar Kakabadze,Cracovia,Obrońca,46,4,"0,087",46,4,"0,087"
Kamil Pestka,Cracovia,Obrońca,84,5,"0,060",84,5,"0,060"
Cornel Rapa,Cracovia,Obrońca,212,9,"0,042",157,8,"0,051"
Michal Siplak,Cracovia,Obrońca,126,5,"0,040",126,5,"0,040"
Michał Stachera,Cracovia,Obrońca,1,0,"0,000",1,0,"0,000"
Jani Atanasov,Cracovia,Pomocnik,15,1,"0,067",15,1,"0,067"
Mateusz Bochnak,Cracovia,Pomocnik,16,2,"0,125",16,2,"0,125"
Marcin Budziński,Cracovia,Pomocnik,223,24,"0,108",147,23,"0,156"
Mathias Hebo Rasmussen,Cracovia,Pomocnik,40,3,"0,075",40,3,"0,075"
Kacper Jodłowski,Cracovia,Pomocnik,4,0,"0,000",4,0,"0,000"
Jewhen Konoplanka,Cracovia,Pomocnik,36,2,"0,056",36,2,"0,056"
Karol Knap,Cracovia,Pomocnik,53,2,"0,038",53,2,"0,038"
Bartłomiej Kolec,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Jakub Myszor,Cracovia,Pomocnik,47,5,"0,106",47,5,"0,106"
Takuto Oshima,Cracovia,Pomocnik,32,1,"0,031",32,1,"0,031"
Michał Rakoczy,Cracovia,Pomocnik,64,11,"0,172",64,11,"0,172"
Filip Rózga,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Patryk Zaucha,Cracovia,Pomocnik,13,0,"0,000",13,0,"0,000"
Benjamin Kallman,Cracovia,Napastnik,34,6,"0,176",34,6,"0,176"
Przemysław Kapek,Cracovia,Napastnik,2,0,"0,000",2,0,"0,000"
Patryk Makuch,Cracovia,Napastnik,35,6,"0,171",32,6,"0,188"
Sebastian Strózik,Cracovia,Napastnik,40,1,"0,025",40,1,"0,025"
Kacper Śmiglewski,Cracovia,Napastnik,3,0,"0,000",3,0,"0,000"
Daniel Bielica,Górnik Z,Bramkarz,44,0,"0,000",39,0,"0,000"
Pawieł Pawluczenko,Górnik Z,Bramkarz,9,0,"0,000",0,0,-
Paweł Sokół,Górnik Z,Bramkarz,9,0,"0,000",0,0,-
Emil Bergstrom,Górnik Z,Obrońca,25,2,"0,080",25,2,"0,080"
Rafał Janicki,Górnik Z,Obrońca,321,10,"0,031",49,2,"0,041"
Erik Janza,Górnik Z,Obrońca,128,3,"0,023",128,3,"0,023"
Richard Jensen,Górnik Z,Obrońca,29,1,"0,034",29,1,"0,034"
