KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,2877795,9405,,
Cracovia,143427,8437,167976,9881
Górnik Zabrze,248499,14618,160024,9413
Jagiellonia Białystok,153979,9058,162175,9540
Korona Kielce,171099,10065,136400,8024
Lech Poznań,352529,20737,195761,11515
Lechia Gdańsk,126420,7436,142550,8385
Legia Warszawa,361396,21259,220532,12972
Miedź Legnica,75198,4423,153707,9042
Piast Gliwice,70888,4170,145311,8548
Pogoń Szczecin,261750,15397,171075,10063
Radomiak Radom,57921,3407,160770,9457
Raków Częstochowa,89232,5249,179312,10548
Stal Mielec,85882,5052,138794,8164
Śląsk Wrocław,176213,10365,155527,9149
Warta Poznań,47294,2782,149277,8781
Widzew Łódź,290586,17093,173172,10187
Wisła Płock,66683,3923,133004,7824
Zagłębie Lubin,98799,5812,132428,7790
