POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Raków Częstochowa,34,77,24,5,5,10,4,+2
2.,Legia Warszawa,34,71,22,5,7,12,8,+5
3.,Pogoń Szczecin,34,56,17,5,12,13,13,-4
4.,Lech Poznań,34,56,14,14,6,12,7,-5
5.,Górnik Zabrze,34,52,15,7,12,9,4,+4
6.,Warta Poznań,34,51,13,12,9,8,5,+6
7.,Piast Gliwice,34,49,14,7,13,9,7,-4
8.,Cracovia,34,49,15,4,15,9,9,+3
9.,Stal Mielec,34,47,13,8,13,4,6,+4
10.,Widzew Łódź,34,44,14,2,18,15,9,+3
11.,Radomiak Radom,34,43,12,7,15,7,5,-1
12.,Korona Kielce,34,42,11,9,14,11,11,+1
13.,Zagłębie Lubin,34,41,11,8,15,8,10,-4
14.,Lechia Gdańsk,34,37,10,7,17,6,9,+7
15.,Jagiellonia Białystok,34,36,8,12,14,11,20,-5
16.,Wisła Płock,34,36,9,9,16,8,16,-1
17.,Śląsk Wrocław,34,34,9,7,18,4,10,-4
18.,Miedź Legnica,34,28,6,10,18,8,11,+5
