KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Cracovia,"13,15","4,85","20,00%","36,91%",4,"10,26%","2,42%"
Górnik Z,"12,76","5,09","23,12%","39,86%",11,"24,44%","6,36%"
Jagiellonia,"11,50","4,32","28,57%","37,60%",10,"22,22%","6,80%"
Korona,"13,06","5,74","27,18%","43,92%",3,"7,89%","1,54%"
Lech,"15,35","6,82","28,88%","44,44%",9,"17,65%","3,88%"
Lechia,"10,62","4,15","26,24%","39,06%",4,"14,29%","2,84%"
Legia,"13,71","6,15","27,27%","44,85%",6,"10,91%","2,87%"
Miedź,"10,50","4,50","20,26%","42,86%",3,"9,38%","1,96%"
Piast,"10,00","3,50","20,17%","35,00%",4,"11,76%","3,36%"
Pogoń,"15,24","6,15","27,27%","40,35%",9,"16,98%","4,31%"
Radomiak,"12,26","4,53","20,78%","36,93%",4,"12,50%","2,60%"
Raków,"13,24","4,97","28,40%","37,56%",10,"16,39%","5,92%"
Stal,"10,47","4,68","22,64%","44,66%",5,"14,71%","3,14%"
Śląsk,"10,29","4,56","31,61%","44,29%",8,"24,24%","5,16%"
Warta,"10,18","4,24","21,53%","41,62%",3,"8,57%","2,08%"
Widzew,"12,41","4,85","24,85%","39,10%",7,"18,42%","4,24%"
Wisła P,"11,29","4,94","24,40%","43,75%",8,"19,51%","4,76%"
Zagłębie,"13,68","6,12","31,25%","44,73%",6,"17,65%","2,88%"
