KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Raków,Warta,10,8,7,1,1,0,"0,91","0,35","0,09","0,04",49%,38%,13%
1,Zagłębie,Śląsk,8,14,3,5,0,0,"0,50","0,58","0,06","0,04",25%,44%,31%
1,Lech,Stal,17,9,4,4,0,2,"1,10","0,65","0,06","0,07",46%,32%,21%
1,Jagiellonia,Piast,8,10,3,3,2,0,"0,90","1,00","0,11","0,10",31%,32%,36%
1,Korona,Legia,7,7,1,2,1,1,"0,38","0,53","0,05","0,08",20%,48%,32%
1,Radomiak,Miedź,23,5,3,4,1,1,"0,94","0,29","0,04","0,06",52%,38%,11%
1,Wisła P,Lechia,20,9,7,4,3,0,"2,51","0,68","0,13","0,08",79%,14%,7%
1,Pogoń,Widzew,16,13,8,5,2,1,"1,64","0,91","0,10","0,07",55%,25%,20%
1,Górnik Z,Cracovia,10,12,3,5,0,2,"0,70","1,13","0,07","0,09",22%,32%,46%
2,Warta,Wisła P,9,17,2,10,0,4,"0,54","1,44","0,06","0,08",13%,27%,60%
2,Jagiellonia,Widzew,19,9,4,4,0,2,"1,35","0,86","0,07","0,10",48%,28%,24%
2,Cracovia,Korona,18,8,4,0,1,0,"0,98","0,21","0,05","0,03",56%,36%,8%
2,Legia,Zagłębie,13,14,4,3,2,0,"2,44","0,62","0,19","0,04",80%,14%,6%
2,Śląsk,Pogoń,11,15,4,4,2,1,"1,06","1,42","0,10","0,09",28%,27%,45%
2,Stal,Radomiak,10,13,4,5,1,1,"0,42","0,79","0,04","0,06",18%,40%,42%
3,Piast,Zagłębie,9,12,2,5,0,1,"0,74","1,58","0,08","0,13",16%,25%,59%
3,Cracovia,Legia,12,14,7,2,3,0,"1,55","0,85","0,13","0,06",55%,26%,20%
3,Radomiak,Górnik Z,14,8,4,4,0,3,"1,01","1,04","0,07","0,13",34%,31%,36%
3,Miedź,Warta,17,7,2,4,1,2,"0,92","1,07","0,05","0,15",30%,31%,39%
3,Pogoń,Jagiellonia,8,16,2,5,1,0,"0,75","1,79","0,09","0,11",14%,23%,63%
3,Lech,Wisła P,16,16,7,3,1,3,"1,43","1,31","0,09","0,08",40%,26%,34%
3,Raków,Stal,13,10,6,3,3,2,"2,02","0,57","0,16","0,06",74%,18%,8%
3,Widzew,Lechia,17,8,7,5,2,3,"2,42","0,70","0,14","0,09",77%,15%,8%
3,Korona,Śląsk,8,7,6,4,3,1,"0,47","0,21","0,06","0,03",32%,55%,12%
4,Stal,Cracovia,11,12,4,4,1,0,"1,18","0,77","0,11","0,06",46%,31%,24%
4,Legia,Piast,14,3,3,0,2,0,"0,52","0,05","0,04","0,02",39%,57%,3%
4,Lechia,Korona,12,19,2,6,0,0,"0,65","1,22","0,05","0,06",19%,30%,51%
4,Jagiellonia,Radomiak,3,29,2,7,1,2,"0,34","3,81","0,11","0,13",1%,4%,94%
4,Śląsk,Widzew,14,9,4,3,0,0,"0,51","1,24","0,04","0,14",14%,29%,56%
4,Warta,Pogoń,11,3,2,1,1,1,"0,83","0,36","0,08","0,12",45%,40%,15%
4,Zagłębie,Lech,15,11,7,2,1,1,"1,01","1,46","0,07","0,13",25%,27%,48%
4,Górnik Z,Raków,9,16,3,4,1,0,"0,52","0,94","0,06","0,06",19%,36%,45%
4,Wisła P,Miedź,12,17,9,7,4,1,"2,33","0,90","0,19","0,05",71%,17%,11%
5,Miedź,Zagłębie,11,20,2,8,0,0,"0,80","1,37","0,07","0,07",21%,28%,51%
5,Widzew,Legia,13,8,2,3,1,2,"1,25","0,51","0,10","0,06",55%,30%,15%
5,Cracovia,Piast,10,8,3,4,0,1,"0,31","0,57","0,03","0,07",16%,49%,35%
5,Górnik Z,Stal,17,14,5,7,1,3,"1,37","0,93","0,08","0,07",47%,28%,25%
5,Pogoń,Wisła P,20,13,8,4,2,2,"1,87","1,20","0,09","0,09",53%,23%,24%
5,Radomiak,Lechia,16,13,8,5,4,1,"2,46","1,46","0,15","0,11",61%,19%,20%
5,Raków,Jagiellonia,14,10,3,5,1,2,"1,44","0,43","0,10","0,04",64%,26%,10%
5,Lech,Śląsk,17,6,6,3,0,1,"1,13","0,37","0,07","0,06",56%,32%,12%
5,Korona,Warta,13,8,3,2,0,1,"0,61","1,79","0,05","0,22",10%,21%,69%
6,Jagiellonia,Miedź,21,10,8,3,2,1,"2,07","2,25","0,10","0,22",35%,21%,44%
6,Legia,Górnik Z,13,13,5,4,2,2,"1,82","1,36","0,14","0,10",49%,24%,28%
6,Wisła P,Korona,13,18,3,7,2,1,"1,57","1,60","0,12","0,09",37%,24%,38%
6,Śląsk,Cracovia,11,16,1,7,1,1,"0,79","1,07","0,07","0,07",26%,32%,42%
6,Warta,Widzew,13,8,5,5,0,1,"1,29","0,50","0,10","0,06",57%,29%,14%
6,Zagłębie,Radomiak,16,12,4,4,0,1,"0,78","0,84","0,05","0,07",31%,35%,34%
6,Piast,Stal,15,5,8,1,4,0,"1,97","0,14","0,13","0,03",84%,14%,2%
7,Górnik Z,Jagiellonia,16,21,4,7,1,1,"0,83","1,79","0,05","0,09",16%,23%,61%
7,Stal,Legia,5,15,1,3,0,1,"0,45","1,55","0,09","0,10",10%,24%,66%
7,Radomiak,Korona,13,8,1,3,0,2,"0,43","0,59","0,03","0,07",22%,45%,33%
7,Miedź,Lechia,6,15,3,6,2,1,"0,74","1,21","0,12","0,08",22%,30%,47%
7,Pogoń,Zagłębie,15,14,10,5,3,0,"0,72","0,42","0,05","0,03",39%,42%,19%
7,Widzew,Wisła P,12,12,3,5,2,1,"0,96","1,78","0,08","0,15",19%,23%,58%
7,Cracovia,Warta,10,16,2,6,0,2,"0,50","1,40","0,05","0,09",13%,27%,60%
7,Śląsk,Raków,4,17,2,8,1,4,"0,85","1,90","0,21","0,11",15%,22%,63%
7,Lech,Piast,8,5,5,0,1,0,"0,65","0,81","0,08","0,16",26%,37%,37%
6,Raków,Pogoń,13,9,7,2,1,0,"1,20","0,28","0,09","0,03",62%,30%,8%
6,Lechia,Lech,11,22,4,8,0,3,"0,37","1,81","0,03","0,08",6%,20%,74%
8,Legia,Radomiak,13,9,4,3,1,0,"0,43","0,49","0,03","0,05",24%,48%,28%
8,Stal,Śląsk,5,12,3,3,1,0,"0,54","0,72","0,11","0,06",24%,41%,35%
8,Lechia,Warta,13,8,2,4,0,0,"0,98","1,52","0,08","0,19",23%,26%,51%
8,Cracovia,Raków,15,15,5,4,3,0,"0,51","1,51","0,03","0,10",12%,25%,63%
8,Zagłębie,Jagiellonia,23,12,9,1,1,1,"0,86","1,55","0,04","0,13",20%,25%,55%
8,Korona,Pogoń,13,9,2,2,1,2,"0,62","1,05","0,05","0,12",21%,33%,46%
8,Lech,Widzew,18,14,7,0,2,0,"1,35","1,00","0,07","0,07",45%,28%,27%
8,Piast,Miedź,17,13,5,5,2,1,"1,40","1,06","0,08","0,08",45%,27%,28%
8,Wisła P,Górnik Z,10,15,2,3,1,1,"0,62","0,80","0,06","0,05",26%,38%,37%
9,Warta,Zagłębie,14,9,5,4,2,2,"2,06","0,63","0,15","0,07",73%,18%,9%
9,Widzew,Cracovia,10,9,7,2,2,0,"1,69","0,52","0,17","0,06",68%,22%,10%
9,Śląsk,Lechia,11,4,6,2,1,0,"1,28","0,35","0,12","0,09",62%,29%,9%
9,Radomiak,Wisła P,15,7,5,2,1,0,"0,70","0,38","0,05","0,05",39%,43%,18%
9,Górnik Z,Piast,21,4,7,2,3,2,"2,07","0,24","0,10","0,06",82%,15%,3%
9,Miedź,Korona,16,11,5,6,2,2,"1,71","0,68","0,11","0,06",63%,23%,14%
9,Pogoń,Lech,15,17,5,5,2,2,"1,86","2,25","0,12","0,13",32%,21%,47%
9,Raków,Legia,11,9,7,2,4,0,"2,52","0,46","0,23","0,05",85%,11%,4%
9,Jagiellonia,Stal,22,15,9,2,4,0,"2,88","0,75","0,13","0,05",82%,12%,6%
10,Piast,Śląsk,7,11,3,5,1,1,"0,45","1,29","0,06","0,12",12%,29%,59%
10,Legia,Miedź,23,9,9,5,3,2,"1,93","0,75","0,08","0,08",66%,21%,13%
10,Stal,Widzew,15,10,5,4,0,3,"1,10","0,87","0,07","0,09",41%,31%,28%
10,Lechia,Jagiellonia,19,15,5,4,2,2,"2,00","0,89","0,11","0,06",64%,21%,15%
10,Raków,Radomiak,10,6,8,0,3,0,"1,44","0,22","0,14","0,04",71%,24%,5%
10,Cracovia,Pogoń,13,12,3,3,1,1,"1,96","0,69","0,15","0,06",69%,20%,11%
10,Korona,Górnik Z,12,10,4,5,1,2,"0,82","1,61","0,07","0,16",18%,25%,57%
10,Zagłębie,Wisła P,24,19,3,5,2,1,"2,11","0,87","0,09","0,05",67%,20%,14%
10,Warta,Lech,9,15,1,3,0,1,"0,48","0,90","0,05","0,06",18%,37%,44%
11,Radomiak,Cracovia,15,12,4,5,0,2,"0,82","1,12","0,05","0,09",26%,31%,43%
11,Wisła P,Piast,17,7,6,2,1,0,"1,47","0,50","0,09","0,07",62%,26%,12%
11,Górnik Z,Zagłębie,21,12,4,7,2,3,"2,08","1,63","0,10","0,14",48%,22%,30%
