KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,35","0,59",47%,"14,59","4,41","6,24","3,94","30,24%","8,87%","6,18","0,94","2,29","11,53","1,88","0,00",CRA
Górnik Zabrze,"1,35","1,35",56%,"14,71","5,00","5,53","4,18","34,00%","9,20%","5,41","1,76","3,35","13,00","2,65","0,06",GÓR
Jagiellonia,"1,76","1,29",47%,"12,53","4,59","4,71","3,24","36,62%","13,62%","3,53","2,24","3,47","14,71","2,53","0,18",JAG
Korona Kielce,"1,12","1,12",42%,"13,65","4,71","5,41","3,53","34,48%","8,19%","5,65","1,24","2,76","14,35","2,59","0,12",KOR
Lech Poznań,"1,47","0,88",61%,"16,12","6,59","5,88","3,65","40,88%","9,12%","6,94","1,82","1,94","13,35","2,00","0,00",LPO
Lechia Gdańsk,"0,88","1,29",53%,"11,82","3,53","4,88","3,41","29,85%","7,46%","4,65","2,53","3,53","12,47","1,59","0,00",LGD
Legia Warszawa,"2,24","1,00",59%,"15,65","5,65","6,29","3,71","36,09%","13,53%","6,06","1,65","2,82","12,06","2,41","0,00",LEG
Miedź Legnica,"0,94","1,35",44%,"11,18","3,18","5,12","2,88","28,42%","8,42%","3,88","1,94","3,76","15,53","3,12","0,06",MIE
Piast Gliwice,"1,18","0,88",48%,"11,82","3,88","5,18","2,76","32,84%","7,96%","4,71","1,71","2,06","13,88","1,82","0,00",PIA
Pogoń Szczecin,"1,94","1,35",56%,"16,47","6,12","6,06","4,29","37,14%","11,07%","6,71","1,65","2,47","11,82","1,65","0,00",POG
Radomiak Radom,"1,00","1,18",50%,"12,18","3,65","5,00","3,53","29,95%","7,73%","4,71","1,53","2,88","14,35","2,35","0,18",RAD
Raków Częstochowa,"2,41","0,59",54%,"13,00","5,24","4,94","2,82","40,27%","17,65%","5,53","2,18","1,53","13,94","2,12","0,00",RCZ
Stal Mielec,"1,06","0,82",50%,"10,76","3,76","3,35","3,65","34,97%","8,74%","4,53","1,41","3,00","12,35","1,88","0,12",STM
Śląsk Wrocław,"1,35","1,35",50%,"10,88","4,12","4,53","2,24","37,84%","11,89%","4,41","1,35","2,53","12,24","2,41","0,06",ŚLĄ
Warta Poznań,"1,24","1,06",46%,"11,59","3,47","4,35","3,76","29,95%","9,64%","5,47","1,59","2,35","13,00","2,41","0,00",WAR
Widzew Łódź,"1,29","1,65",50%,"12,88","3,88","5,35","3,65","30,14%","10,05%","5,82","1,53","2,35","11,35","1,41","0,00",WID
Wisła Płock,"1,35","0,94",52%,"12,18","4,00","4,59","3,59","32,85%","11,11%","4,71","1,94","3,94","11,88","2,06","0,12",WPŁ
Zagłębie Lubin,"0,76","1,18",50%,"14,59","4,76","6,06","3,76","32,66%","5,24%","6,00","1,06","2,41","12,06","1,29","0,00",ZAG
