KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,5,3,2,0,6,1,2,3,6,0,1,5
Górnik Zabrze,5,3,1,1,6,4,2,0,6,0,1,5
Jagiellonia,4,0,3,1,9,0,6,3,4,1,1,2
Korona Kielce,4,3,1,0,6,0,2,4,7,0,2,5
Lech Poznań,4,4,0,0,10,4,6,0,3,0,2,1
Lechia Gdańsk,3,2,0,1,4,1,1,2,9,0,1,8
Legia Warszawa,5,5,0,0,9,2,4,3,3,0,0,3
Miedź Legnica,3,1,1,1,8,0,3,5,6,0,0,6
Piast Gliwice,6,5,1,0,7,3,2,2,4,0,1,3
Pogoń Szczecin,3,2,1,0,12,5,3,4,2,0,1,1
Radomiak Radom,4,4,0,0,8,2,4,2,5,1,0,4
Raków Częstochowa,5,5,0,0,6,3,3,0,6,1,1,4
Stal Mielec,6,5,0,1,6,0,3,3,5,0,0,5
Śląsk Wrocław,3,1,2,0,7,2,3,2,7,0,0,7
Warta Poznań,5,5,0,0,7,2,2,3,5,0,0,5
Widzew Łódź,1,1,0,0,10,5,3,2,6,0,2,4
Wisła Płock,4,2,1,1,5,0,0,5,8,0,2,6
Zagłębie Lubin,5,4,1,0,9,4,3,2,3,0,0,3
