KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
2,Paweł Wszołek,Legia Warszawa,Zagłębie Lubin,Kacper Bieszczad,T,Guram Giorbelidze,Ernest Muci,Piotr Lasyk
2,Mikael Ishak,Lech Poznań,Miedź Legnica,Mateusz Abramowicz,T,Mateusz Abramowicz,Michał Skóraś,Daniel Stefański
3,Patryk Makuch,Cracovia,Legia Warszawa,Kacper Tobiasz,T,Paweł Wszołek,ręka,Damian Kos
3,Ivi Lopez,Raków Częstochowa,Stal Mielec,Bartosz Mrozek,T,Krystian Getinger,ręka,Daniel Stefański
3,Bartłomiej Pawłowski,Widzew Łódź,Lechia Gdańsk,Michał Buchalik,T,David Stec,ręka,Szymon Marciniak
4,Maciej Domański,Stal Mielec,Cracovia,Karol Niemczycki,T,David Jablonsky,Arkadiusz Kasperkiewicz,Jarosław Przybył
4,Filipe Nascimento,Radomiak Radom,Jagiellonia Białystok,Zlatan Alomerović,T,Bogdan Tiru,ręka,Krzysztof Jakubik
4,Bartłomiej Pawłowski,Widzew Łódź,Śląsk Wrocław,Michał Szromnik,O,Victor Garcia,ręka,Damian Kos
4,Mikael Ishak,Lech Poznań,Zagłębie Lubin,Kacper Bieszczad,T,Kacper Bieszczad,Joao Amaral,Bartosz Frankowski
5,Rafał Wolski,Wisła Płock,Pogoń Szczecin,Dante Stipica,T,Dante Stipica,Damian Michalski,Daniel Stefański
5,Flavio Paixao,Lechia Gdańsk,Radomiak Radom,Filip Majchrowicz,T,Mateusz Cichocki,ręka,Tomasz Musiał
5,Filipe Nascimento,Radomiak Radom,Lechia Gdańsk,Michał Buchalik,T,Michał Nalepa,ręka,Tomasz Musiał
5,Michał Kopczyński,Warta Poznań,Korona Kielce,Konrad Forenc,T,Adrian Danek,ręka,Sebastian Krasny
6,Angelo Henriquez,Miedź Legnica,Jagiellonia Białystok,Zlatan Alomerović,T,Mateusz Skrzypczak,ręka,Tomasz Wajda
6,Marc Gual,Jagiellonia Białystok,Miedź Legnica,Paweł Lenarcik,T,Hubert Matynia,ręka,Tomasz Wajda
6,Josue,Legia Warszawa,Górnik Zabrze,Daniel Bielica,T,Richard Jensen,Artur Jędrzejczyk,Łukasz Kuźma
6,Bartosz Śpiączka,Korona Kielce,Wisła Płock,Bartłomiej Gradecki,T,Martin Sulek,Dawid Błanik,Tomasz Kwiatkowski
7,Davo,Wisła Płock,Widzew Łódź,Henrich Ravas,T,Dominik Kun,Marko Kolar,Paweł Raczkowski
7,Erik Exposito,Śląsk Wrocław,Raków Częstochowa,Vladan Kovacević,T,Vladan Kovacević,Erik Exposito,Tomasz Musiał
9,Marek Hanousek,Widzew Łódź,Cracovia,Karol Niemczycki,T,Michal Siplak,ręka,Piotr Lasyk
9,Erik Exposito,Śląsk Wrocław,Lechia Gdańsk,Dusan Kuciak,N,Dusan Kuciak,John Yeboah,Łukasz Kuźma
9,Piotr Krawczyk,Górnik Zabrze,Piast Gliwice,Frantisek Plach,T,Alexandros Katranis,Robert Dadok,Bartosz Frankowski
9,Angelo Henriquez,Miedź Legnica,Korona Kielce,Konrad Forenc,T,Adam Deja,ręka,Tomasz Wajda
9,Kamil Drygas,Pogoń Szczecin,Lech Poznań,Filip Bednarek,T,Barry Douglas,Jakub Bartkowski,Paweł Raczkowski
9,Ivi Lopez,Raków Częstochowa,Legia Warszawa,Kacper Tobiasz,T,Mattias Johansson,Ivi Lopez,Szymon Marciniak
10,Patrick Olsen,Śląsk Wrocław,Piast Gliwice,Frantisek Plach,T,Jakub Czerwiński,ręka,Wojciech Myć
10,Flavio Paixao,Lechia Gdańsk,Jagiellonia Białystok,Zlatan Alomerović,T,Bojan Nastić,ręka,Paweł Malec
11,Marc Gual,Jagiellonia Białystok,Korona Kielce,Konrad Forenc,T,Kyryło Petrow,ręka,Bartosz Frankowski
11,Fedor Cernych,Jagiellonia Białystok,Korona Kielce,Konrad Forenc,T,Jacek Podgórski,ręka,Bartosz Frankowski
12,Szymon Włodarczyk,Górnik Zabrze,Śląsk Wrocław,Rafał Leszczyński,T,Konrad Poprawa,Jean Mvondo,Szymon Marciniak
12,Flavio Paixao,Lechia Gdańsk,Cracovia,Karol Niemczycki,T,Jakub Jugas,Conrado,Damian Sylwestrzak
12,Angelo Henriquez,Miedź Legnica,Raków Częstochowa,Vladan Kovacević,O,Vladan Kovacević,Koldo Obieta,Damian Kos
13,Josue,Legia Warszawa,Wisła Płock,Krzysztof Kamiński,T,Martin Sulek,Filip Mladenović,Krzysztof Jakubik
13,Martin Kreuzriegler,Widzew Łódź,Zagłębie Lubin,Kacper Bieszczad,T,Guram Giorbelidze,ręka,Tomasz Musiał
13,Szymon Włodarczyk,Górnik Zabrze,Lech Poznań,Filip Bednarek,T,Antonio Milić,Lukas Podolski,Bartosz Frankowski
13,Mikael Ishak,Lech Poznań,Górnik Zabrze,Daniel Bielica,T,Richard Jensen,Antonio Milić,Bartosz Frankowski
14,Piotr Wlazło,Stal Mielec,Wisła Płock,Krzysztof Kamiński,T,Dominik Furman,Marcin Flis,Bartosz Frankowski
14,Carlitos,Legia Warszawa,Pogoń Szczecin,Bartosz Klebaniuk,O,Mariusz Malec,Maciej Rosołek,Piotr Lasyk
14,Ivi Lopez,Raków Częstochowa,Korona Kielce,Marcel Zapytowski,T,Roberto Corral,Deian Sorescu,Daniel Stefański
15,Sebastian Kowalczyk,Pogoń Szczecin,Miedź Legnica,Mateusz Abramowicz,T,Jurich Carolina,ręka,Łukasz Kuźma
15,Sebastian Kowalczyk,Pogoń Szczecin,Miedź Legnica,Mateusz Abramowicz,T,Carlos Julio Martinez,Jakub Bartkowski,Łukasz Kuźma
15,Filipe Nascimento,Radomiak Radom,Warta Poznań,Jędrzej Grobelny,T,Kamil Kościelny,Mateusz Grzybek,Sebastian Krasny
16,Said Hamulić,Stal Mielec,Zagłębie Lubin,Jasmin Burić,O,Mateusz Bartolewski,ręka,Łukasz Kuźma
16,Piotr Wlazło,Stal Mielec,Zagłębie Lubin,Jasmin Burić,T,Bartłomiej Kłudka,Said Hamulić,Łukasz Kuźma
16,Vladislavs Gutkovskis,Raków Częstochowa,Wisła Płock,Krzysztof Kamiński,T,Jakub Rzeźniczak,Vladislavs Gutkovskis,Damian Sylwestrzak
16,Mikael Ishak,Lech Poznań,Korona Kielce,Marcel Zapytowski,T,Miłosz Trojak,ręka,Bartosz Frankowski
16,Jakub Łukowski,Korona Kielce,Lech Poznań,Filip Bednarek,T,Jesper Karlstrom,ręka,Bartosz Frankowski
16,Jacek Podgórski,Korona Kielce,Lech Poznań,Filip Bednarek,T,Alfonso Sousa,Marcin Szpakowski,Bartosz Frankowski
17,Bartosz Śpiączka,Korona Kielce,Widzew Łódź,Henrich Ravas,O,Martin Kreuzriegler,Miłosz Trojak,Damian Sylwestrzak
17,Kacper Chodyna,Zagłębie Lubin,Raków Częstochowa,Vladan Kovacević,T,Stratos Svarnas,ręka,Paweł Raczkowski
17,Kamil Grosicki,Pogoń Szczecin,Radomiak Radom,Gabriel Kobylak,T,Mateusz Cichocki,Luka Zahović,Damian Kos
17,Patryk Dziczek,Piast Gliwice,Lechia Gdańsk,Dusan Kuciak,T,Michał Nalepa II,Damian Kądzior,Bartosz Frankowski
17,Josue,Legia Warszawa,Śląsk Wrocław,Rafał Leszczyński,N,Rafał Leszczyński,Ernest Muci,Piotr Lasyk
18,Martin Kreuzriegler,Widzew Łódź,Pogoń Szczecin,Dante Stipica,T,Benedikt Zech,ręka,Daniel Stefański
18,Patrick Olsen,Śląsk Wrocław,Zagłębie Lubin,Jasmin Burić,O,Mateusz Bartolewski,ręka,Krzysztof Jakubik
18,Josue,Legia Warszawa,Korona Kielce,Marcel Zapytowski,T,Kyryło Petrow,Maciej Rosołek,Damian Sylwestrzak
18,Dominik Furman,Wisła Płock,Lechia Gdańsk,Dusan Kuciak,N,Kacper Sezonienko,Rafał Wolski,Piotr Lasyk
19,Juliusz Letniowski,Widzew Łódź,Jagiellonia Białystok,Zlatan Alomerović,N,Zlatan Alomerović,Bartłomiej Pawłowski,Paweł Raczkowski
19,Szymon Włodarczyk,Górnik Zabrze,Lechia Gdańsk,Dusan Kuciak,T,Ilkay Durmus,ręka,Damian Sylwestrzak
19,John Yeboah,Śląsk Wrocław,Pogoń Szczecin,Dante Stipica,T,Alexander Gorgon,John Yeboah,Bartosz Frankowski
19,Jakub Łukowski,Korona Kielce,Cracovia,Karol Niemczycki,T,Jewhen Konoplanka,Ronaldo Daeconu,Krzysztof Jakubik
19,Karol Knap,Cracovia,Korona Kielce,Marcel Zapytowski,T,Miłosz Trojak,ręka,Krzysztof Jakubik
20,Jakub Łukowski,Korona Kielce,Śląsk Wrocław,Rafał Leszczyński,T,Łukasz Bejger,Dawid Błanik,Paweł Raczkowski
20,Josue,Legia Warszawa,Cracovia,Karol Niemczycki,O,Michal Siplak,Paweł Wszołek,Piotr Lasyk
21,Angelo Henriquez,Miedź Legnica,Wisła Płock,Krzysztof Kamiński,T,Krzysztof Kamiński,Kamil Drygas,Patryk Gryckiewicz
21,Josue,Legia Warszawa,Piast Gliwice,Frantisek Plach,T,Ariel Mosór,Tomas Pekhart,Damian Sylwestrzak
22,Patryk Dziczek,Piast Gliwice,Cracovia,Karol Niemczycki,T,Virgil Ghita,Arkadiusz Pyrka,Krzysztof Jakubik
22,Leonardo Rocha,Radomiak Radom,Lechia Gdańsk,Dusan Kuciak,T,Kevin Friesenbichler,Dawid Abramowicz,Wojciech Myć
22,Łukasz Zwoliński,Lechia Gdańsk,Radomiak Radom,Gabriel Kobylak,T,Franmk Castaneda,Jakub Bartkowski,Wojciech Myć
22,Sebastian Kowalczyk,Pogoń Szczecin,Wisła Płock,Krzysztof Kamiński,N*,Adam Chrzanowski,Luka Zahović,Piotr Lasyk
22,Kacper Chodyna,Zagłębie Lubin,Miedź Legnica,Stefanos Kapino,O,Andrzej Niewulis,Dawid Kurminowski,Sebastian Krasny
23,Patryk Dziczek,Piast Gliwice,Stal Mielec,Bartosz Mrozek,T,Maciej Wolski,ręka,Paweł Raczkowski
24,Łukasz Zwoliński,Lechia Gdańsk,Miedź Legnica,Stefanos Kapino,T,Dimityr Wełkowski,Jakub Bartkowski,Krzysztof Jakubik
24,Marc Gual,Jagiellonia Białystok,Górnik Zabrze,Daniel Bielica,O,Emil Bergstrom,Taras Romanczuk,Tomasz Kwiatkowski
24,Patryk Dziczek,Piast Gliwice,Lech Poznań,Filip Bednarek,O,Joao Amaral,Arkadiusz Pyrka,Daniel Stefański
25,Josue,Legia Warszawa,Radomiak Radom,Gabriel Kobylak,T,Mike Cestor,ręka,Krzysztof Jakubik
25,Jesus Imaz,Jagiellonia Białystok,Zagłębie Lubin,Sokratis Dioudis,O,Luis Mata,Taras Romanczuk,Bartosz Frankowski
25,Marcin Cebula,Raków Częstochowa,Cracovia,Karol Niemczycki,T,Paweł Jaroszyński,Marcin Cebula,Jarosław Przybył
26,Martin Kreuzriegler,Widzew Łódź,Cracovia,Karol Niemczycki,T,Cornel Rapa,Bożidar Czorbadżijski,Damian Sylwestrzak
26,Mikael Ishak,Lech Poznań,Pogoń Szczecin,Dante Stipica,O,Kostas Triantafyllopoulos,ręka,Paweł Raczkowski
26,Kamil Grosicki,Pogoń Szczecin,Lech Poznań,Filip Bednarek,T,Radosław Murawski,ręka,Paweł Raczkowski
27,Mikael Ishak,Lech Poznań,Warta Poznań,Adrian Lis,N,Michał Kopczyński,Michał Skóraś,Daniel Stefański
27,Adam Zrelak,Warta Poznań,Lech Poznań,Filip Bednarek,O,Kristoffer Velde,Jakub Kiełb,Daniel Stefański
27,Jesus Imaz,Jagiellonia Białystok,Lechia Gdańsk,Dusan Kuciak,O,Mario Maloca,ręka,Damian Sylwestrzak
27,Josue,Legia Warszawa,Miedź Legnica,Mateusz Abramowicz,T,Hubert Matynia,ręka,Damian Kos
28,Filip Starzyński,Zagłębie Lubin,Górnik Zabrze,Daniel Bielica,O,Piotr Krawczyk,Arkadiusz Woźniak,Krzysztof Jakubik
28,Ivi Lopez,Raków Częstochowa,Widzew Łódź,Henrich Ravas,T,Marek Hanousek,Tomas Petrasek,Daniel Stefański
29,Kamil Grosicki,Pogoń Szczecin,Stal Mielec,Bartosz Mrozek,T,Marcin Flis,ręka,Piotr Lasyk
29,Maciej Domański,Stal Mielec,Pogoń Szczecin,Dante Stipica,N,Dante Stipica,Piotr Wlazło,Piotr Lasyk
29,Sebastian Kowalczyk,Pogoń Szczecin,Stal Mielec,Bartosz Mrozek,T,Bartosz Mrozek,Pontus Almqvist,Piotr Lasyk
30,Josue,Legia Warszawa,Wisła Płock,Bartłomiej Gradecki,T,Adam Chrzanowski,Tomas Pekhart,Jarosław Przybył
31,Marc Gual,Jagiellonia Białystok,Śląsk Wrocław,Michał Szromnik,T,Victor Garcia,Tomas Prikryl,Paweł Raczkowski
31,Roberto Alves,Radomiak Radom,Piast Gliwice,Frantisek Plach,O,Jakub Czerwiński,ręka,Damian Kos
31,Jakub Łukowski,Korona Kielce,Raków Częstochowa,Vladan Kovacević,T,Władysław Koczerhin,ręka,Tomasz Kwiatkowski
32,Kamil Drygas,Miedź Legnica,Pogoń Szczecin,Dante Stipica,O,Danijel Loncar,Damian Tront,Wojciech Myć
32,Kamil Grosicki,Pogoń Szczecin,Miedź Legnica,Mateusz Abramowicz,T,Chuca,Wahan Biczachczjan,Wojciech Myć
32,Kristoffer Velde,Lech Poznań,Raków Częstochowa,Vladan Kovacević,T,Władysław Koczerhin,Nika Kwekweskiri,Daniel Stefański
33,Szymon Włodarczyk,Górnik Zabrze,Pogoń Szczecin,Dante Stipica,T,Paweł Stolarski,ręka,Tomasz Kwiatkowski
33,Kajetan Szmyt,Warta Poznań,Piast Gliwice,Frantisek Plach,T,Michał Chrapek,ręka,Patryk Gryckiewicz
34,Kristoffer Velde,Lech Poznań,Jagiellonia Białystok,Sławomir Abramowicz,N,Israel Puerto,Filip Wilak,Szymon Marciniak
34,Kamil Grosicki,Pogoń Szczecin,Radomiak Radom,Albert Posiadała,T,Christos Donis,Luka Zahović,Bartosz Frankowski
