ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Jesus Imaz,Jagiellonia,"55,0%","40,0%","27,3%",86,36,"41,9%",14,"6,14","16,3%",56
Marc Gual,Jagiellonia,"30,2%","36,4%","75,0%",102,36,"35,3%",15,"6,80","14,7%",26
Kamil Grosicki,Pogoń Szczecin,"27,3%","35,2%","50,0%",104,36,"34,6%",13,"8,00","12,5%",93
Jakub Łukowski,Korona Kielce,"66,7%","44,8%","50,0%",74,34,"45,9%",12,"6,17","16,2%",36
Bartłomiej Pawłowski,Widzew Łódź,"33,3%","32,1%","50,0%",95,33,"34,7%",10,"9,50","10,5%",45
Mikael Ishak,Lech Poznań,"52,9%","57,1%","50,0%",58,32,"55,2%",11,"5,27","19,0%",27
Kacper Chodyna,Zagłębie Lubin,"46,2%","43,1%","50,0%",66,29,"43,9%",7,"9,43","10,6%",41
Erik Exposito,Śląsk Wrocław,"42,6%","0,0%","35,3%",72,29,"40,3%",7,"10,29","9,7%",19
Josue,Legia Warszawa,"39,7%","0,0%",-,74,29,"39,2%",12,"6,17","16,2%",86
Michał Skóraś,Lech Poznań,"38,5%","41,4%","0,0%",74,29,"39,2%",9,"8,22","12,2%",39
Ivi Lopez,Raków Częstochowa,"29,2%","35,6%","0,0%",86,28,"32,6%",9,"9,56","10,5%",53
John Yeboah,Śląsk Wrocław,"50,0%","60,0%","25,0%",55,27,"49,1%",10,"5,50","18,2%",33
Łukasz Łakomy,Zagłębie Lubin,"37,0%","85,7%","100,0%",62,27,"43,5%",4,"15,50","6,5%",65
Patryk Makuch,Cracovia,"60,0%","37,9%","37,5%",60,26,"43,3%",6,"10,00","10,0%",21
Said Hamulic,Stal Mielec,"25,0%","55,2%","57,1%",47,25,"53,2%",9,"5,22","19,1%",9
Bartosz Nowak,Górnik/Raków,"25,0%","58,8%","66,7%",45,24,"53,3%",11,"4,09","24,4%",37
Rafał Wolski,Wisła Płock,"33,3%","45,5%","50,0%",56,23,"41,1%",7,"8,00","12,5%",41
Davo,Wisła Płock,"87,5%","41,4%","75,0%",41,22,"53,7%",9,"4,56","22,0%",26
Kristoffer Velde,Lech Poznań,"45,5%","41,2%","60,0%",50,22,"44,0%",8,"6,25","16,0%",16
Vladislavs Gutkovskis,Raków Częstochowa,"27,3%","58,6%","18,2%",51,22,"43,1%",8,"6,38","15,7%",11
Benjamin Kallman,Cracovia,"42,9%","44,4%","38,9%",52,22,"42,3%",6,"8,67","11,5%",22
Ernest Muci,Legia Warszawa,"47,8%","21,4%","40,0%",70,22,"31,4%",5,"14,00","7,1%",26
Bartosz Śpiączka,Korona/Wisła P,"0,0%","46,2%","42,9%",49,21,"42,9%",6,"8,17","12,2%",12
Angelo Henriquez,Miedź Legnica,"21,4%","46,2%","41,7%",52,20,"38,5%",7,"7,43","13,5%",18
Wahan Biczachczjan,Pogoń Szczecin,"38,8%","20,0%","0,0%",57,20,"35,1%",6,"9,50","10,5%",21
Adam Zrelak,Warta Poznań,"35,9%","23,1%","27,3%",63,20,"31,7%",8,"7,88","12,7%",23
Lukas Podolski,Górnik Zabrze,"23,0%","40,0%","20,0%",84,20,"23,8%",6,"14,00","7,1%",44
Szymon Włodarczyk,Górnik Zabrze,"30,8%","59,1%","33,3%",41,19,"46,3%",9,"4,56","22,0%",11
Maciej Rosołek,Legia Warszawa,"42,9%","43,5%","60,0%",42,19,"45,2%",5,"8,40","11,9%",10
Chuca,Miedź Legnica,"50,0%","35,0%","100,0%",49,19,"38,8%",6,"8,17","12,2%",15
Damjan Bohar,Zagłębie Lubin,"0,0%","38,6%","50,0%",49,19,"38,8%",3,"16,33","6,1%",36
Jordi Sanchez,Widzew Łódź,"55,6%","39,4%","12,5%",50,19,"38,0%",6,"8,33","12,0%",18
Kamil Wilczek,Piast Gliwice,"27,8%","33,3%","30,0%",65,19,"29,2%",9,"7,22","13,8%",14
