KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"0,59","1,35",53%,"10,06","2,88","3,88","3,29","28,65%","5,85%","4,24","1,29","3,12","10,94","2,24","0,06",CRA
Górnik Zabrze,"1,35","1,35",44%,"12,18","4,71","4,00","3,47","38,65%","10,63%","3,76","1,18","3,71","12,00","3,06","0,18",GÓR
Jagiellonia,"1,29","1,76",53%,"14,71","4,71","5,76","4,24","32,00%","8,40%","5,53","1,35","2,88","13,59","2,24","0,06",JAG
Korona Kielce,"1,12","1,12",58%,"12,12","3,88","4,59","3,65","32,04%","9,22%","5,29","1,35","3,59","13,00","2,29","0,12",KOR
Lech Poznań,"0,88","1,47",39%,"9,82","2,82","4,65","2,35","28,74%","8,98%","2,88","1,71","5,12","12,12","3,12","0,12",LPO
Lechia Gdańsk,"1,29","0,88",47%,"14,88","4,76","5,94","4,18","32,02%","7,51%","5,24","1,88","2,76","12,35","2,00","0,00",LGD
Legia Warszawa,"1,00","2,24",41%,"10,18","3,71","3,88","2,59","36,42%","9,25%","4,18","2,18","3,47","14,12","2,35","0,12",LEG
Miedź Legnica,"1,35","0,94",56%,"13,00","5,12","4,59","3,29","39,37%","9,95%","4,88","1,53","2,24","11,35","1,94","0,06",MIE
Piast Gliwice,"0,88","1,18",52%,"7,59","2,88","3,12","1,59","37,98%","12,40%","3,41","1,47","2,71","14,06","1,65","0,18",PIA
Pogoń Szczecin,"1,35","1,94",44%,"10,53","3,71","4,18","2,65","35,20%","12,29%","4,41","2,65","4,24","10,00","2,00","0,06",POG
Radomiak Radom,"1,18","1,00",50%,"9,47","4,00","3,18","2,29","42,24%","12,42%","3,71","1,59","2,65","16,18","3,18","0,29",RAD
Raków Częstochowa,"0,59","2,41",46%,"7,94","2,00","3,35","2,59","25,19%","7,41%","3,29","1,53","2,82","13,53","3,18","0,12",RCZ
Stal Mielec,"0,82","1,06",50%,"11,94","3,76","5,41","2,76","31,53%","6,90%","5,82","2,65","2,76","15,59","2,29","0,06",STM
Śląsk Wrocław,"1,35","1,35",50%,"9,94","3,82","3,82","2,29","38,46%","13,02%","5,24","3,53","2,82","12,88","2,47","0,29",ŚLĄ
Warta Poznań,"1,06","1,24",54%,"9,24","3,24","3,59","2,41","35,03%","9,55%","4,18","1,47","2,35","11,88","1,71","0,06",WAR
Widzew Łódź,"1,65","1,29",50%,"11,59","4,00","4,53","3,06","34,52%","13,71%","4,76","1,88","2,65","10,71","2,41","0,06",WID
Wisła Płock,"0,94","1,35",48%,"15,18","4,88","6,41","3,88","32,17%","6,20%","5,53","1,29","2,65","12,29","2,35","0,12",WPŁ
Zagłębie Lubin,"1,18","0,76",50%,"12,47","3,59","5,12","3,76","28,77%","9,43%","4,88","2,06","4,00","10,53","1,29","0,06",ZAG
