KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,47","1,06",57%,"12,76","4,12","4,94","3,71","32,26%","11,06%","6,29","1,94","2,82","11,18","1,65","0,06",CRA
Górnik Zabrze,"1,18","1,29",48%,"12,59","4,18","5,12","3,29","33,18%","9,35%","5,06","1,12","2,29","11,59","2,00","0,06",GÓR
Jagiellonia,"1,59","1,06",54%,"16,94","5,71","7,12","4,12","33,68%","9,03%","5,71","1,53","2,59","12,12","1,82","0,00",JAG
Korona Kielce,"1,71","1,18",58%,"13,94","4,47","5,24","4,24","32,07%","11,39%","6,53","1,35","3,06","12,35","2,00","0,00",KOR
Lech Poznań,"0,82","1,53",40%,"10,29","3,53","4,29","2,47","34,29%","8,00%","3,59","1,00","3,59","13,41","2,47","0,12",LPO
Lechia Gdańsk,"2,00","0,76",50%,"15,47","5,18","6,18","4,12","33,46%","11,03%","6,29","2,18","2,65","12,18","2,24","0,12",LGD
Legia Warszawa,"1,18","1,12",42%,"10,12","3,59","4,71","1,82","35,47%","11,63%","4,47","2,53","2,82","14,59","2,71","0,00",LEG
Miedź Legnica,"1,88","1,00",58%,"16,00","6,24","5,94","3,82","38,97%","11,40%","5,00","1,53","2,35","10,41","1,88","0,06",MIE
Piast Gliwice,"0,94","1,18",56%,"11,65","3,53","4,71","3,41","30,30%","7,58%","5,29","1,12","1,65","14,18","2,29","0,00",PIA
Pogoń Szczecin,"1,35","1,41",42%,"13,06","4,29","5,71","3,06","32,88%","10,36%","5,59","3,18","3,24","11,65","1,88","0,18",POG
Radomiak Radom,"1,24","1,00",55%,"13,12","5,18","4,35","3,59","39,46%","9,42%","5,71","1,35","2,71","15,71","2,47","0,12",RAD
Raków Częstochowa,"0,82","1,29",45%,"8,59","2,94","3,06","2,59","34,25%","8,90%","2,59","0,94","3,29","14,65","2,71","0,00",RCZ
Stal Mielec,"1,53","1,06",52%,"14,59","5,41","5,06","4,12","37,10%","10,08%","6,29","2,29","1,88","15,76","2,35","0,06",STM
Śląsk Wrocław,"1,47","0,71",52%,"11,00","4,18","4,00","2,82","37,97%","12,83%","4,35","2,82","2,88","12,82","2,06","0,06",ŚLĄ
Warta Poznań,"1,00","0,94",54%,"12,12","3,35","5,41","3,35","27,67%","7,77%","5,24","1,12","2,06","12,88","1,41","0,06",WAR
Widzew Łódź,"1,12","0,94",53%,"14,88","5,18","5,94","3,76","34,78%","7,11%","5,65","0,76","3,00","12,29","1,59","0,00",WID
Wisła Płock,"2,00","1,06",45%,"15,41","5,12","6,18","4,12","33,21%","12,21%","6,76","1,47","2,82","13,76","2,53","0,00",WPŁ
Zagłębie Lubin,"1,41","1,29",55%,"14,06","4,35","5,53","4,18","30,96%","10,04%","4,47","1,82","3,76","12,35","2,12","0,00",ZAG
