KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,03","1,21",55%,"11,41","3,50","4,41","3,50","30,67%","8,76%","5,26","1,62","2,97","11,06","1,94","0,06",CRA
Górnik Zabrze,"1,26","1,32",46%,"12,38","4,44","4,56","3,38","35,87%","9,98%","4,41","1,15","3,00","11,79","2,53","0,12",GÓR
Jagiellonia,"1,44","1,41",53%,"15,82","5,21","6,44","4,18","32,90%","8,74%","5,62","1,44","2,74","12,85","2,03","0,03",JAG
Korona Kielce,"1,41","1,15",58%,"13,03","4,18","4,91","3,94","32,05%","10,38%","5,91","1,35","3,32","12,68","2,15","0,06",KOR
Lech Poznań,"0,85","1,50",40%,"10,06","3,18","4,47","2,41","31,58%","8,48%","3,24","1,35","4,35","12,76","2,79","0,12",LPO
Lechia Gdańsk,"1,65","0,82",49%,"15,18","4,97","6,06","4,15","32,75%","9,30%","5,76","2,03","2,71","12,26","2,12","0,06",LGD
Legia Warszawa,"1,09","1,68",42%,"10,15","3,65","4,29","2,21","35,94%","10,43%","4,32","2,35","3,15","14,35","2,53","0,06",LEG
Miedź Legnica,"1,62","0,97",57%,"14,50","5,68","5,26","3,56","39,15%","10,75%","4,94","1,53","2,29","10,88","1,91","0,06",MIE
Piast Gliwice,"0,91","1,18",54%,"9,62","3,21","3,91","2,50","33,33%","9,48%","4,35","1,29","2,18","14,12","1,97","0,09",PIA
Pogoń Szczecin,"1,35","1,68",43%,"11,79","4,00","4,94","2,85","33,92%","11,22%","5,00","2,91","3,74","10,82","1,94","0,12",POG
Radomiak Radom,"1,21","1,00",52%,"11,29","4,59","3,76","2,94","40,63%","10,68%","4,71","1,47","2,68","15,94","2,82","0,21",RAD
Raków Częstochowa,"0,71","1,85",45%,"8,26","2,47","3,21","2,59","29,89%","8,19%","2,94","1,24","3,06","14,09","2,94","0,06",RCZ
Stal Mielec,"1,18","1,06",51%,"13,26","4,59","5,24","3,44","34,59%","8,65%","6,06","2,47","2,32","15,68","2,32","0,06",STM
Śląsk Wrocław,"1,41","1,03",51%,"10,47","4,00","3,91","2,56","38,20%","12,92%","4,79","3,18","2,85","12,85","2,26","0,18",ŚLĄ
Warta Poznań,"1,03","1,09",54%,"10,68","3,29","4,50","2,88","30,85%","8,54%","4,71","1,29","2,21","12,38","1,56","0,06",WAR
Widzew Łódź,"1,38","1,12",51%,"13,24","4,59","5,24","3,41","34,67%","10,00%","5,21","1,32","2,82","11,50","2,00","0,03",WID
Wisła Płock,"1,47","1,21",46%,"15,29","5,00","6,29","4,00","32,69%","9,23%","6,15","1,38","2,74","13,03","2,44","0,06",WPŁ
Zagłębie Lubin,"1,29","1,03",53%,"13,26","3,97","5,32","3,97","29,93%","9,76%","4,68","1,94","3,88","11,44","1,71","0,03",ZAG
