ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Łukasz Łakomy,Zagłębie Lubin,62,27,"43,5%",4,48,21,"43,8%",2,"4,2%"
Ivi Lopez,Raków Częstochowa,86,28,"32,6%",9,57,16,"28,1%",2,"3,5%"
Damian Dąbrowski,Pogoń Szczecin,46,17,"37,0%",4,41,16,"39,0%",4,"9,8%"
Josue,Legia Warszawa,74,29,"39,2%",12,51,15,"29,4%",3,"5,9%"
Ronaldo Deaconu,Korona Kielce,58,16,"27,6%",2,47,15,"31,9%",2,"4,3%"
Bartłomiej Pawłowski,Widzew Łódź,95,33,"34,7%",10,44,13,"29,5%",4,"9,1%"
Erik Exposito,Śląsk Wrocław,72,29,"40,3%",7,31,13,"41,9%",4,"12,9%"
Michał Skóraś,Lech Poznań,74,29,"39,2%",9,36,13,"36,1%",2,"5,6%"
Wahan Biczachczjan,Pogoń Szczecin,57,20,"35,1%",6,34,11,"32,4%",4,"11,8%"
Lukas Podolski,Górnik Zabrze,84,20,"23,8%",6,43,11,"25,6%",3,"7,0%"
Chuca,Miedź Legnica,49,19,"38,8%",6,33,11,"33,3%",3,"9,1%"
Nene,Jagiellonia,36,13,"36,1%",5,30,11,"36,7%",5,"16,7%"
Nika Kwekweskiri,Lech Poznań,37,13,"35,1%",2,34,11,"32,4%",2,"5,9%"
Kacper Chodyna,Zagłębie Lubin,66,29,"43,9%",7,25,10,"40,0%",1,"4,0%"
Rafał Wolski,Wisła Płock,56,23,"41,1%",7,29,10,"34,5%",3,"10,3%"
Dani Pacheco,Górnik Zabrze,34,12,"35,3%",2,23,10,"43,5%",2,"8,7%"
Jesus Imaz,Jagiellonia,86,36,"41,9%",14,22,9,"40,9%",2,"9,1%"
Jakub Łukowski,Korona Kielce,74,34,"45,9%",12,33,9,"27,3%",0,"0,0%"
Ernest Muci,Legia Warszawa,70,22,"31,4%",5,35,9,"25,7%",0,"0,0%"
Marc Gual,Jagiellonia,102,36,"35,3%",15,35,8,"22,9%",1,"2,9%"
Bartosz Nowak,Górnik/Raków,45,24,"53,3%",11,17,8,"47,1%",2,"11,8%"
Joao Amaral,Lech Poznań,35,13,"37,1%",2,24,8,"33,3%",2,"8,3%"
Damjan Bohar,Zagłębie Lubin,49,19,"38,8%",3,17,7,"41,2%",1,"5,9%"
Bartosz Kapustka,Legia Warszawa,37,14,"37,8%",2,24,7,"29,2%",0,"0,0%"
Filip Starzyński,Zagłębie Lubin,50,14,"28,0%",1,33,7,"21,2%",0,"0,0%"
Carlitos,Legia Warszawa,36,13,"36,1%",1,20,7,"35,0%",0,"0,0%"
Mateusz Łęgowski,Pogoń Szczecin,28,11,"39,3%",3,21,7,"33,3%",1,"4,8%"
Jean Carlos Silva,Pogoń/Raków,26,10,"38,5%",4,16,7,"43,8%",2,"12,5%"
John Yeboah,Śląsk Wrocław,55,27,"49,1%",10,18,6,"33,3%",2,"11,1%"
Said Hamulic,Stal Mielec,47,25,"53,2%",9,12,6,"50,0%",2,"16,7%"
Patrick Olsen,Śląsk Wrocław,22,12,"54,5%",3,15,6,"40,0%",0,"0,0%"
Maciej Domański,Stal Mielec,42,12,"28,6%",4,25,6,"24,0%",2,"8,0%"
Roberto Alves,Radomiak Radom,45,12,"26,7%",3,29,6,"20,7%",1,"3,4%"
Grzegorz Tomasiewicz,Piast Gliwice,34,11,"32,4%",3,21,6,"28,6%",2,"9,5%"
Jarosław Kubicki,Lechia Gdańsk,27,8,"29,6%",2,16,6,"37,5%",1,"6,3%"
Marco Terrazzino,Lechia Gdańsk,30,8,"26,7%",1,19,6,"31,6%",0,"0,0%"
Nahuel Leiva,Śląsk Wrocław,33,8,"24,2%",3,28,6,"21,4%",1,"3,6%"
Juliusz Letniowski,Widzew Łódź,34,6,"17,6%",1,22,6,"27,3%",1,"4,5%"
Mikael Ishak,Lech Poznań,58,32,"55,2%",11,12,5,"41,7%",1,"8,3%"
Władysław Koczerhin,Raków Częstochowa,57,17,"29,8%",8,27,5,"18,5%",2,"7,4%"
Piotr Wlazło,Stal Mielec,39,15,"38,5%",4,22,5,"22,7%",0,"0,0%"
Miłosz Szczepański,Warta Poznań,30,14,"46,7%",4,18,5,"27,8%",1,"5,6%"
Kamil Drygas,Pogoń/Miedź,27,12,"44,4%",2,7,5,"71,4%",0,"0,0%"
Michał Chrapek,Piast Gliwice,39,12,"30,8%",4,22,5,"22,7%",1,"4,5%"
Bartosz Slisz,Legia Warszawa,26,9,"34,6%",0,18,5,"27,8%",0,"0,0%"
Jesper Karlstrom,Lech Poznań,28,9,"32,1%",1,17,5,"29,4%",1,"5,9%"
Jacek Podgórski,Korona Kielce,29,9,"31,0%",1,15,5,"33,3%",0,"0,0%"
Adrian Łyszczarz,Śląsk Wrocław,19,6,"31,6%",1,15,5,"33,3%",0,"0,0%"
Filip Lesniak,Wisła Płock,14,5,"35,7%",0,10,5,"50,0%",0,"0,0%"
Nono,Korona Kielce,21,5,"23,8%",0,16,5,"31,3%",0,"0,0%"
Kamil Grosicki,Pogoń Szczecin,104,36,"34,6%",13,34,4,"11,8%",0,"0,0%"
Vladislavs Gutkovskis,Raków Częstochowa,51,22,"43,1%",8,6,4,"66,7%",0,"0,0%"
Adam Zrelak,Warta Poznań,63,20,"31,7%",8,18,4,"22,2%",0,"0,0%"
Flavio Paixao,Lechia Gdańsk,40,18,"45,0%",7,9,4,"44,4%",0,"0,0%"
Tornike Gaprindaszwili,Zagłębie Lubin,30,14,"46,7%",2,12,4,"33,3%",0,"0,0%"
Ilkay Durmus,Lechia Gdańsk,31,13,"41,9%",1,15,4,"26,7%",1,"6,7%"
Afonso Sousa,Lech Poznań,32,13,"40,6%",4,13,4,"30,8%",1,"7,7%"
Tomasz Pieńko,Zagłębie Lubin,32,13,"40,6%",3,11,4,"36,4%",0,"0,0%"
Dominik Kun,Widzew Łódź,28,11,"39,3%",4,13,4,"30,8%",0,"0,0%"
Miguel Luis,Warta Poznań,44,11,"25,0%",3,26,4,"15,4%",0,"0,0%"
Filipe Nascimento,Radomiak Radom,21,10,"47,6%",3,14,4,"28,6%",0,"0,0%"
Marek Hanousek,Widzew Łódź,30,10,"33,3%",2,16,4,"25,0%",1,"6,3%"
Olaf Kobacki,Miedź Legnica,22,9,"40,9%",1,9,4,"44,4%",0,"0,0%"
Karol Knap,Cracovia,29,9,"31,0%",2,21,4,"19,0%",0,"0,0%"
Maciej Gajos,Lechia Gdańsk,31,9,"29,0%",4,15,4,"26,7%",2,"13,3%"
Kristian Vallo,Wisła Płock,19,8,"42,1%",2,11,4,"36,4%",0,"0,0%"
Kajetan Szmyt,Warta Poznań,21,8,"38,1%",3,11,4,"36,4%",1,"9,1%"
Jakub Myszor,Cracovia,22,8,"36,4%",2,13,4,"30,8%",1,"7,7%"
Krystian Getinger,Stal Mielec,27,8,"29,6%",0,18,4,"22,2%",0,"0,0%"
Petr Schwarz,Śląsk Wrocław,29,8,"27,6%",3,17,4,"23,5%",1,"5,9%"
Jani Atanasov,Cracovia,17,7,"41,2%",1,13,4,"30,8%",0,"0,0%"
Bartłomiej Wdowik,Jagiellonia,19,6,"31,6%",0,11,4,"36,4%",0,"0,0%"
Jewhen Konoplanka,Cracovia,21,6,"28,6%",2,12,4,"33,3%",1,"8,3%"
Davo,Wisła Płock,41,22,"53,7%",9,11,3,"27,3%",0,"0,0%"
Kristoffer Velde,Lech Poznań,50,22,"44,0%",8,12,3,"25,0%",0,"0,0%"
Maciej Rosołek,Legia Warszawa,42,19,"45,2%",5,5,3,"60,0%",0,"0,0%"
Lisandro Semedo,Radomiak Radom,33,14,"42,4%",3,10,3,"30,0%",0,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,48,14,"29,2%",6,13,3,"23,1%",0,"0,0%"
Michael Ameyaw,Piast Gliwice,29,13,"44,8%",3,6,3,"50,0%",1,"16,7%"
Filip Szymczak,Lech Poznań,37,13,"35,1%",2,10,3,"30,0%",0,"0,0%"
Luis Machado,Radomiak Radom,54,13,"24,1%",3,23,3,"13,0%",2,"8,7%"
Ernest Terpiłowski,Widzew Łódź,32,12,"37,5%",3,11,3,"27,3%",0,"0,0%"
Alexander Gorgon,Pogoń Szczecin,21,11,"52,4%",3,4,3,"75,0%",0,"0,0%"
