KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Cracovia,"1,94",66,2,2,51,2,1,6,6,1,0,0,1,0,0,0,0
Górnik Zabrze,"2,53",86,2,4,57,1,4,7,10,5,2,0,1,0,1,0,0
Jagiellonia,"2,00",68,0,1,54,0,4,4,5,1,0,0,0,0,0,0,0
Korona Kielce,"2,12",72,1,2,55,1,0,6,4,4,1,0,2,0,0,0,0
Lech Poznań,"2,79",95,1,4,72,1,4,6,5,6,0,0,2,0,0,0,0
Lechia Gdańsk,"2,12",72,1,2,46,1,3,9,5,4,1,0,4,0,0,0,0
Legia Warszawa,"2,53",86,0,2,60,0,0,14,5,2,1,0,4,0,0,0,0
Miedź Legnica,"1,91",65,1,2,49,1,1,4,7,3,0,0,1,0,0,0,0
Piast Gliwice,"1,94",66,1,3,50,1,1,8,4,2,0,0,1,0,0,0,0
Pogoń Szczecin,"1,94",66,1,4,51,1,2,1,8,2,0,1,1,0,0,0,0
Radomiak Radom,"2,82",96,3,7,68,2,2,7,9,6,1,1,2,0,1,0,0
Raków Częstochowa,"2,94",100,1,2,74,1,0,8,11,3,2,1,1,0,0,0,0
Stal Mielec,"2,32",79,1,2,63,1,1,5,5,3,1,1,0,0,0,0,0
Śląsk Wrocław,"2,26",77,3,6,60,2,2,9,1,1,2,0,2,1,0,0,0
Warta Poznań,"1,56",53,2,2,46,1,0,1,4,1,1,0,0,0,1,0,0
Widzew Łódź,"2,00",68,1,1,53,0,3,1,7,2,1,0,1,0,0,0,1
Wisła Płock,"2,44",83,0,2,66,0,2,5,4,2,0,1,3,0,0,0,0
Zagłębie Lubin,"1,71",58,1,1,48,1,1,3,4,2,0,0,0,0,0,0,0
