KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1356,22,49,1023,17,31,104,104,50,13,5,26,1,3,0,1
Cracovia,"2,12",72,1,3,57,1,2,5,3,2,2,1,0,0,0,0,0
Górnik Zabrze,"2,74",93,1,2,68,1,0,5,9,3,0,1,7,0,0,0,0
Jagiellonia Białystok,"2,74",93,2,6,73,2,5,4,7,2,0,0,2,0,0,0,0
Korona Kielce,"2,47",84,1,3,62,1,4,8,5,5,0,0,0,0,0,0,0
Lech Poznań,"2,18",74,1,2,59,1,0,6,6,3,0,0,0,0,0,0,0
Lechia Gdańsk,"2,12",72,1,1,58,1,3,5,3,2,0,0,1,0,0,0,0
Legia Warszawa,"2,47",84,0,4,55,0,0,13,9,4,1,1,1,0,0,0,0
Miedź Legnica,"3,03",103,1,5,81,1,2,5,9,2,1,0,3,0,0,0,0
Piast Gliwice,"1,97",67,2,2,46,2,2,7,5,5,0,0,2,0,0,0,0
Pogoń Szczecin,"2,09",71,1,1,56,0,5,1,5,2,0,1,1,0,0,0,1
Radomiak Radom,"2,44",83,1,3,57,1,3,9,10,3,0,0,1,0,0,0,0
Raków Częstochowa,"2,29",78,2,3,61,0,0,4,7,2,2,0,2,0,2,0,0
Stal Mielec,"1,74",59,2,3,43,2,2,4,3,3,2,0,2,0,0,0,0
Śląsk Wrocław,"2,41",82,1,4,57,1,1,13,6,2,1,1,1,0,0,0,0
Warta Poznań,"2,12",72,0,1,57,0,0,2,7,3,2,0,1,0,0,0,0
Widzew Łódź,"1,47",50,0,0,43,0,1,1,4,0,0,0,1,0,0,0,0
Wisła Płock,"2,03",69,3,4,51,2,0,8,5,3,1,0,1,0,1,0,0
Zagłębie Lubin,"1,47",50,2,2,39,1,1,4,1,4,1,0,0,1,0,0,0
