KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,778,85,108,70,15,21,300,"38,56%",478,"61,44%"
Arka Gdynia,46,9,7,3,3,5,27,"58,70%",19,"41,30%"
Bruk-Bet Nieciecza,39,4,3,4,2,0,13,"33,33%",26,"66,67%"
Cracovia,51,9,11,7,0,1,28,"54,90%",23,"45,10%"
Górnik Zabrze,65,5,16,6,1,3,31,"47,69%",34,"52,31%"
Jagiellonia Białystok,55,6,5,4,0,0,15,"27,27%",40,"72,73%"
Korona Kielce,49,4,7,3,1,0,15,"30,61%",34,"69,39%"
Lech Poznań,53,3,12,5,1,0,21,"39,62%",32,"60,38%"
Lechia Gdańsk,46,5,9,6,0,0,20,"43,48%",26,"56,52%"
Legia Warszawa,54,6,5,3,1,1,16,"29,63%",38,"70,37%"
Piast Gliwice,41,1,6,7,0,3,17,"41,46%",24,"58,54%"
Pogoń Szczecin,46,5,5,6,1,0,17,"36,96%",29,"63,04%"
Sandecja Nowy Sącz,34,1,1,2,0,1,5,"14,71%",29,"85,29%"
Śląsk Wrocław,50,10,4,3,0,2,19,"38,00%",31,"62,00%"
Wisła Kraków,51,6,4,4,4,0,18,"35,29%",33,"64,71%"
Wisła Płock,53,6,7,5,0,4,23,"43,40%",30,"56,60%"
Zagłębie Lubin,45,5,6,2,1,1,15,"33,33%",30,"66,67%"
