KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,2,2,0,0,11,1,4,6,5,0,0,5
Bruk-Bet,1,0,0,1,11,2,4,5,7,0,1,6
Cracovia,5,3,1,1,10,3,2,5,3,0,0,3
Górnik Zabrze,5,2,3,0,7,3,0,4,6,2,1,3
Jagiellonia,5,4,1,0,9,5,1,3,4,1,1,2
Korona Kielce,5,3,2,0,9,0,6,3,5,0,2,3
Lech Poznań,2,1,1,0,12,3,7,2,4,0,1,3
Lechia Gdańsk,3,3,0,0,8,2,4,2,8,0,2,6
Legia Warszawa,8,7,0,1,4,0,2,2,5,0,1,4
Piast Gliwice,2,2,0,0,12,2,6,4,5,0,0,5
Pogoń Szczecin,5,3,0,2,5,1,3,1,8,1,0,7
Sandecja,2,1,1,0,10,1,5,4,7,0,1,6
Śląsk Wrocław,3,2,0,1,7,0,3,4,8,0,2,6
Wisła Kraków,7,4,3,0,7,3,3,1,5,0,0,5
Wisła Płock,5,5,0,0,4,1,2,1,9,1,1,7
Zagłębie Lubin,3,3,0,0,12,3,5,4,4,0,2,2
