KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,SKRÓT
Arka Gdynia,"1,24","1,30",48%,"12,65","4,08","5,38","3,19","32,26%","9,62%","5,38","1,38","3,41","18,49","2,38","0,08",ARK
Bruk-Bet Nieciecza,"1,05","1,78",49%,"12,51","3,68","6,27","2,57","29,37%","7,78%","4,68","1,62","3,08","16,05","2,05","0,08",BBT
Cracovia,"1,38","1,41",46%,"12,76","4,32","5,70","2,73","33,90%","10,38%","4,43","1,89","3,11","13,22","2,11","0,03",CRA
Górnik Zabrze,"1,84","1,46",45%,"14,11","5,11","5,54","3,46","36,21%","12,07%","5,05","2,70","3,14","15,81","2,05","0,14",GÓR
Jagiellonia Białystok,"1,49","1,11",51%,"13,70","4,51","5,97","3,22","32,94%","10,45%","5,19","1,81","2,51","13,16","2,11","0,03",JAG
Korona Kielce,"1,32","1,46",52%,"13,49","4,70","5,78","3,00","34,87%","9,42%","5,32","2,54","2,70","16,43","2,16","0,11",KOR
Lech Poznań,"1,43","0,92",54%,"13,08","4,89","5,32","2,86","37,40%","10,74%","6,32","1,70","2,35","13,84","2,00","0,11",LPO
Lechia Gdańsk,"1,24","1,57",53%,"9,59","3,70","4,24","1,65","38,59%","12,39%","4,86","2,65","3,00","16,00","2,24","0,11",LGD
Legia Warszawa,"1,49","0,95",54%,"12,22","4,59","4,92","2,70","37,61%","11,50%","5,27","2,27","3,19","12,78","1,97","0,19",LEG
Piast Gliwice,"1,08","1,30",49%,"12,05","3,95","4,76","3,35","32,74%","8,74%","3,84","1,97","2,89","13,54","1,81","0,05",PIA
Pogoń Szczecin,"1,24","1,46",55%,"13,32","4,78","5,30","3,24","35,90%","8,92%","5,19","2,86","2,41","15,38","2,51","0,08",POG
Sandecja Nowy Sącz,"0,92","1,46",45%,"10,38","3,08","4,86","2,43","29,69%","8,07%","4,16","1,76","3,57","16,59","2,46","0,14",SAN
Śląsk Wrocław,"1,35","1,46",48%,"11,30","3,89","4,73","2,68","34,45%","11,96%","4,19","2,49","3,46","15,84","2,27","0,08",ŚLĄ
Wisła Kraków,"1,38","1,14",52%,"11,05","4,19","4,49","2,38","37,90%","12,47%","5,16","2,03","3,43","15,43","2,54","0,08",WIS
Wisła Płock,"1,43","1,22",49%,"11,84","4,46","5,05","2,32","37,67%","11,64%","4,92","1,30","2,43","15,95","2,41","0,11",WPŁ
Zagłębie Lubin,"1,22","1,14",52%,"12,32","4,22","5,41","2,70","34,21%","9,87%","5,27","2,16","3,14","14,16","2,05","0,08",ZAG
