Lp.,BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK
1.,Arkadiusz Malarz,Legia Warszawa,34,14,187,356,588,"77,9%",113,145,33,"40,8%"
2.,Pavels Steinbors,Arka Gdynia,37,13,89,288,327,"73,7%",126,171,48,"25,3%"
3.,Jakub Szmatuła,Piast Gliwice,27,12,94,651,651,"73,5%",75,102,27,"31,0%"
4.,Łukasz Załuska,Pogoń Szczecin,34,10,27,328,328,"62,7%",79,126,50,"25,6%"
5.,Matus Putnocky,Lech Poznań,25,9,6,307,375,"71,8%",61,85,26,"41,5%"
6.,Marian Kelemen,Jagiellonia Białystok,22,8,55,274,698,"70,6%",60,85,28,"34,3%"
7.,Dominik Hładun,Zagłębie Lubin,15,7,128,304,304,"75,0%",45,60,15,"46,7%"
8.,Martin Polacek,Zagłębie Lubin,21,7,51,269,543,"74,2%",69,93,24,"32,9%"
9.,Zlatan Alomerović,Korona Kielce,21,7,32,242,242,"69,2%",54,78,27,"33,3%"
10.,Dusan Kuciak,Lechia Gdańsk,36,7,61,266,799,"64,8%",105,162,58,"42,0%"
11.,Julian Cuesta,Wisła Kraków,19,6,3,365,365,"77,9%",67,86,21,"31,6%"
12.,Michał Buchalik,Wisła Kraków,17,6,120,234,304,"74,1%",60,81,21,"26,9%"
13.,Michał Gliwa,Sandecja Nowy Sącz,35,6,61,250,378,"71,0%",120,169,51,"27,4%"
14.,Tomasz Loska,Górnik Zabrze,36,6,105,163,163,"69,3%",113,163,53,"16,7%"
15.,Seweryn Kiełpin,Wisła Płock,21,6,181,226,239,"66,7%",54,81,27,"24,1%"
16.,Jasmin Burić,Lech Poznań,11,5,101,456,465,"81,8%",27,33,7,"42,9%"
17.,Mariusz Pawełek,Jagiellonia Białystok,11,5,5,296,420,"74,3%",26,35,9,"38,6%"
18.,Jakub Słowik,Śląsk Wrocław,20,5,24,213,278,"68,8%",66,96,30,"23,8%"
19.,Thomas Dahne,Wisła Płock,15,5,25,215,215,"66,7%",36,54,18,"33,3%"
20.,Maciej Gostomski,Korona Kielce,12,5,5,316,316,"65,3%",32,49,17,"31,7%"
21.,Michal Pesković,Cracovia,11,4,121,268,295,"74,3%",26,35,9,"22,2%"
22.,Jakub Wrąbel,Śląsk Wrocław,17,3,128,150,173,"72,1%",62,86,24,"14,3%"
23.,Jan Mucha,Bruk-Bet Nieciecza,27,3,10,183,633,"64,7%",86,133,48,"41,8%"
24.,Adam Wilk,Cracovia,11,3,12,195,195,"61,1%",33,54,21,"27,3%"
25.,Dariusz Trela,Bruk-Bet Nieciecza,10,2,0,167,295,"60,9%",28,46,18,"26,2%"
26.,Oliver Zelenika,Lechia Gdańsk,1,1,90,90,90,"100,0%",6,6,0,"100,0%"
27.,Grzegorz Sandomierski,Cracovia,15,1,52,207,563,"72,7%",56,77,22,"29,1%"
28.,Radosław Cierzniak,Legia Warszawa,1,1,0,127,342,"71,4%",5,7,2,"28,9%"
29.,Damian Węglarz,Jagiellonia Białystok,3,1,90,90,112,"63,6%",7,11,4,"50,0%"
30.,Łukasz Budziłek,Pogoń Szczecin,0,0,53,12,181,-,-,-,0,"18,2%"
31.,Łukasz Radliński,Sandecja Nowy Sącz,1,0,34,55,55,"87,5%",7,8,1,"0,0%"
32.,Dawid Pietrzkiewicz,Sandecja Nowy Sącz,1,0,14,38,38,"71,4%",5,7,2,"0,0%"
33.,Jakub Bursztyn,Pogoń Szczecin,2,0,45,113,113,"71,4%",10,14,4,"0,0%"
34.,Dobrivoj Rusov,Piast Gliwice,8,0,1,133,218,"64,0%",32,50,18,"12,5%"
35.,Wojciech Pawłowski,Górnik Zabrze,1,0,8,55,320,"60,0%",3,5,2,"42,1%"
36.,Matthias Hamrol,Korona Kielce,4,0,21,106,106,"58,3%",14,24,10,"0,0%"
37.,Piotr Leciejewski,Zagłębie Lubin,1,0,51,51,217,"40,0%",2,5,3,"20,0%"
