DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,RAZEM,DR/KOL,RAZEM,297,74,319,217,277,415,355,329,283,242,168,444,545,501,365,181,365,399,352,350,384,318,375,187,180,215,497,372,328,378,344,234,425,270,472,448,504,12409,RAZEM
ARK,21,X,0,X,1,0,0,52,17,40,7,0,77,0,0,45,85,0,54,1,0,X,33,X,X,0,68,46,56,0,13,0,0,0,80,25,0,721,ARK
BBT,0,0,0,36,0,0,0,0,0,14,0,36,29,0,8,X,0,26,0,77,0,0,0,10,18,44,0,18,13,0,0,0,62,16,70,31,0,508,BBT
CRA,1,23,6,0,54,36,0,66,0,0,0,88,77,9,42,0,1,30,0,0,62,1,0,X,15,18,85,51,0,14,39,X,3,13,0,61,0,795,CRA
GÓR,73,14,48,18,0,45,52,37,46,39,8,0,78,28,77,0,11,27,21,0,0,7,60,59,X,0,62,0,3,0,9,0,72,83,20,0,58,1055,GÓR
JAG,43,1,1,0,24,18,0,0,61,3,X,0,0,88,16,X,37,81,23,71,0,51,30,48,46,49,21,1,0,0,0,27,0,X,74,66,25,905,JAG
KOR,0,0,52,X,0,0,55,41,0,34,X,45,0,64,64,X,22,0,0,0,0,76,23,21,17,X,0,72,72,0,55,0,0,0,30,0,0,743,KOR
LPO,X,0,50,8,28,46,70,X,55,0,78,60,4,0,0,X,68,X,52,X,54,X,70,0,3,0,36,73,38,39,0,38,0,X,0,41,0,911,LPO
LGD,66,0,0,0,X,0,0,22,13,0,30,0,49,0,1,87,7,50,0,0,3,0,0,3,34,X,0,0,0,76,47,X,0,0,45,8,0,541,LGD
LEG,0,6,19,0,73,50,33,26,18,0,0,82,69,53,30,6,37,0,37,45,0,54,67,X,0,65,66,0,0,64,0,47,43,X,51,68,67,1176,LEG
PIA,0,0,0,0,0,37,44,0,0,0,0,15,0,64,0,27,15,X,0,0,4,0,25,X,X,32,75,X,0,75,0,X,65,0,0,0,67,545,PIA
POG,0,4,0,0,X,47,36,X,37,0,X,0,35,0,0,0,17,0,61,77,30,60,0,46,X,X,0,39,46,0,39,X,48,22,0,0,81,725,POG
SAN,X,X,0,50,0,51,15,0,6,0,0,11,0,27,0,X,0,34,0,25,35,0,9,0,0,X,0,0,19,X,0,23,0,39,0,0,27,371,SAN
ŚLĄ,0,0,57,20,39,0,10,22,0,65,12,0,0,86,0,0,1,0,56,0,37,27,0,0,0,X,0,0,0,8,89,54,64,12,45,60,89,853,ŚLĄ
WIS,74,1,0,1,1,0,40,28,1,6,X,40,0,82,78,16,64,34,0,48,0,18,16,X,0,0,44,64,13,X,26,0,8,85,57,0,0,845,WIS
WPŁ,0,24,40,0,57,0,0,0,29,31,33,0,76,0,38,0,0,68,48,6,80,24,42,0,0,7,40,8,3,81,0,45,7,X,0,88,9,884,WPŁ
ZAG,19,1,46,84,0,85,0,35,0,10,0,67,51,0,11,X,0,49,0,X,79,0,0,X,47,X,0,X,65,21,27,0,53,0,0,0,81,831,ZAG
