ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Mateusz Cetnarski,Sandecja,2,0,2,0,0
Radosław Majewski,Lech Poznań,2,0,1,1,0
Rafał Wolsztyński,Górnik Zabrze,2,1,0,1,0
Bartłomiej Dudzic,Sandecja,2,0,2,0,0
Cristian Pasquato,Legia Warszawa,2,0,2,0,0
Ricardo Nunes,Pogoń Szczecin,2,2,0,0,0
Mateusz Piątkowski,Wisła Płock,2,0,1,1,0
Piotr Wlazło,Jagiellonia,2,1,1,0,0
Thibault Moulin,Legia Warszawa,2,1,1,0,0
Błażej Augustyn,Lechia Gdańsk,2,0,1,1,0
Gabriel Iancu,Bruk-Bet,2,2,0,0,0
Mateusz Możdżeń,Korona Kielce,2,1,1,0,0
Mateusz Mak,Piast Gliwice,2,1,1,0,0
Michał Marcjanik,Arka Gdynia,2,0,1,1,0
Vlastimir Jovanović,Bruk-Bet,2,0,1,1,0
Igor Łasicki,Wisła Płock,2,0,0,2,0
Matic Fink,Cracovia,2,1,1,0,0
Jakub Bartkowski,Wisła Kraków,2,1,0,1,0
Siergiej Kriwiec,Arka Gdynia,2,0,2,0,0
Karol Angielski,Piast Gliwice,2,1,0,1,0
Miroslav Radović,Legia Warszawa,2,0,2,0,0
Ołeksij Chobłenko,Lech Poznań,2,0,0,2,0
Cafu,Legia Warszawa,2,0,1,1,0
Lasza Dwali,Pogoń Szczecin,2,1,0,1,0
Enrique Esqueda,Arka Gdynia,2,0,0,2,0
Sanel Kapidzić,Korona Kielce,2,0,2,0,0
Dominik Nagy,Legia Warszawa,1,1,0,0,0
Ken Kallaste,Korona Kielce,1,1,0,0,0
Łukasz Kosakiewicz,Korona Kielce,1,0,1,0,0
Mateusz Matras,Lechia/Zagłębie,1,0,1,0,0
Michał Nalepa I,Arka Gdynia,1,1,0,0,0
Milos Krasić,Lechia Gdańsk,1,0,0,1,0
Sebastian Rudol,Pogoń Szczecin,1,0,0,1,0
Jakub Bartosz,Wisła K/Sandecja,1,0,0,1,0
Nicki Bille Nielsen,Lech Poznań,1,0,1,0,0
Josip Barisić,Piast Gliwice,1,0,0,0,1
Patryk Małecki,Wisła Kraków,1,0,1,0,0
Michał Chrapek,Śląsk Wrocław,1,0,1,0,0
Michal Siplak,Cracovia,1,0,0,1,0
Patryk Dziczek,Piast Gliwice,1,0,1,0,0
Alan Czerwiński,Zagłębie Lubin,1,0,1,0,0
Krzysztof Mączyński,Legia Warszawa,1,0,1,0,0
Kamil Słaby,Bruk-Bet,1,1,0,0,0
Patrik Mraz,Sandecja,1,0,1,0,0
Stojan Vranjes,Piast Gliwice,1,0,1,0,0
Łukasz Burliga,Jagiellonia,1,0,1,0,0
Michał Mak,Śląsk Wrocław,1,0,1,0,0
Patryk Lipski,Lechia Gdańsk,1,0,1,0,0
Jarosław Jach,Zagłębie Lubin,1,1,0,0,0
Mateusz Wdowiak,Cracovia,1,0,0,1,0
Łukasz Madej,Śląsk Wrocław,1,1,0,0,0
Yannick Kakoko,Arka Gdynia,1,1,0,0,0
Grzegorz Piesio,Arka Gdynia,1,1,0,0,0
Bartosz Szeliga,Bruk-Bet,1,0,0,1,0
Romario Balde,Lechia Gdańsk,1,0,1,0,0
Martin Konczkowski,Piast Gliwice,1,1,0,0,0
David Niepsuj,Pogoń Szczecin,1,0,1,0,0
Kamil Wojtkowski,Wisła Kraków,1,1,0,0,0
Rafał Wolski,Lechia Gdańsk,1,0,1,0,0
Łukasz Zwoliński,Pogoń Szczecin,1,0,0,1,0
Jarosław Kubicki,Zagłębie Lubin,1,0,0,1,0
Filip Jagiełło,Zagłębie Lubin,1,0,1,0,0
Konrad Michalak,Wisła Płock,1,0,1,0,0
Piotr Malarczyk,Cracovia/Korona,1,0,1,0,0
Radek Dejmek,Korona Kielce,1,0,0,1,0
Aleksandar Sedlar,Piast Gliwice,1,0,1,0,0
Vitalijs Maksimenko,Bruk-Bet,1,0,1,0,0
Simeon Sławczew,Lechia Gdańsk,1,0,1,0,0
Deniss Rakels,Lech/Cracovia,1,0,1,0,0
Victor Perez,Wisła Kraków,1,0,1,0,0
Miroslav Covilo,Cracovia,1,0,0,1,0
Łukasz Broź,Legia Warszawa,1,0,1,0,0
Igors Tarasovs,Śląsk Wrocław,1,0,0,1,0
Antoni Łukasiewicz,Arka Gdynia,1,0,0,1,0
Luka Zarandia,Arka Gdynia,1,0,1,0,0
Lubomir Guldan,Zagłębie Lubin,1,0,1,0,0
Sasa Balić,Zagłębie Lubin,1,1,0,0,0
Maciej Dąbrowski,Legia/Zagłębie,1,0,0,1,0
Maciej Małkowski,Sandecja,1,1,0,0,0
Konstantin Vassiljev,Piast Gliwice,1,0,1,0,0
Marcin Wasilewski,Wisła Kraków,1,1,0,0,0
Paweł Brożek,Wisła Kraków,1,1,0,0,0
Artem Putiwcew,Bruk-Bet,1,0,0,1,0
Elhadji Pape Diaw,Korona Kielce,1,0,0,1,0
Tomasz Jodłowiec,Piast Gliwice,1,1,0,0,0
Morten Rasmussen,Pogoń Szczecin,1,0,1,0,0
Adam Chrzanowski,Lechia Gdańsk,1,1,0,0,0
Joona Toivio,Bruk-Bet,1,0,1,0,0
Kamil Mazek,Zagłębie Lubin,1,1,0,0,0
William Remy,Legia Warszawa,1,0,0,1,0
Marko Vesović,Legia Warszawa,1,1,0,0,0
Nemanja Mitrović,Jagiellonia,1,0,0,1,0
Ołeksij Dytiatjew,Cracovia,1,0,0,1,0
Jakub Wójcicki,Jagiellonia,1,1,0,0,0
Fran Velez,Wisła Kraków,1,0,0,1,0
Tomasz Hołota,Pogoń Szczecin,1,0,0,1,0
Andrij Bohdanow,Arka Gdynia,1,0,1,0,0
Jakub Czerwiński,Piast Gliwice,1,0,1,0,0
