ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Rafał Kurzawa,Górnik Zabrze,3,20,"0,0%"
Darko Jevtić,Lech Poznań,4,17,"25,0%"
Carlitos,Wisła Kraków,28,16,"32,1%"
Arvydas Novikovas,Jagiellonia,8,16,"25,0%"
Spas Delew,Pogoń Szczecin,5,14,"40,0%"
Konstantin Vassiljev,Piast Gliwice,4,14,"25,0%"
Flavio Paixao,Lechia Gdańsk,18,13,"38,9%"
Michał Kucharczyk,Legia Warszawa,16,13,"37,5%"
Szymon Żurkowski,Górnik Zabrze,2,13,"0,0%"
Adam Frączczak,Pogoń Szczecin,18,12,"38,9%"
Damian Kądzior,Górnik Zabrze,12,12,"50,0%"
Giorgi Merebaszwili,Wisła Płock,6,12,"66,7%"
Jakub Kosecki,Śląsk Wrocław,5,12,"60,0%"
Nico Varela,Wisła Płock,14,11,"21,4%"
Łukasz Wolsztyński,Górnik Zabrze,11,11,"36,4%"
Arkadiusz Reca,Wisła Płock,9,11,"22,2%"
Przemysław Frankowski,Jagiellonia,7,11,"28,6%"
Semir Stilić,Wisła Płock,5,11,"40,0%"
Igor Angulo,Górnik Zabrze,30,10,"40,0%"
Kasper Hamalainen,Legia Warszawa,14,10,"21,4%"
Radosław Majewski,Lech Poznań,6,10,"16,7%"
Filip Starzyński,Zagłębie Lubin,5,10,"20,0%"
Arkadiusz Piech,Śląsk Wrocław,19,9,"36,8%"
Goran Cvijanović,Korona Kielce,6,9,"50,0%"
Javi Hernandez,Cracovia,3,9,"66,7%"
Samuel Stefanik,Bruk-Bet,7,8,"42,9%"
Sławomir Peszko,Lechia Gdańsk,6,8,"50,0%"
Martin Pospisil,Jagiellonia,6,8,"33,3%"
Damian Szymański,Wisła Płock,6,8,"16,7%"
Alan Czerwiński,Zagłębie Lubin,4,8,"25,0%"
Maciej Makuszewski,Lech Poznań,2,8,"100,0%"
Cristian Pasquato,Legia Warszawa,2,8,"50,0%"
Filip Jagiełło,Zagłębie Lubin,2,8,"0,0%"
Guilherme Sitya,Jagiellonia,2,8,"0,0%"
Łukasz Madej,Śląsk Wrocław,0,8,-
Maciej Sadlok,Wisła Kraków,0,8,-
Jarosław Niezgoda,Legia Warszawa,22,7,"36,4%"
Krzysztof Piątek,Cracovia,20,7,"30,0%"
Aleksandyr Kolew,Sandecja,16,7,"31,3%"
Jose Kante,Wisła Płock,15,7,"40,0%"
Jacek Kiełb,Korona Kielce,7,7,"57,1%"
Bartosz Rymaniak,Korona Kielce,6,7,"50,0%"
Deniss Rakels,Lech/Cracovia,6,7,"16,7%"
Ken Kallaste,Korona Kielce,5,7,"20,0%"
Mateusz Szwoch,Legia/Arka,4,7,"25,0%"
Łukasz Kosakiewicz,Korona Kielce,2,7,"50,0%"
Tomasz Jodłowiec,Piast Gliwice,2,7,"50,0%"
Grzegorz Piesio,Arka Gdynia,2,7,"0,0%"
Tomasz Brzyski,Sandecja,1,7,"0,0%"
Michał Chrapek,Śląsk Wrocław,1,7,"0,0%"
Krzysztof Mączyński,Legia Warszawa,1,7,"0,0%"
Jesus Imaz,Wisła Kraków,23,6,"30,4%"
Nika Kaczarawa,Korona Kielce,14,6,"35,7%"
Michał Helik,Cracovia,12,6,"50,0%"
Mateusz Szczepaniak,Cracovia/Piast,8,6,"25,0%"
Konrad Michalak,Wisła Płock,8,6,"12,5%"
Szymon Pawłowski,Bruk-Bet,7,6,"42,9%"
Milos Krasić,Lechia Gdańsk,5,6,"20,0%"
Adrian Danek,Sandecja,4,6,"25,0%"
Mateusz Możdżeń,Korona Kielce,4,6,"0,0%"
Dominik Furman,Wisła Płock,2,6,"50,0%"
Patrik Mraz,Sandecja,2,6,"50,0%"
Sito Riera,Śląsk Wrocław,2,6,"0,0%"
Patryk Lipski,Lechia Gdańsk,2,6,"0,0%"
Ricardo Nunes,Pogoń Szczecin,1,6,"0,0%"
Paweł Stolarski,Lechia Gdańsk,1,6,"0,0%"
Vlastimir Jovanović,Bruk-Bet,0,6,-
Szymon Drewniak,Cracovia,0,6,-
Wołodymyr Kostewycz,Lech Poznań,0,6,-
Maciej Małkowski,Sandecja,0,6,-
Christian Gytkjaer,Lech Poznań,33,5,"45,5%"
Robert Pich,Śląsk Wrocław,13,5,"30,8%"
Karol Świderski,Jagiellonia,10,5,"40,0%"
Kamil Drygas,Pogoń Szczecin,10,5,"20,0%"
Jakub Mares,Zagłębie Lubin,8,5,"12,5%"
Sebastian Szymański,Legia Warszawa,7,5,"14,3%"
Lukas Haraslin,Lechia Gdańsk,6,5,"0,0%"
Fedor Cernych,Jagiellonia,5,5,"20,0%"
Mario Situm,Lech Poznań,5,5,"20,0%"
Arkadiusz Woźniak,Zagłębie Lubin,5,5,"0,0%"
Jakub Piotrowski,Pogoń Szczecin,4,5,"0,0%"
Łukasz Burliga,Jagiellonia,1,5,"100,0%"
Martin Konczkowski,Piast Gliwice,1,5,"100,0%"
Lubomir Guldan,Zagłębie Lubin,1,5,"100,0%"
Adam Hlousek,Legia Warszawa,0,5,-
Marco Paixao,Lechia Gdańsk,23,4,"47,8%"
Jakub Świerczok,Zagłębie Lubin,22,4,"50,0%"
Marcin Robak,Śląsk Wrocław,16,4,"56,3%"
Bartłomiej Pawłowski,Zagłębie Lubin,15,4,"13,3%"
Łukasz Piątek,Bruk-Bet,12,4,"33,3%"
Ruben Jurado,Arka Gdynia,11,4,"36,4%"
Roman Gergel,Bruk-Bet,10,4,"30,0%"
Maciej Jankowski,Piast Gliwice,10,4,"20,0%"
Guilherme,Legia Warszawa,7,4,"14,3%"
Taras Romanczuk,Jagiellonia,6,4,"33,3%"
Rafał Boguski,Wisła Kraków,5,4,"80,0%"
Michał Koj,Górnik Zabrze,5,4,"60,0%"
Joao Oliveira,Lechia Gdańsk,5,4,"40,0%"
Adam Gyurcso,Pogoń Szczecin,5,4,"0,0%"
Simeon Sławczew,Lechia Gdańsk,4,4,"25,0%"
Maciej Gajos,Lech Poznań,4,4,"0,0%"
Jakub Bartosz,Wisła K/Sandecja,3,4,"0,0%"
Mihai Radut,Lech Poznań,3,4,"0,0%"
Rafał Murawski,Pogoń Szczecin,3,4,"0,0%"
Miroslav Covilo,Cracovia,3,4,"0,0%"
Marcin Cebula,Korona Kielce,2,4,"100,0%"
Marko Vesović,Legia Warszawa,2,4,"50,0%"
Kamil Jóźwiak,Lech Poznań,2,4,"50,0%"
Thibault Moulin,Legia Warszawa,2,4,"0,0%"
Damian Zbozień,Arka Gdynia,1,4,"100,0%"
Nicklas Barkroth,Lech Poznań,1,4,"0,0%"
Dawid Kort,Pogoń Szczecin,1,4,"0,0%"
Patrik Misak,Bruk-Bet,1,4,"0,0%"
Cornel Rapa,Pogoń Szczecin,1,4,"0,0%"
Patryk Fryc,Bruk-Bet,0,4,-
Michael Gardawski,Korona Kielce,0,4,-
Rafał Wolski,Lechia Gdańsk,0,4,-
Pol Llonch,Wisła Kraków,0,4,-
Łukasz Zwoliński,Pogoń Szczecin,13,3,"0,0%"
Cillian Sheridan,Jagiellonia,12,3,"33,3%"
Rafał Siemaszko,Arka Gdynia,10,3,"40,0%"
Roman Bezjak,Jagiellonia,10,3,"20,0%"
Wojciech Trochim,Sandecja,9,3,"44,4%"
Kamil Biliński,Wisła Płock,8,3,"50,0%"
Armando Sadiku,Legia Warszawa,8,3,"25,0%"
Adam Buksa,Zagłębie/Pogoń,7,3,"57,1%"
Sergei Zenjov,Cracovia,6,3,"50,0%"
Nabil Aankour,Korona Kielce,6,3,"16,7%"
Mateusz Piątkowski,Wisła Płock,5,3,"40,0%"
Łukasz Sekulski,Jagiellonia,5,3,"40,0%"
Milan Dimun,Cracovia,5,3,"40,0%"
Maciej Górski,Korona Kielce,4,3,"25,0%"
Joel Valencia,Piast Gliwice,4,3,"25,0%"
Sasa Balić,Zagłębie Lubin,4,3,"25,0%"
Bartłomiej Dudzic,Sandecja,3,3,"66,7%"
Gerard Badia,Piast Gliwice,3,3,"33,3%"
David Guba,Bruk-Bet,3,3,"33,3%"
Lasza Dwali,Pogoń Szczecin,3,3,"33,3%"
Paweł Brożek,Wisła Kraków,3,3,"0,0%"
Adnan Kovacević,Korona Kielce,3,3,"0,0%"
Piotr Wlazło,Jagiellonia,2,3,"50,0%"
Dominik Nagy,Legia Warszawa,2,3,"0,0%"
Jakub Tosik,Zagłębie Lubin,1,3,"100,0%"
Nicolai Brock-Madsen,Cracovia,1,3,"100,0%"
Daniel Dziwniel,Zagłębie Lubin,1,3,"0,0%"
Arkadiusz Głowacki,Wisła Kraków,1,3,"0,0%"
Kamil Słaby,Bruk-Bet,1,3,"0,0%"
Adam Matuszczyk,Zagłębie Lubin,1,3,"0,0%"
Luka Zarandia,Arka Gdynia,1,3,"0,0%"
Marcin Pietrowski,Piast Gliwice,0,3,-
David Niepsuj,Pogoń Szczecin,0,3,-
Martin Miković,Bruk-Bet,0,3,-
Łukasz Broź,Legia Warszawa,0,3,-
Tomasz Cywka,Wisła Kraków,0,3,-
Tom Hateley,Piast Gliwice,0,3,-
Nikola Mitrović,Wisła Kraków,0,3,-
Filip Mladenović,Lechia Gdańsk,0,3,-
Filip Piszczek,Sandecja,8,2,"37,5%"
Sasa Zivec,Piast Gliwice,8,2,"12,5%"
Mateusz Wieteska,Górnik Zabrze,7,2,"71,4%"
Patryk Tuszyński,Zagłębie Lubin,7,2,"57,1%"
Ivan Jukić,Korona Kielce,6,2,"50,0%"
Vladislavs Gutkovskis,Bruk-Bet,6,2,"50,0%"
Zoran Arsenić,Wisła Kraków,5,2,"60,0%"
Alan Uryga,Wisła Płock,5,2,"60,0%"
Emir Dilaver,Lech Poznań,4,2,"50,0%"
Dorde Cotra,Śląsk Wrocław,4,2,"0,0%"
Ivan Runje,Jagiellonia,4,2,"0,0%"
Adam Marciniak,Arka Gdynia,3,2,"33,3%"
Adam Chrzanowski,Lechia Gdańsk,3,2,"33,3%"
Martin Bukata,Piast Gliwice,3,2,"0,0%"
Ołeksij Dytiatjew,Cracovia,3,2,"0,0%"
Grzegorz Kuświk,Lechia Gdańsk,3,2,"0,0%"
Artem Putiwcew,Bruk-Bet,3,2,"0,0%"
Jakub Bartkowski,Wisła Kraków,2,2,"100,0%"
Krzysztof Janus,Zagłębie Lubin,2,2,"50,0%"
Ivan Gonzalez,Wisła Kraków,2,2,"0,0%"
Jakub Łukowski,Wisła Płock,2,2,"0,0%"
Nikola Vujadinović,Lech Poznań,2,2,"0,0%"
Miroslav Radović,Legia Warszawa,2,2,"0,0%"
Matic Fink,Cracovia,1,2,"100,0%"
Siergiej Kriwiec,Arka Gdynia,1,2,"100,0%"
Patryk Dziczek,Piast Gliwice,1,2,"0,0%"
David Ledecky,Górnik Zabrze,1,2,"0,0%"
Maciej Ambrosiewicz,Górnik Zabrze,1,2,"0,0%"
Mateusz Mak,Piast Gliwice,1,2,"0,0%"
