ZAWODNIK,KLUB,GOL,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Bartosz Śpiączka,Bruk-Bet,3,1,4,2286,"762,0","571,5"
Patrik Mraz,Sandecja,1,3,4,2418,"2418,0","604,5"
Bartosz Rymaniak,Korona Kielce,3,2,5,3060,"1020,0","612,0"
Martin Konczkowski,Piast Gliwice,1,4,5,3275,"3275,0","655,0"
Mateusz Możdżeń,Korona Kielce,2,2,4,2622,"1311,0","655,5"
Piotr Celeban,Śląsk Wrocław,5,0,5,3330,"666,0","666,0"
Michal Piter-Bućko,Sandecja,3,1,4,2700,"900,0","675,0"
Robert Gumny,Lech Poznań,0,4,4,2889,-,"722,3"
Lasza Dwali,Pogoń Szczecin,2,2,4,2970,"1485,0","742,5"
Dani Suarez,Górnik Zabrze,4,0,4,2998,"749,5","749,5"
