KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Jagiellonia,18,33,10,3,5,26,22,4,"1,83","1,44","1,22"
Legia Warszawa,18,27,8,3,7,22,20,2,"1,50","1,22","1,11"
Górnik Zabrze,19,28,8,4,7,33,31,2,"1,47","1,74","1,63"
Wisła Kraków,19,27,7,6,6,26,24,2,"1,42","1,37","1,26"
Wisła Płock,18,24,7,3,8,23,27,-4,"1,33","1,28","1,50"
Zagłębie Lubin,19,25,6,7,6,21,24,-3,"1,32","1,11","1,26"
Cracovia,18,21,6,3,9,18,19,-1,"1,17","1,00","1,06"
Lech Poznań,18,21,4,9,5,16,16,0,"1,17","0,89","0,89"
Lechia Gdańsk,19,21,5,6,8,20,26,-6,"1,11","1,05","1,37"
Korona Kielce,19,19,3,10,6,25,30,-5,"1,00","1,32","1,58"
Pogoń Szczecin,18,18,5,3,10,18,28,-10,"1,00","1,00","1,56"
Piast Gliwice,19,18,4,6,9,25,30,-5,"0,95","1,32","1,58"
Arka Gdynia,18,13,3,4,11,19,31,-12,"0,72","1,06","1,72"
Sandecja,19,13,2,7,10,16,33,-17,"0,68","0,84","1,74"
Śląsk Wrocław,18,11,2,5,11,20,38,-18,"0,61","1,11","2,11"
Bruk-Bet,19,11,2,5,12,15,39,-24,"0,58","0,79","2,05"
