ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%
Jakub Świerczok,Zagłębie Lubin,16,3,19,31,"51,6%","61,3%"
Carlitos,Wisła Kraków,24,7,31,51,"47,1%","60,8%"
Jakub Mares,Zagłębie Lubin,4,3,7,14,"28,6%","50,0%"
Krzysztof Piątek,Cracovia,21,4,25,51,"41,2%","49,0%"
Adam Frączczak,Pogoń Szczecin,14,5,19,46,"30,4%","41,3%"
Marco Paixao,Lechia Gdańsk,16,2,18,46,"34,8%","39,1%"
Igor Angulo,Górnik Zabrze,22,3,25,65,"33,8%","38,5%"
Marcin Robak,Śląsk Wrocław,19,0,19,50,"38,0%","38,0%"
Christian Gytkjaer,Lech Poznań,19,1,20,53,"35,8%","37,7%"
Mateusz Szwoch,Arka Gdynia,10,4,14,43,"23,3%","32,6%"
Tomasz Jodłowiec,Piast Gliwice,1,5,6,19,"5,3%","31,6%"
Fedor Cernych,Jagiellonia,3,6,9,29,"10,3%","31,0%"
Arvydas Novikovas,Jagiellonia,9,8,17,55,"16,4%","30,9%"
Aleksandyr Kolew,Sandecja,7,3,10,34,"20,6%","29,4%"
Flavio Paixao,Lechia Gdańsk,10,3,13,46,"21,7%","28,3%"
Jarosław Niezgoda,Legia Warszawa,13,2,15,54,"24,1%","27,8%"
Rafał Kurzawa,Górnik Zabrze,2,16,18,65,"3,1%","27,7%"
Nika Kaczarawa,Korona Kielce,7,6,13,49,"14,3%","26,5%"
Jesus Imaz,Wisła Kraków,8,3,11,42,"19,0%","26,2%"
Arkadiusz Piech,Śląsk Wrocław,10,3,13,50,"20,0%","26,0%"
Kasper Hamalainen,Legia Warszawa,8,6,14,54,"14,8%","25,9%"
Michal Papadopulos,Piast Gliwice,9,1,10,41,"22,0%","24,4%"
Semir Stilić,Wisła Płock,4,8,12,50,"8,0%","24,0%"
Adam Buksa,Zagłębie/Pogoń,5,2,7,25,"16,0%","24,0%"
Filip Piszczek,Sandecja,6,2,8,34,"17,6%","23,5%"
Damian Kądzior,Górnik Zabrze,10,5,15,65,"15,4%","23,1%"
Łukasz Piątek,Bruk-Bet,6,3,9,39,"15,4%","23,1%"
Goran Cvijanović,Korona Kielce,8,3,11,48,"16,7%","22,9%"
Darko Jevtić,Lech Poznań,5,7,12,53,"9,4%","22,6%"
Robert Pich,Śląsk Wrocław,6,5,11,50,"12,0%","22,0%"
Armando Sadiku,Legia Warszawa,2,4,6,28,"7,1%","21,4%"
Mateusz Szczepaniak,Cracovia/Piast,3,2,5,19,"15,8%","21,1%"
Adrian Danek,Sandecja,3,4,7,34,"8,8%","20,6%"
Wojciech Trochim,Sandecja,6,1,7,34,"17,6%","20,6%"
Szymon Pawłowski,Bruk-Bet,3,4,7,34,"8,8%","20,6%"
Samuel Stefanik,Bruk-Bet,6,2,8,39,"15,4%","20,5%"
Michał Kucharczyk,Legia Warszawa,7,4,11,54,"13,0%","20,4%"
Filip Starzyński,Zagłębie Lubin,6,3,9,45,"13,3%","20,0%"
Michał Helik,Cracovia,8,2,10,51,"15,7%","19,6%"
Sławomir Peszko,Lechia Gdańsk,4,5,9,46,"8,7%","19,6%"
Kamil Drygas,Pogoń Szczecin,5,4,9,46,"10,9%","19,6%"
Sasa Zivec,Piast Gliwice,6,2,8,41,"14,6%","19,5%"
Adam Gyurcso,Pogoń Szczecin,2,2,4,21,"9,5%","19,0%"
Maciej Makuszewski,Lech Poznań,5,5,10,53,"9,4%","18,9%"
Nico Varela,Wisła Płock,8,2,10,53,"15,1%","18,9%"
Giorgi Merebaszwili,Wisła Płock,5,5,10,53,"9,4%","18,9%"
Jose Kante,Wisła Płock,9,1,10,53,"17,0%","18,9%"
Łukasz Sekulski,Jagiellonia,4,2,6,32,"12,5%","18,8%"
Javi Hernandez,Cracovia,5,3,8,46,"10,9%","17,4%"
Deniss Rakels,Lech/Cracovia,1,4,5,23,"4,3%","17,4%"
Dominik Furman,Wisła Płock,2,7,9,53,"3,8%","17,0%"
Maciej Gajos,Lech Poznań,4,5,9,53,"7,5%","17,0%"
Łukasz Wolsztyński,Górnik Zabrze,4,7,11,65,"6,2%","16,9%"
Taras Romanczuk,Jagiellonia,5,4,9,55,"9,1%","16,4%"
Przemysław Frankowski,Jagiellonia,4,5,9,55,"7,3%","16,4%"
Jacek Kiełb,Korona Kielce,6,2,8,49,"12,2%","16,3%"
Jakub Kosecki,Śląsk Wrocław,4,4,8,50,"8,0%","16,0%"
Patryk Tuszyński,Zagłębie Lubin,5,1,6,38,"13,2%","15,8%"
Roman Gergel,Bruk-Bet,3,3,6,39,"7,7%","15,4%"
Mateusz Piątkowski,Wisła Płock,2,2,4,26,"7,7%","15,4%"
Roman Bezjak,Jagiellonia,3,1,4,26,"11,5%","15,4%"
Marko Vesović,Legia Warszawa,1,3,4,26,"3,8%","15,4%"
Damian Zbozień,Arka Gdynia,3,4,7,46,"6,5%","15,2%"
Ricardo Nunes,Pogoń Szczecin,2,5,7,46,"4,3%","15,2%"
Spas Delew,Pogoń Szczecin,5,2,7,46,"10,9%","15,2%"
Arkadiusz Reca,Wisła Płock,3,5,8,53,"5,7%","15,1%"
Zoran Arsenić,Wisła Kraków,3,4,7,51,"5,9%","13,7%"
Alan Czerwiński,Zagłębie Lubin,1,5,6,45,"2,2%","13,3%"
Bartłomiej Pawłowski,Zagłębie Lubin,3,3,6,45,"6,7%","13,3%"
Cillian Sheridan,Jagiellonia,6,1,7,55,"10,9%","12,7%"
Martin Pospisil,Jagiellonia,5,2,7,55,"9,1%","12,7%"
Karol Świderski,Jagiellonia,5,2,7,55,"9,1%","12,7%"
Szymon Żurkowski,Górnik Zabrze,2,6,8,65,"3,1%","12,3%"
Martin Bukata,Piast Gliwice,2,3,5,41,"4,9%","12,2%"
Patryk Lipski,Lechia Gdańsk,1,4,5,41,"2,4%","12,2%"
Joao Oliveira,Lechia Gdańsk,3,2,5,41,"7,3%","12,2%"
Martin Konczkowski,Piast Gliwice,1,4,5,41,"2,4%","12,2%"
Damian Szymański,Wisła Płock,4,2,6,50,"8,0%","12,0%"
Szymon Drewniak,Cracovia,0,6,6,51,"0,0%","11,8%"
Patrik Mraz,Sandecja,1,3,4,34,"2,9%","11,8%"
Gabriel Iancu,Bruk-Bet,2,2,4,34,"5,9%","11,8%"
Michal Piter-Bućko,Sandecja,3,1,4,34,"8,8%","11,8%"
Maciej Małkowski,Sandecja,1,3,4,34,"2,9%","11,8%"
Łukasz Trałka,Lech Poznań,6,0,6,53,"11,3%","11,3%"
Mario Situm,Lech Poznań,2,4,6,53,"3,8%","11,3%"
Radosław Majewski,Lech Poznań,2,4,6,53,"3,8%","11,3%"
Sebastian Szymański,Legia Warszawa,4,2,6,54,"7,4%","11,1%"
Maciej Jankowski,Piast/Arka,3,2,5,18,"11,1%","11,1%"
Guilherme Sitya,Jagiellonia,0,6,6,55,"0,0%","10,9%"
Adam Marciniak,Arka Gdynia,2,3,5,46,"4,3%","10,9%"
Milos Krasić,Lechia Gdańsk,1,4,5,46,"2,2%","10,9%"
Ruben Jurado,Arka Gdynia,5,0,5,46,"10,9%","10,9%"
Rafał Siemaszko,Arka Gdynia,5,0,5,46,"10,9%","10,9%"
Jakub Piotrowski,Pogoń Szczecin,3,2,5,46,"6,5%","10,9%"
Mateusz Wieteska,Górnik Zabrze,7,0,7,65,"10,8%","10,8%"
Simeon Sławczew,Lechia Gdańsk,1,3,4,38,"2,6%","10,5%"
Elia Soriano,Korona Kielce,5,0,5,48,"10,4%","10,4%"
Vladislavs Gutkovskis,Bruk-Bet,3,1,4,39,"7,7%","10,3%"
Bartosz Śpiączka,Bruk-Bet,3,1,4,39,"7,7%","10,3%"
Ken Kallaste,Korona Kielce,1,4,5,49,"2,0%","10,2%"
Łukasz Kosakiewicz,Korona Kielce,1,4,5,49,"2,0%","10,2%"
Bartosz Rymaniak,Korona Kielce,3,2,5,49,"6,1%","10,2%"
Piotr Celeban,Śląsk Wrocław,5,0,5,50,"10,0%","10,0%"
Michał Chrapek,Śląsk Wrocław,1,4,5,50,"2,0%","10,0%"
Alan Uryga,Wisła Płock,4,1,5,50,"8,0%","10,0%"
Sergei Zenjov,Cracovia,3,2,5,51,"5,9%","9,8%"
Rafał Boguski,Wisła Kraków,4,1,5,51,"7,8%","9,8%"
Konrad Michalak,Wisła Płock,1,4,5,51,"2,0%","9,8%"
Jakub Bartkowski,Wisła Kraków,2,3,5,51,"3,9%","9,8%"
Gerard Badia,Piast Gliwice,2,2,4,41,"4,9%","9,8%"
Karol Angielski,Piast Gliwice,2,2,4,41,"4,9%","9,8%"
Kamil Biliński,Wisła Płock,5,0,5,53,"9,4%","9,4%"
Cristian Pasquato,Legia Warszawa,2,3,5,53,"3,8%","9,4%"
Michał Koj,Górnik Zabrze,3,3,6,65,"4,6%","9,2%"
Filip Jagiełło,Zagłębie Lubin,1,3,4,45,"2,2%","8,9%"
Marcin Warcholak,Arka Gdynia,3,1,4,46,"6,5%","8,7%"
Grzegorz Piesio,Arka Gdynia,1,3,4,46,"2,2%","8,7%"
Lasza Dwali,Pogoń Szczecin,2,2,4,46,"4,3%","8,7%"
Marcin Cebula,Korona Kielce,2,2,4,49,"4,1%","8,2%"
Ivan Jukić,Korona Kielce,4,0,4,49,"8,2%","8,2%"
Mateusz Możdżeń,Korona Kielce,2,2,4,49,"4,1%","8,2%"
Sito Riera,Śląsk Wrocław,0,4,4,50,"0,0%","8,0%"
Bartosz Kwiecień,Jagiellonia,3,1,4,52,"5,8%","7,7%"
Robert Gumny,Lech Poznań,0,4,4,53,"0,0%","7,5%"
Kamil Jóźwiak,Lech Poznań,3,1,4,53,"5,7%","7,5%"
Miroslav Radović,Legia Warszawa,2,2,4,54,"3,7%","7,4%"
Dani Suarez,Górnik Zabrze,4,0,4,65,"6,2%","6,2%"
