ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""18""",CZAS
Krzysztof Pilarz,Arka,0,0,0,0,34,0
Pavels Steinbors,Arka,37,37,37,0,37,3330
Szymon Więckowicz,Arka,0,0,0,0,3,0
Adam Danch,Arka,8,6,7,1,18,589
Frederik Helstrup,Arka,29,26,29,0,31,2494
Adam Marciniak,Arka,28,24,27,1,30,2459
Michał Marcjanik,Arka,35,35,35,0,35,3150
Achilleas Poungouras,Arka,3,3,3,0,5,270
Krzysztof Sobieraj,Arka,4,1,2,2,12,166
Tadeusz Socha,Arka,9,5,8,1,31,668
Dawid Sołdecki,Arka,26,17,19,7,31,1931
Marcin Warcholak,Arka,17,16,17,0,19,1494
Damian Zbozień,Arka,33,32,32,1,35,2910
Andrij Bohdanow,Arka,13,7,12,1,15,1003
Krzysztof Janus,Arka,3,0,1,2,7,107
Yannick Kakoko,Arka,13,7,11,2,15,948
Siergiej Kriwiec,Arka,10,3,6,4,20,503
Patryk Kun,Arka,28,8,18,10,30,1690
Antoni Łukasiewicz,Arka,10,8,9,1,12,757
Michał Nalepa I,Arka,27,9,21,6,35,1875
Szymon Nowicki,Arka,2,0,1,1,2,74
Grzegorz Piesio,Arka,34,12,23,11,34,2144
Alvaro Rey,Arka,1,0,1,0,6,45
Oskar Ryk,Arka,0,0,0,0,1,0
Mateusz Szwoch,Arka,33,24,27,6,33,2508
Marcus Vinicius,Arka,13,1,9,4,17,687
Luka Zarandia,Arka,15,2,8,7,18,693
Enrique Esqueda,Arka,8,0,0,8,9,237
Maciej Jankowski,Arka,10,6,8,2,10,735
Filip Jazvić,Arka,7,0,3,4,11,209
Ruben Jurado,Arka,31,3,16,15,33,1402
Jan Łoś,Arka,2,0,0,2,4,32
Rafał Siemaszko,Arka,27,1,17,10,30,1444
Michał Żebrakowski,Arka,2,0,0,2,2,47
Krzysztof Baran,Bruk-Bet,0,0,0,0,5,0
Jan Mucha,Bruk-Bet,27,27,27,0,37,2430
Dariusz Trela,Bruk-Bet,10,10,10,0,32,900
Rafał Grzelak,Bruk-Bet,14,14,14,0,14,1260
Patryk Fryc,Bruk-Bet,11,10,10,1,17,929
Akos Kecskes,Bruk-Bet,12,7,12,0,15,935
Vitalijs Maksimenko,Bruk-Bet,17,11,13,4,31,1213
Gabriel Matei,Bruk-Bet,8,7,7,1,10,643
Artem Putiwcew,Bruk-Bet,34,33,34,0,35,3052
Kamil Słaby,Bruk-Bet,9,4,9,0,16,678
Przemysław Szarek,Bruk-Bet,2,1,1,1,7,103
Joona Toivio,Bruk-Bet,9,8,8,1,15,728
Roman Gergel,Bruk-Bet,23,6,17,6,27,1462
David Guba,Bruk-Bet,26,0,7,19,33,714
Gabriel Iancu,Bruk-Bet,14,3,6,8,15,702
Dejan Janjatović,Bruk-Bet,6,0,1,5,6,156
Vlastimir Jovanović,Bruk-Bet,30,24,29,1,33,2532
Szczepan Kogut,Bruk-Bet,1,0,0,1,1,2
Mateusz Kupczak,Bruk-Bet,35,35,35,0,36,3150
Nika Kwantaliani,Bruk-Bet,1,0,0,1,4,32
Martin Miković,Bruk-Bet,24,12,19,5,31,1694
Patrik Misak,Bruk-Bet,15,4,8,7,16,844
Jakub Mrozik,Bruk-Bet,4,1,4,0,10,285
Piotr Nowak,Bruk-Bet,0,0,0,0,1,0
Szymon Pawłowski,Bruk-Bet,28,14,25,3,29,2179
Krystian Peda,Bruk-Bet,3,0,0,3,11,27
Łukasz Piątek,Bruk-Bet,32,24,30,2,36,2649
Florin Purece,Bruk-Bet,6,0,3,3,12,217
Samuel Stefanik,Bruk-Bet,34,9,21,13,37,1993
Bartosz Szeliga,Bruk-Bet,20,15,18,2,22,1615
Jakub Wróbel,Bruk-Bet,4,0,1,3,14,74
Vladislavs Gutkovskis,Bruk-Bet,20,6,11,9,20,1092
Bartosz Śpiączka,Bruk-Bet,36,12,27,9,37,2286
Michal Peskovic,Cracovia,11,11,11,0,24,990
Grzegorz Sandomierski,Cracovia,15,15,15,0,19,1350
Krystian Stępniowski,Cracovia,0,0,0,0,6,0
Adam Wilk,Cracovia,11,11,11,0,25,990
