,R,GR,SKR,D,GD,SKD,W,GW,SKW,RAZEM,562,11,"1,96%",314,4,"1,27%",248,7,"2,82%"
ARK,39,2,"5,13%",26,2,"7,69%",13,0,"0,00%"
BBT,42,0,"0,00%",18,0,"0,00%",24,0,"0,00%"
CRA,34,2,"5,88%",21,1,"4,76%",13,1,"7,69%"
GÓR,28,0,"0,00%",19,0,"0,00%",9,0,"0,00%"
JAG,33,2,"6,06%",24,0,"0,00%",9,2,"22,22%"
KOR,30,0,"0,00%",17,0,"0,00%",13,0,"0,00%"
LPO,41,0,"0,00%",30,0,"0,00%",11,0,"0,00%"
LGD,32,1,"3,13%",20,0,"0,00%",12,1,"8,33%"
LEG,29,1,"3,45%",19,1,"5,26%",10,0,"0,00%"
PIA,40,0,"0,00%",16,0,"0,00%",24,0,"0,00%"
POG,33,0,"0,00%",25,0,"0,00%",8,0,"0,00%"
SAN,37,0,"0,00%",16,0,"0,00%",21,0,"0,00%"
ŚLĄ,30,0,"0,00%",18,0,"0,00%",12,0,"0,00%"
WIS,28,1,"3,57%",11,0,"0,00%",17,1,"5,88%"
WPŁ,32,2,"6,25%",17,0,"0,00%",15,2,"13,33%"
ZAG,54,0,"0,00%",17,0,"0,00%",37,0,"0,00%"
