KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,2794807,9442,,
Arka Gdynia,154588,8136,149323,8296
Bruk-Bet Nieciecza,49989,2777,123091,6478
Cracovia,92045,4844,166760,9264
Górnik Zabrze,340551,18920,238185,12536
Jagiellonia Białystok,208911,10995,183477,10193
Korona Kielce,134364,7465,177120,9322
Lech Poznań,393241,20697,223659,12426
Lechia Gdańsk,194228,10790,172459,9077
Legia Warszawa,322747,16987,283176,15732
Piast Gliwice,79484,4416,130847,6887
Pogoń Szczecin,124021,6527,124271,6904
Sandecja Nowy Sącz,30328,1685,156436,8233
Śląsk Wrocław,204211,10748,129216,7179
Wisła Kraków,259581,14421,221553,11661
Wisła Płock,95013,5001,169133,9396
Zagłębie Lubin,111505,6195,146101,7690
