KLUB,BTS,CK,BG
Arka Gdynia,17,13,12
Bruk-Bet,22,5,11
Cracovia,22,8,9
Górnik Zabrze,25,7,6
Jagiellonia,19,14,7
Korona Kielce,17,12,12
Lech Poznań,16,15,13
Lechia Gdańsk,22,8,10
Legia Warszawa,14,15,10
Piast Gliwice,18,11,13
Pogoń Szczecin,17,10,16
Sandecja,18,6,18
Śląsk Wrocław,25,8,5
Wisła Kraków,18,13,9
Wisła Płock,19,11,8
Zagłębie Lubin,17,14,11
