KLUB,SPALONE,ŁAPALI NA SPAL,RAZEM,1226,1226
Arka Gdynia,51,88
Bruk-Bet Nieciecza,60,86
Cracovia,70,57
Górnik Zabrze,100,77
Jagiellonia Białystok,67,103
Korona Kielce,94,91
Lech Poznań,63,61
Lechia Gdańsk,98,76
Legia Warszawa,84,143
Piast Gliwice,73,61
Pogoń Szczecin,106,75
Sandecja Nowy Sącz,65,68
Śląsk Wrocław,92,63
Wisła Kraków,75,82
Wisła Płock,48,60
Zagłębie Lubin,80,35
