KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Adam Gyurcso,Pogoń Szczecin,Wisła Kraków,Julian Cuesta,T,Fran Velez,ręka,Paweł Raczkowski
1,Konstantin Vassiljev,Piast Gliwice,Cracovia,Adam Wilk,N,Deleu,ręka,Tomasz Kwiatkowski
1,Łukasz Sekulski,Jagiellonia Białystok,Bruk-Bet,Jan Mucha,T,Kamil Słaby,Fedor Cernych,Krzysztof Jakubik
1,Filip Starzyński,Zagłębie Lubin,Korona Kielce,Zlatan Alomerović,T,Ivan Jukić,Bartłomiej Pawłowski,Szymon Marciniak
2,Arvydas Novikovas,Jagiellonia Białystok,Górnik Zabrze,Tomasz Loska,T,Dani Suarez,ręka,Paweł Raczkowski
2,Łukasz Sekulski,Jagiellonia Białystok,Górnik Zabrze,Tomasz Loska,T,David Ledecky,Arvydas Novikovas,Paweł Raczkowski
3,Marcin Warcholak,Arka Gdynia,Wisła Płock,Seweryn Kiełpin,T,Seweryn Kiełpin,Ruben Jurado,Paweł Raczkowski
3,Nicki Bille Nielsen,Lech Poznań,Piast Gliwice,Dobrivoj Rusov,T,Aleksandar Sedlar,Kamil Jóźwiak,Daniel Stefański
3,Krzysztof Piątek,Cracovia,Korona Kielce,Zlatan Alomerović,T,Ken Kallaste,Krzysztof Piątek,Krzysztof Jakubik
3,Nabil Aankour,Korona Kielce,Cracovia,Adam Wilk,T,Michał Helik,ręka,Krzysztof Jakubik
4,Konstantin Vassiljev,Piast Gliwice,Śląsk Wrocław,Jakub Wrąbel,N,Augusto,Martin Konczkowski,Paweł Raczkowski
4,Marco Paixao,Lechia Gdańsk,Górnik Zabrze,Tomasz Loska,T,Mateusz Wieteska,ręka,Daniel Stefański
4,Wojciech Trochim,Sandecja,Jagiellonia Białystok,Marian Kelemen,T,Guilherme Sitya,Bartłomiej Dudzic,Szymon Marciniak
5,Nabil Aankour,Korona Kielce,Jagiellonia Białystok,Marian Kelemen,O,Dmytro Chomczenowskyj,Bartosz Rymaniak,Tomasz Musiał
6,Krzysztof Piątek,Cracovia,Górnik Zabrze,Tomasz Loska,T,Szymon Żurkowski,Michał Helik,Paweł Raczkowski
6,Krzysztof Piątek,Cracovia,Górnik Zabrze,Tomasz Loska,T,Adam Wolniewicz,Ołeksij Dytiatjew,Paweł Raczkowski
6,Adam Gyurcso,Pogoń Szczecin,Arka Gdynia,Pavels Šteinbors,T,Pavels Šteinbors,Dariusz Formella,Szymon Marciniak
6,Adam Frączczak,Pogoń Szczecin,Arka Gdynia,Pavels Šteinbors,T,Adam Danch,Kamil Drygas,Szymon Marciniak
7,Robert Pich,Śląsk Wrocław,Cracovia,Grzegorz Sandomierski,T,Sylwester Lusiusz,Michał Chrapek,Szymon Marciniak
7,Filip Starzyński,Zagłębie Lubin,Legia Warszawa,Radosław Cierzniak,T,Łukasz Broź,ręka,Bartosz Frankowski
8,Nico Varela,Wisła Płock,Zagłębie Lubin,Martin Polacek,T,Arkadiusz Woźniak,Giorgi Merebaszwili,Zbigniew Dobrynin
8,Marcin Robak,Śląsk Wrocław,Legia Warszawa,Arkadiusz Malarz,T,Adam Hlousek,ręka,Jarosław Przybył
8,Krzysztof Piątek,Cracovia,Jagiellonia Białystok,Damian Węglarz,T,Nemanja Mitrović,Jakub Wójcicki,Paweł Gil
9,Jacek Kiełb,Korona Kielce,Lech Poznań,Matus Putnocky,O,Vernon De Marco,Michael Gardawski,Daniel Stefański
9,Marcin Robak,Śląsk Wrocław,Górnik Zabrze,Tomasz Loska,T,Dani Suarez,ręka,Tomasz Kwiatkowski
9,Carlitos,Wisła Kraków,Piast Gliwice,Jakub Szmatuła,T,Dario Rugasević,Carlitos,Krzysztof Jakubik
10,Marcin Robak,Śląsk Wrocław,Lech Poznań,Matus Putnocky,T,Mario Situm,Jakub Kosecki,Paweł Gil
10,Gabriel Iancu,Bruk-Bet,Lechia Gdańsk,Dusan Kuciak,T,Marco Paixao,ręka,Tomasz Musiał
10,Adam Gyurcso,Pogoń Szczecin,Górnik Zabrze,Tomasz Loska,O,Łukasz Wolsztyński,ręka,Krzysztof Jakubik
11,Igor Angulo,Górnik Zabrze,Piast Gliwice,Dobrivoj Rusov,T,Martin Konczkowski,Igor Angulo,Piotr Lasyk
11,Igor Angulo,Górnik Zabrze,Piast Gliwice,Dobrivoj Rusov,O,Aleksandar Sedlar,Szymon Żurkowski,Piotr Lasyk
12,Mateusz Szwoch,Arka Gdynia,Bruk-Bet,Jan Mucha,T,Artem Putiwcew,ręka,Mariusz Złotek
12,Carlitos,Wisła Kraków,Śląsk Wrocław,Jakub Wrąbel,T,Piotr Celeban,Zoran Arsenić,Paweł Raczkowski
13,Adam Frączczak,Pogoń Szczecin,Bruk-Bet,Jan Mucha,T,Vitalijs Maksimenko,ręka,Paweł Raczkowski
13,Marco Paixao,Lechia Gdańsk,Lech Poznań,Matus Putnocky,T,Lasse Nielsen,Marco Paixao,Tomasz Musiał
13,Nico Varela,Wisła Płock,Śląsk Wrocław,Jakub Wrąbel,T,Igors Tarasovs,Nico Varela,Krzysztof Jakubik
13,Arkadiusz Piech,Śląsk Wrocław,Wisła Płock,Seweryn Kiełpin,O,Jakub Łukowski,Jakub Kosecki,Krzysztof Jakubik
13,Kamil Biliński,Wisła Płock,Śląsk Wrocław,Jakub Wrąbel,O,Kamil Vacek,Semir Stilić,Krzysztof Jakubik
14,Jakub Żubrowski,Korona Kielce,Lechia Gdańsk,Dusan Kuciak,O,Romario Balde,Ken Kallaste,Krzysztof Jakubik
15,Goran Cvijanović,Korona Kielce,Śląsk Wrocław,Jakub Wrąbel,T,Jakub Wrąbel,Nika Kaczarawa,Zbigniew Dobrynin
15,Arvydas Novikovas,Jagiellonia Białystok,Wisła Płock,Seweryn Kiełpin,T,Jose Kante,ręka,Mariusz Złotek
15,Carlitos,Wisła Kraków,Sandecja,Michał Gliwa,T,Grzegorz Baran,Zoran Arsenić,Krzysztof Jakubik
15,Victor Perez,Wisła Kraków,Sandecja,Michał Gliwa,T,Michał Gliwa,Jakub Bartosz,Krzysztof Jakubik
15,Igor Angulo,Górnik Zabrze,Lech Poznań,Matus Putnocky,T,Rafał Janicki,Denis Suarez,Bartosz Frankowski
15,Michal Papadopulos,Piast Gliwice,Bruk-Bet,Jan Mucha,O,Vlastimir Jovanović,Maciej Jankowski,Szymon Marciniak
15,Łukasz Piątek,Bruk-Bet,Piast Gliwice,Dobrivoj Rusov,T,Dario Rugasević,ręka,Szymon Marciniak
15,Łukasz Broź,Legia Warszawa,Pogoń Szczecin,Łukasz Załuska,T,Lasza Dwali,Michał Kucharczyk,Tomasz Musiał
17,Krzysztof Piątek,Cracovia,Lechia Gdańsk,Dusan Kuciak,T,Daniel Łukasik,Javi Hernandez,Piotr Lasyk
