KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"0,89","1,42",51%,"11,68","3,68","5,11","2,89","31,53%","7,21%","4,16","2,37","2,74","14,26","2,42","0,00",ARK
Bruk-Bet,"1,50","1,33",51%,"11,78","3,83","5,11","2,83","32,55%","12,26%","5,06","2,50","2,56","11,67","1,83","0,06",BBT
Cracovia,"1,74","1,74",52%,"13,21","4,68","5,79","2,74","35,46%","12,75%","4,79","1,63","3,37","17,47","3,37","0,16",CRA
Górnik Zabrze,"1,28","1,94",54%,"13,89","4,17","6,39","3,33","30,00%","8,40%","5,11","1,89","2,94","15,78","2,50","0,17",GÓR
Jagiellonia,"1,00","1,53",47%,"10,05","3,32","4,11","2,63","32,98%","9,42%","3,53","2,63","3,53","14,16","2,63","0,16",JAG
Korona Kielce,"1,33","1,33",47%,"10,33","3,67","4,56","2,11","35,48%","11,83%","4,17","2,67","4,00","16,33","2,22","0,00",KOR
Lech Poznań,"0,95","1,95",45%,"8,89","3,16","3,74","2,00","35,50%","10,06%","3,58","1,79","4,37","16,47","2,32","0,00",LPO
Lechia Gdańsk,"1,78","1,44",46%,"11,22","4,33","4,33","2,56","38,61%","15,35%","5,11","1,78","2,33","16,17","2,17","0,11",LGD
Legia Warszawa,"0,79","1,74",44%,"11,58","4,58","4,42","2,58","39,55%","6,36%","5,42","4,11","3,68","14,05","2,00","0,11",LEG
Piast Gliwice,"1,00","0,83",51%,"11,06","3,56","5,28","2,22","32,16%","7,54%","3,94","1,44","3,00","14,33","1,78","0,11",PIA
Pogoń Szczecin,"1,37","1,47",43%,"9,68","3,32","4,21","2,16","34,24%","12,50%","4,11","1,63","3,89","14,79","2,37","0,16",POG
Sandecja,"1,17","1,00",53%,"11,72","4,00","5,22","2,50","34,12%","9,95%","5,50","1,72","2,78","16,33","2,06","0,11",SAN
Śląsk Wrocław,"0,84","1,58",51%,"12,37","3,68","6,68","2,00","29,79%","6,81%","5,26","1,63","3,00","15,84","2,32","0,11",ŚLĄ
Wisła Kraków,"1,00","1,39",46%,"14,06","4,56","5,56","3,94","32,41%","7,11%","5,11","1,94","3,11","14,78","2,83","0,22",WIS
Wisła Płock,"0,95","1,58",51%,"9,53","3,26","4,00","2,26","34,25%","9,94%","4,26","1,95","3,05","14,84","2,11","0,16",WPŁ
Zagłębie Lubin,"1,00","1,33",49%,"12,22","3,94","5,89","2,39","32,27%","8,18%","4,39","1,00","3,17","14,72","2,11","0,06",ZAG
