ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Artur Jędrzejczyk,Legia Warszawa,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Guilherme,Legia Warszawa,6,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
Michał Pazdan,Legia Warszawa,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Lasza Dwali,Pogoń Szczecin,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Łukasz Zwoliński,Pogoń Szczecin,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Tomasz Hołota,Pogoń Szczecin,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Szufryn,Sandecja,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Filip Piszczek,Sandecja,6,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
Grzegorz Baran,Sandecja,6,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0
Maciej Małkowski,Sandecja,6,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0
Tomasz Brzyski,Sandecja,6,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
Arkadiusz Piech,Śląsk Wrocław,6,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0
Augusto,Śląsk Wrocław,6,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
Michał Chrapek,Śląsk Wrocław,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Fran Velez,Wisła Kraków,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Sadlok,Wisła Kraków,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Nico Varela,Wisła Płock,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Damian Zbozień,Arka Gdynia,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Kun,Arka Gdynia,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Łukasz Piątek,Bruk-Bet,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Martin Miković,Bruk-Bet,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1
Michał Helik,Cracovia,5,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0
Piotr Malarczyk,Cracovia/Korona,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
David Ledecky,Górnik Zabrze,5,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0
Michał Koj,Górnik Zabrze,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Arvydas Novikovas,Jagiellonia,5,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
Piotr Wlazło,Jagiellonia,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Elhadji Pape Diaw,Korona Kielce,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Jukić,Korona Kielce,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
Michael Gardawski,Korona Kielce,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Darko Jevtić,Lech Poznań,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Mario Situm,Lech Poznań,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
