ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Carlitos,Wisła Kraków,"0,0%","57,8%","0,0%",110,59,"53,6%",24,"4,58","21,8%",66
Igor Angulo,Górnik Zabrze,"50,0%","64,3%","52,9%",89,47,"52,8%",22,"4,05","24,7%",28
Krzysztof Piątek,Cracovia,"40,0%","40,9%","41,2%",110,45,"40,9%",21,"5,24","19,1%",28
Jakub Świerczok,Zagłębie Lubin,"37,5%","44,7%","55,0%",83,38,"45,8%",16,"5,19","19,3%",20
Marcin Robak,Śląsk Wrocław,"58,3%","48,6%","40,0%",77,38,"49,4%",19,"4,05","24,7%",15
Christian Gytkjaer,Lech Poznań,"50,0%","66,7%","23,8%",75,38,"50,7%",19,"3,95","25,3%",20
Damian Kądzior,Górnik Zabrze,"32,9%","33,3%","0,0%",98,32,"32,7%",10,"9,80","10,2%",59
Adam Frączczak,Pogoń Szczecin,"40,0%","47,4%","29,6%",80,32,"40,0%",14,"5,71","17,5%",38
Jose Kante,Wisła Płock,"41,2%","45,9%","37,5%",70,30,"42,9%",9,"7,78","12,9%",21
Marco Paixao,Lechia Gdańsk,"0,0%","43,9%","52,2%",68,30,"44,1%",16,"4,25","23,5%",12
Michał Kucharczyk,Legia Warszawa,"25,0%","59,0%","28,6%",55,28,"50,9%",7,"7,86","12,7%",27
Flavio Paixao,Lechia Gdańsk,"45,5%","46,4%","46,7%",54,25,"46,3%",10,"5,40","18,5%",32
Rafał Kurzawa,Górnik Zabrze,"30,6%","40,0%",-,77,24,"31,2%",2,"38,50","2,6%",87
Arvydas Novikovas,Jagiellonia,"31,8%","33,3%",-,75,24,"32,0%",9,"8,33","12,0%",72
Arkadiusz Piech,Śląsk Wrocław,"15,8%","48,6%","36,4%",65,24,"36,9%",10,"6,50","15,4%",33
Jesus Imaz,Wisła Kraków,"26,7%","40,4%","50,0%",64,24,"37,5%",8,"8,00","12,5%",25
Jarosław Niezgoda,Legia Warszawa,"47,1%","47,8%","50,0%",49,24,"49,0%",13,"3,77","26,5%",32
Robert Pich,Śląsk Wrocław,"47,1%","30,4%","33,3%",66,23,"34,8%",6,"11,00","9,1%",30
Szymon Żurkowski,Górnik Zabrze,"31,8%","37,2%",-,65,23,"35,4%",2,"32,50","3,1%",26
Radosław Majewski,Lech Poznań,"50,0%","41,2%","100,0%",51,23,"45,1%",2,"25,50","3,9%",53
Mateusz Możdżeń,Korona Kielce,"29,2%","22,4%","50,0%",86,22,"25,6%",2,"43,00","2,3%",31
Giorgi Merebaszwili,Wisła Płock,"58,8%","37,5%",-,49,22,"44,9%",5,"9,80","10,2%",32
Kasper Hamalainen,Legia Warszawa,"57,1%","51,4%","0,0%",44,22,"50,0%",8,"5,50","18,2%",30
Aleksandyr Kolew,Sandecja,"34,2%","33,3%","21,7%",70,21,"30,0%",7,"10,00","10,0%",29
Spas Delew,Pogoń Szczecin,"25,0%","40,0%","0,0%",67,21,"31,3%",5,"13,40","7,5%",42
Darko Jevtić,Lech Poznań,"36,7%","33,3%","50,0%",57,21,"36,8%",5,"11,40","8,8%",45
Karol Świderski,Jagiellonia,"53,3%","25,0%","37,5%",47,21,"44,7%",5,"9,40","10,6%",18
Michał Helik,Cracovia,"50,0%","44,4%","65,2%",37,21,"56,8%",8,"4,63","21,6%",11
Nika Kaczarawa,Korona Kielce,"60,0%","70,6%","46,2%",36,21,"58,3%",7,"5,14","19,4%",25
Filip Starzyński,Zagłębie Lubin,"28,6%","34,0%","0,0%",58,19,"32,8%",6,"9,67","10,3%",33
Mateusz Szwoch,Legia/Arka,"25,0%","34,1%","50,0%",56,19,"33,9%",10,"5,60","17,9%",44
Jacek Kiełb,Korona Kielce,"38,5%","33,3%","50,0%",54,19,"35,2%",6,"9,00","11,1%",36
Maciej Gajos,Lech Poznań,"9,1%","46,7%","50,0%",49,19,"38,8%",4,"12,25","8,2%",27
Damian Szymański,Jagiellonia/Wisła P,"60,0%","32,4%","0,0%",49,18,"36,7%",4,"12,25","8,2%",21
Michal Papadopulos,Piast Gliwice,"33,3%","33,3%","42,9%",48,18,"37,5%",9,"5,33","18,8%",14
Nico Varela,Wisła Płock,"100,0%","40,5%","0,0%",43,18,"41,9%",8,"5,38","18,6%",26
Ruben Jurado,Arka Gdynia,"100,0%","44,4%","55,6%",38,18,"47,4%",5,"7,60","13,2%",13
Javi Hernandez,Cracovia,"25,0%","42,9%",-,63,17,"27,0%",5,"12,60","7,9%",63
Wojciech Trochim,Sandecja,"58,3%","27,0%","0,0%",52,17,"32,7%",6,"8,67","11,5%",31
Goran Cvijanović,Korona Kielce,"60,0%","38,7%","100,0%",38,17,"44,7%",8,"4,75","21,1%",38
Mateusz Szczepaniak,Cracovia/Piast,"0,0%","29,2%","42,9%",52,16,"30,8%",3,"17,33","5,8%",29
Martin Pospisil,Jagiellonia,"66,7%","28,9%","100,0%",45,16,"35,6%",5,"9,00","11,1%",46
Ivan Jukić,Korona Kielce,"55,6%","37,5%","50,0%",37,16,"43,2%",4,"9,25","10,8%",17
Joel Valencia,Piast Gliwice,"50,0%","61,5%","100,0%",28,16,"57,1%",3,"9,33","10,7%",21
Bartosz Śpiączka,Bruk-Bet,"33,3%","25,7%","22,7%",60,15,"25,0%",3,"20,00","5,0%",16
Grzegorz Piesio,Arka Gdynia,"27,8%","29,4%","0,0%",54,15,"27,8%",1,"54,00","1,9%",33
Roman Bezjak,jagiellonia,"25,0%","41,9%","14,3%",42,15,"35,7%",3,"14,00","7,1%",8
